alpha,policy,mean_profit,p10_profit,mean_regret,p90_regret,maximum_regret,mean_promotion_count
2.1,dro,208.88001835160247,208.88001835160247,0.030514959946836062,0.13292471730533723,0.44227186416105724,0.0
2.1,myopic,208.88001835160247,208.88001835160247,0.030514959946836062,0.13292471730533723,0.44227186416105724,0.0
2.1,nominal_dynamic,208.88001835160247,208.88001835160247,0.030514959946836062,0.13292471730533723,0.44227186416105724,0.0
2.105,dro,208.88001835160247,208.88001835160247,0.040438670943410915,0.1638889460424348,0.5503001549678288,0.0
2.105,myopic,208.88001835160247,208.88001835160247,0.040438670943410915,0.1638889460424348,0.5503001549678288,0.0
2.105,nominal_dynamic,208.88001835160247,208.88001835160247,0.040438670943410915,0.1638889460424348,0.5503001549678288,0.0
2.18,dro,208.88001835160247,208.88001835160247,0.7337273726223632,2.6547542441143674,5.540938312145414,0.0
2.18,myopic,208.88001835160247,208.88001835160247,0.7337273726223632,2.6547542441143674,5.540938312145414,0.0
2.18,nominal_dynamic,208.88001835160247,208.88001835160247,0.7337273726223632,2.6547542441143674,5.540938312145414,0.0
2.185,dro,208.88001835160247,208.88001835160247,0.8418593671003841,3.162606373429756,6.051293771196697,0.0
2.185,myopic,208.88001835160247,208.88001835160247,0.8418593671003841,3.162606373429756,6.051293771196697,0.0
2.185,nominal_dynamic,208.88001835160247,208.88001835160247,0.8418593671003841,3.162606373429756,6.051293771196697,0.0
2.19,dro,208.88001835160247,208.88001835160247,0.9581202364819772,3.6704585027450967,6.561649230248008,0.0
2.19,myopic,205.68650960432586,200.01036812497185,4.15162898375858,8.451258304521525,13.591404645222951,4.0
2.19,nominal_dynamic,208.89053096177406,207.9288042883844,0.9476076263104046,2.410547502234075,5.4488680539244,1.0
2.195,dro,208.88001835160247,208.88001835160247,1.0772804363201303,4.178310632060523,7.072004689299348,0.0
2.195,myopic,204.53507814958795,195.75064816295978,5.422220638334676,12.212732563742584,21.366513643069595,4.0
2.195,nominal_dynamic,208.99247232530692,207.4828300632283,0.9648264626156777,2.8753327626299643,5.138750156349005,1.0
2.2,dro,208.88001835160247,208.88001835160247,1.2068077016994287,4.686162761375968,7.582360148350688,0.0
2.2,myopic,204.9949833849006,196.18358517385738,5.0918426684013145,11.78237634427132,20.987643303080745,4.0
2.2,nominal_dynamic,209.1043904028045,207.5848347626231,0.9824356504974179,2.821327244142107,5.525230874495236,1.0
2.205,dro,208.88001835160247,208.88001835160247,1.3519451636812012,5.194014890691298,8.09271560740197,0.0
2.205,myopic,205.4548886202132,196.61652218475496,4.777074895070456,11.352020124800093,20.60877296309178,4.0
2.205,nominal_dynamic,209.21630848030205,207.68683946201793,1.0156550349816387,2.871216879355529,5.91171159264141,1.0
2.23,dro,208.88001835160247,208.88001835160247,2.4857764927941597,7.733275537268311,10.644492902658584,0.0
2.23,myopic,207.75441479677644,198.7812072392428,3.611380047620198,9.322787137411453,18.7144212631473,4.0
2.23,nominal_dynamic,209.7758988677898,208.19686295899203,1.5898959766068352,4.786508574677821,7.844115183372537,1.0
2.235,dro,208.88001835160247,208.88001835160247,2.765243883741535,8.24112766658373,11.154848361709867,0.0
2.235,myopic,208.21432003208912,199.2141442501404,3.4309422032549075,8.922726298505511,18.335550923158394,4.0
2.235,nominal_dynamic,209.88781694528737,208.29886765838683,1.75744529005665,5.1695669137422815,8.230595901518711,1.0
2.24,dro,209.99973502278493,208.40087235778165,1.9253971939999865,5.5526252528067275,8.617076619665,1.0
2.24,myopic,208.67422526740177,199.647081261038,3.250906949383142,8.522665459599555,17.95668058316943,4.0
2.24,nominal_dynamic,210.0077733388062,206.93379204029532,1.917358877978705,4.218774298690539,6.252945983003059,2.0
2.245,dro,210.11165310028247,208.50287705717648,2.096001665887502,5.935683591871144,9.003557337811174,1.0
2.245,myopic,209.1341305027144,200.08001827193556,3.073524263455581,8.130540677967256,17.57781024318058,4.0
2.245,nominal_dynamic,210.23077761498405,202.46253970315078,1.976877151185908,6.124689515876204,15.289001156447398,4.0
2.25,dro,210.22357117778003,208.60488175657127,2.2726097202116895,6.318741930935622,9.390038055957405,1.0
2.25,myopic,209.594035738027,200.5129552828331,2.9021451599646926,7.805877223640231,17.198939903191672,4.0
2.25,nominal_dynamic,210.68874126679316,202.8945309516443,1.8074396311985386,5.801302781219595,14.910406667337384,4.0
2.255,dro,210.3354892552776,208.7068864559661,2.4567764423768406,6.701800270000089,9.776518774103636,1.0
2.255,myopic,210.0539409733397,200.9458922937307,2.7383247243147357,7.4812137693132135,16.820069563202765,4.0
