grid_name,weekly_capacity,alpha,value_of_dynamic_optimization,relative_VDO,dynamic_active_product_set,myopic_active_product_set,active_set_changed,active_set_symmetric_difference,product_promotion_count_disagreement,product_week_timing_disagreement,dynamic_binding_weeks,myopic_binding_weeks,dynamic_supported_share,myopic_supported_share
supported,2,1.4,2.8002029410997693,0.0016053527873592453,3800000110,3800000110,False,0,3,5,0,0,1.0,1.0
supported,2,1.45,2.0275180333851495,0.0011616923827749998,3800000110,3800000110,False,0,3,5,0,0,1.0,1.0
supported,2,1.5,1.254833125670757,0.0007185516269762267,3800000110,3800000110,False,0,3,5,0,0,1.0,1.0
supported,2,1.55,0.7301850651303994,0.0004178791312173822,3800000110,3800000110,False,0,1,7,0,0,1.0,1.0
supported,2,1.6,0.6899190603892293,0.0003946042555389178,3800000110,3800000110,False,0,0,8,0,0,1.0,1.0
supported,2,1.65,1.3905775962275584,0.0007947006347922915,3800000110|3800000120,3800000110|3800000120,False,0,0,16,4,4,1.0,1.0
supported,2,1.7,1.6877264955046485,0.0009568613844278226,3800000110|3800000120,3800000110|3800000120,False,0,0,14,3,4,1.0,1.0
supported,2,1.75,1.6216555442406388,0.0009112299752686152,3800000110|3800000120,3800000110|3800000120,False,0,0,12,2,4,1.0,1.0
supported,2,1.8,1.57032779327983,0.0008746140400745684,3800000110|3800000120,3800000110|3800000120,False,0,0,12,2,4,1.0,1.0
supported,2,1.85,7.081712968230249,0.0039218120503892945,3800000110|3800000120,1600066510|3800000110|3800000120,True,1,4,16,1,4,1.0,0.6666666666666666
supported,2,1.9,4.454407581329406,0.0024363778142675327,1600066510|3800000110|3800000120,1600066510|3800000110|3800000120,False,0,1,11,2,4,1.0,1.0
supported,2,1.95,4.131845237215657,0.0022234444096349342,1600066510|3800000110|3800000120,1600066510|3800000110|3800000120,False,0,0,14,3,4,1.0,1.0
supported,2,2.0,4.051537164052206,0.0021455712144916317,1600066510|3800000110|3800000120,1600066510|3800000110|3800000120,False,0,0,8,2,4,1.0,1.0
supported,2,2.05,4.0072937084830755,0.002088934946019036,1600066510|3800000110|3800000120,1600066510|3800000110|3800000120,False,0,0,8,3,4,1.0,1.0
supported,2,2.1,3.9817303803761206,0.002043631420788227,1600066510|3800000110|3800000120,1600066510|3800000110|3800000120,False,0,0,8,3,4,1.0,1.0
supported,2,2.15,8.747209750810725,0.004430967692490375,1600066510|3800000110|3800000120|3800000127,1600066510|3800000110|3800000120|3800000127,False,0,3,13,4,8,1.0,1.0
supported,2,2.2,4.864182205199995,0.002418366513302287,1600066510|3800000110|3800000120|3800000127,1600066510|3800000110|3800000120|3800000127,False,0,0,16,5,8,1.0,1.0
supported,2,2.24,4.837896921920219,0.0023701889832863023,1600066510|3800000110|3800000120|3800000127,1600066510|3800000110|3800000120|3800000127,False,0,0,14,6,8,1.0,1.0
supported,2,2.25,4.832849774360511,0.0023591075698391846,1600066510|3800000110|3800000120|3800000127,1600066510|3800000110|3800000120|3800000127,False,0,0,14,6,8,1.0,1.0
supported,2,2.3,4.807614036559698,0.002304887638538718,1600066510|3800000110|3800000120|3800000127,1600066510|3800000110|3800000120|3800000127,False,0,0,14,6,8,1.0,1.0
supported,2,2.35,4.782378298758886,0.002252569911669376,1600066510|3800000110|3800000120|3800000127,1600066510|3800000110|3800000120|3800000127,False,0,0,14,6,8,1.0,1.0
supported,2,2.4,4.777879088720056,0.002211654840524735,1600066510|3800000110|3800000120|3800000127,1600066510|3800000110|3800000120|3800000127,False,0,0,10,7,8,1.0,1.0
supported,2,2.45,21.468330941199838,0.009843839024714363,1600066510|3800000110|3800000120|3800000127,1600066510|3800000110|3800000120|3800000127|3800001611,True,1,4,14,7,8,1.0,1.0
supported,2,2.5,16.24136556943313,0.007304347575313594,1600066510|3800000110|3800000120|3800000127|3800001611,1600066510|3800000110|3800000120|3800000127|3800001611,False,0,3,7,7,8,1.0,1.0
supported,2,2.55,15.849893412113488,0.007005479962408108,1600066510|3800000110|3800000120|3800000127|3800001611,1600066510|1600066590|3800000110|3800000120|3800000127|3800001611,True,1,7,11,7,12,1.0,1.0
supported,2,2.6,5.157558878898726,0.0022273495822225492,1600066510|1600066590|3800000110|3800000120|3800000127|3800001611,1600066510|1600066590|3800000110|3800000120|3800000127|3800001611,False,0,3,3,9,12,1.0,1.0
supported,2,2.65,2.947933905244554,0.001245442854533022,1600066510|1600066590|1600066610|3800000110|3800000120|3800000127|3800001611,1600066510|1600066590|3800000110|3800000120|3800000127|3800001611,True,1,4,20,10,12,1.0,1.0
supported,2,2.7,6.835238322973964,0.002824381470626858,1600066510|1600066590|1600066610|3800000110|3800000120|3800000127|3800001611,1600066510|1600066590|3800000110|3800000120|3800000127|3800001611,True,1,6,22,12,12,1.0,1.0
supported,2,2.75,12.068056855400755,0.004881795543237128,1600066510|1600066590|1600066610|3800000110|3800000120|3800000127|3800001611,1600066510|1600066590|1600066610|3800000120|3800000127|3800001611,True,1,8,16,12,12,1.0,1.0
supported,2,2.8,8.648210465748434,0.003411582998789487,1600066510|1600066590|1600066610|3800000110|3800000120|3800000127|3800001611,1600066510|1600066590|1600066610|3800000120|3800000127|3800001611,True,1,6,22,12,12,1.0,1.0
supported,2,2.85,5.383392537713007,0.002072243015368512,1600066510|1600066590|1600066610|3800000110|3800000120|3800000127|3800001611,1600066510|1600066590|1600066610|3800000120|3800000127|3800001611,True,1,6,22,12,12,1.0,1.0
supported,2,2.9,2.1185746096771254,0.0007962290831451014,1600066510|1600066590|1600066610|3800000110|3800000120|3800000127|3800001611,1600066510|1600066590|1600066610|3800000120|3800000127|3800001611,True,1,6,22,12,12,1.0,1.0
supported,2,2.95,0.3107953039871063,0.00011410932798730636,1600066510|1600066590|1600066610|3800000110|3800000120|3800000127|3800001611,1600066510|1600066590|1600066610|3800000120|3800000127|3800001611,True,1,2,18,12,12,1.0,1.0
supported,2,3.0,0.23120532353641465,8.297144551860744e-05,1600066510|1600066590|1600066610|3800000120|3800000127|3800001611,1600066510|1600066590|1600066610|3800000120|3800000127|3800001611,False,0,0,16,12,12,1.0,1.0
supported,2,3.05,0.23310938072154386,8.180805373744954e-05,1600066510|1600066590|1600066610|3800000120|3800000127|3800001611,1600066510|1600066590|1600066610|3800000120|3800000127|3800001611,False,0,0,16,12,12,1.0,1.0
supported,2,3.1,0.23501343790667306,8.06949166665383e-05,1600066510|1600066590|1600066610|3800000120|3800000127|3800001611,1600066510|1600066590|1600066610|3800000120|3800000127|3800001611,False,0,0,16,12,12,1.0,1.0
supported,2,3.15,1.0062296699761646,0.00033819751595984466,1600066510|1600066590|1600066610|3800000120|3800000127|3800001520|3800001611,1600066510|1600066590|1600066610|3800000120|3800000127|3800001611,True,1,2,18,12,12,1.0,1.0
supported,2,3.2,2.9400389887496203,0.000967699146985937,1600066510|1600066590|1600066610|3800000120|3800000127|3800001520|3800001611,1600066510|1600066590|1600066610|3800000120|3800000127|3800001611,True,1,4,20,12,12,1.0,1.0
supported,3,1.2,0.0,0.0,,,False,0,0,0,0,0,1.0,1.0
supported,3,1.25,0.0,0.0,,,False,0,0,0,0,0,1.0,1.0
supported,3,1.3,0.0,0.0,,,False,0,0,0,0,0,1.0,1.0
supported,3,1.35,0.0,0.0,,,False,0,0,0,0,0,1.0,1.0
supported,3,1.4,2.8002029410997693,0.0016053527873592453,3800000110,3800000110,False,0,3,5,0,0,1.0,1.0
supported,3,1.45,2.0275180333851495,0.0011616923827749998,3800000110,3800000110,False,0,3,5,0,0,1.0,1.0
supported,3,1.5,1.254833125670757,0.0007185516269762267,3800000110,3800000110,False,0,3,5,0,0,1.0,1.0
supported,3,1.55,0.7301850651303994,0.0004178791312173822,3800000110,3800000110,False,0,1,7,0,0,1.0,1.0
supported,3,1.6,0.6899190603892293,0.0003946042555389178,3800000110,3800000110,False,0,0,8,0,0,1.0,1.0
supported,3,1.65,1.3905775962275584,0.0007947006347922915,3800000110|3800000120,3800000110|3800000120,False,0,0,16,0,0,1.0,1.0
