replication,wasserstein_distance
0,0.595145779303375
1,0.6411179515903457
2,0.5078123974180596
3,0.5541025371943509
4,0.5441848320973419
5,0.48970946241576885
6,0.4881923461348589
7,0.42324408962495075
8,0.34389905184244257
9,0.5235529184197191
10,0.48642606303786223
11,0.4006400744983758
12,0.3710769779747177
13,0.5508301571106587
14,0.44360350834859896
15,0.5308088526864819
16,0.3994868234166409
17,0.49411669135525005
18,0.4601776563302
19,0.5282613152972784
20,0.5691046076125201
21,0.39216344683494625
22,0.5401244048014131
23,0.4725862675493109
24,0.4559021712881973
25,0.4213463421067594
26,0.4853151745952408
27,0.4610879932544036
28,0.46148461300883203
29,0.406469053448537
30,0.47378527909323087
31,0.4701459554677392
32,0.5128634670383032
33,0.5577525526684259
34,0.6635679319088346
35,0.468631772061904
36,0.4079154768012536
37,0.40921233006887375
38,0.3890485030944273
39,0.612096125805733
40,0.4711085680889151
41,0.5137763770175396
42,0.43489762778065194
43,0.6141600345058805
44,0.45546967400420585
45,0.3764103580149895
46,0.45504623662631294
47,0.5261569134154779
48,0.5088918157959285
49,0.6114193050055023
50,0.5240298858960878
51,0.4891670406127108
52,0.4559211410001261
53,0.5188962172265377
54,0.44260163155749316
55,0.4386336475280224
56,0.4821868515477183
57,0.3667602933681028
58,0.427034827758903
59,0.6276640983882134
60,0.5284705004447123
61,0.51672042792471
62,0.49241384035757996
63,0.41869122603319103
64,0.5565468628684808
65,0.4752347751315289
66,0.432064860398292
67,0.46573335078206574
68,0.4826314008855019
69,0.41616952094286247
70,0.599023513783427
71,0.586319500690735
72,0.6342881651864654
73,0.5175421753198824
74,0.6655419827886163
75,0.4429219689243422
76,0.48226314085240984
77,0.5208963100453233
78,0.5758993733639195
79,0.4887327669726782
80,0.34290644414835547
81,0.4354495546126615
82,0.411203647269419
83,0.5817616785628806
84,0.36240838434042216
85,0.5748309983725282
86,0.49687435656415013
87,0.37196224676904366
88,0.47485024290955896
89,0.42153060557550964
90,0.3484359860749953
91,0.3685286950817501
92,0.49561068829318805
93,0.4393984232894467
94,0.36057032443620407
95,0.3391159741312185
96,0.4656200981510613
97,0.5525846090871211
98,0.6081554674007945
99,0.5294642025462609
