price_elasticity,stockpiling_intensity,depletion_rate,inventory_suppression,scenario_weight,scenario_id
1.7931943045201502,5.0,0.95,0.03052733732660135,0.025,0
2.0025314644889205,5.0,0.95,0.02196115022016041,0.035,1
2.004036003232076,5.0,0.5,0.01,0.02,2
1.9169548181372915,5.0,0.95,0.03601369074397961,0.055,3
2.040665386249336,5.0,0.95,0.0669215276454917,0.02,4
1.8658888578107933,5.0,0.95,0.012116546198881167,0.05,5
1.7462450315641889,5.0,0.95,0.08421619086219692,0.005,6
1.911246489146547,5.0,0.95,0.07796203403017901,0.01,7
1.7979179861923387,5.0,0.5,0.01,0.015,8
2.1007586104374676,5.0,0.95,0.01,0.015,9
1.9833505305137964,5.0,0.95,0.03306217720545041,0.04,10
1.9504543085069843,5.0,0.95,0.02539955010725161,0.055,11
1.784853967793288,5.0,0.95,0.016247227871888825,0.035,12
2.060307398446895,5.0,0.95,0.0414850944239316,0.02,13
1.8527219790612284,5.0,0.95,0.04587728943788452,0.03,14
1.994231367524323,5.0,0.95,0.011815869053161131,0.04,15
1.9075731304139503,5.0,0.5,0.01,0.015,16
1.847147020206623,5.0,0.95,0.033770442473804924,0.04,17
1.6630854281226561,5.0,0.95,0.048253176613478395,0.005,18
1.941398304901186,5.0,0.95,0.01,0.025,19
1.9673137477274982,5.0,0.95,0.04489236442637538,0.03,20
2.116311071074483,5.0,0.95,0.07638476262939507,0.005,21
1.7738421441271928,5.0,0.95,0.042248162014367825,0.015,22
1.9765715555343073,5.0,0.8523904579051912,0.021384089513252096,0.005,23
2.0258303311501327,5.0,0.95,0.027974546393997046,0.035,24
1.8992275351976964,5.0,0.95,0.05211632844507232,0.03,25
1.713100633239596,5.0,0.95,0.01651956410052012,0.01,26
1.8908941359042253,5.0,0.95,0.028280957144017536,0.055,27
2.1613204365611938,5.0,0.95,0.02835260380551881,0.005,28
1.982793126687341,5.0,0.95,0.06573674308994745,0.025,29
1.9189343471007299,5.0,0.95,0.01461706037885996,0.04,30
2.1179704613189414,5.0,0.9128067837455404,0.053775063023097786,0.005,31
2.0385351587002174,5.0,0.95,0.01,0.03,32
1.7558925934289973,5.0,0.95,0.057812367549506374,0.01,33
1.8530209276243754,5.0,0.95,0.022091266451415965,0.025,34
1.8472214794234887,5.0,0.95,0.08022929555437666,0.005,35
1.9225397631790397,5.0,0.95,0.06139692816576952,0.035,36
2.0220631039754298,5.0,0.95,0.05399124777524536,0.035,37
1.8322364289873814,5.0,0.95,0.06194678423725353,0.015,38
2.0105919957594613,5.0,0.95,0.04218163006677321,0.03,39
