upc,dynamic_profit,myopic_profit,vdo_contribution,alpha,capacity,washout_horizon
1600066510,498.537894505076,498.537894505076,0.0,1.4,1,12
1600066590,531.9719934097901,531.9719934097901,0.0,1.4,1,12
1600066610,593.8574049460657,593.8574049460657,0.0,1.4,1,12
3800000110,202.62012967797958,198.93648850573723,3.6836411722423463,1.4,1,12
3800000120,317.04256543707953,317.04256543707953,0.0,1.4,1,12
3800000127,315.9430726272595,315.9430726272595,0.0,1.4,1,12
3800001520,421.8072541043035,421.8072541043035,0.0,1.4,1,12
3800001611,420.799896737785,420.799896737785,0.0,1.4,1,12
1600066510,498.537894505076,498.537894505076,0.0,1.45,1,12
1600066590,531.9719934097901,531.9719934097901,0.0,1.45,1,12
1600066610,593.8574049460657,593.8574049460657,0.0,1.45,1,12
3800000110,202.62012967797958,199.93456699605957,2.685562681920004,1.45,1,12
3800000120,317.04256543707953,317.04256543707953,0.0,1.45,1,12
3800000127,315.9430726272595,315.9430726272595,0.0,1.45,1,12
3800001520,421.8072541043035,421.8072541043035,0.0,1.45,1,12
3800001611,420.799896737785,420.799896737785,0.0,1.45,1,12
1600066510,498.537894505076,498.537894505076,0.0,1.5,1,12
1600066590,531.9719934097901,531.9719934097901,0.0,1.5,1,12
1600066610,593.8574049460657,593.8574049460657,0.0,1.5,1,12
3800000110,202.62012967797958,200.93264548638194,1.6874841915976333,1.5,1,12
3800000120,317.04256543707953,317.04256543707953,0.0,1.5,1,12
3800000127,315.9430726272595,315.9430726272595,0.0,1.5,1,12
3800001520,421.8072541043035,421.8072541043035,0.0,1.5,1,12
3800001611,420.799896737785,420.799896737785,0.0,1.5,1,12
1600066510,498.537894505076,498.537894505076,0.0,1.55,1,12
1600066590,531.9719934097901,531.9719934097901,0.0,1.55,1,12
1600066610,593.8574049460657,593.8574049460657,0.0,1.55,1,12
3800000110,202.62012967797958,201.9307239767043,0.689405701275291,1.55,1,12
3800000120,317.04256543707953,317.04256543707953,0.0,1.55,1,12
3800000127,315.9430726272595,315.9430726272595,0.0,1.55,1,12
3800001520,421.8072541043035,421.8072541043035,0.0,1.55,1,12
3800001611,420.799896737785,420.799896737785,0.0,1.55,1,12
1600066510,498.537894505076,498.537894505076,0.0,1.6,1,12
1600066590,531.9719934097901,531.9719934097901,0.0,1.6,1,12
1600066610,593.8574049460657,593.8574049460657,0.0,1.6,1,12
3800000110,203.32039290905655,202.92880246702666,0.39159044202989435,1.6,1,12
3800000120,317.04256543707953,317.04256543707953,0.0,1.6,1,12
3800000127,315.9430726272595,315.9430726272595,0.0,1.6,1,12
3800001520,421.8072541043035,421.8072541043035,0.0,1.6,1,12
3800001611,420.799896737785,420.799896737785,0.0,1.6,1,12
1600066510,498.537894505076,498.537894505076,0.0,1.65,1,12
1600066590,531.9719934097901,531.9719934097901,0.0,1.65,1,12
1600066610,593.8574049460657,593.8574049460657,0.0,1.65,1,12
3800000110,204.29251936888122,203.926880957349,0.3656384115322169,1.65,1,12
3800000120,317.2261038783959,315.11909136797084,2.107012510425079,1.65,1,12
