grid_name,weekly_capacity,alpha,policy,upc,product_name,value,promotion_count,total_depth,schedule_supported
supported,1,1.45,myopic,1600066510,1600066510,269.8931274414066,0,0.0,True
supported,1,1.45,myopic,3800001611,3800001611,224.91093444824176,0,0.0,True
supported,1,1.45,myopic,3800000110,3800000110,107.55785144531727,4,0.36,True
supported,1,1.5,dynamic,1600066610,1600066610,319.8865966796869,0,0.0,True
supported,1,1.5,dynamic,1600066590,1600066590,270.52459716796875,0,0.0,True
supported,1,1.5,dynamic,3800000120,3800000120,168.6797027587895,0,0.0,True
supported,1,1.5,dynamic,3800001520,3800001520,221.67314147949202,0,0.0,True
supported,1,1.5,dynamic,3800000127,3800000127,162.18809509277338,0,0.0,True
supported,1,1.5,dynamic,1600066510,1600066510,269.8931274414066,0,0.0,True
supported,1,1.5,dynamic,3800001611,3800001611,224.91093444824176,0,0.0,True
supported,1,1.5,dynamic,3800000110,3800000110,109.83540574550629,1,0.09,True
supported,1,1.5,myopic,1600066610,1600066610,319.8865966796869,0,0.0,True
supported,1,1.5,myopic,1600066590,1600066590,270.52459716796875,0,0.0,True
supported,1,1.5,myopic,3800000120,3800000120,168.6797027587895,0,0.0,True
supported,1,1.5,myopic,3800001520,3800001520,221.67314147949202,0,0.0,True
supported,1,1.5,myopic,3800000127,3800000127,162.18809509277338,0,0.0,True
supported,1,1.5,myopic,1600066510,1600066510,269.8931274414066,0,0.0,True
supported,1,1.5,myopic,3800001611,3800001611,224.91093444824176,0,0.0,True
supported,1,1.5,myopic,3800000110,3800000110,108.58057261983555,4,0.36,True
supported,1,1.55,dynamic,1600066610,1600066610,319.8865966796869,0,0.0,True
supported,1,1.55,dynamic,1600066590,1600066590,270.52459716796875,0,0.0,True
supported,1,1.55,dynamic,3800000120,3800000120,168.6797027587895,0,0.0,True
supported,1,1.55,dynamic,3800001520,3800001520,221.67314147949202,0,0.0,True
supported,1,1.55,dynamic,3800000127,3800000127,162.18809509277338,0,0.0,True
supported,1,1.55,dynamic,1600066510,1600066510,269.8931274414066,0,0.0,True
supported,1,1.55,dynamic,3800001611,3800001611,224.91093444824176,0,0.0,True
supported,1,1.55,dynamic,3800000110,3800000110,110.33347885948419,3,0.27,True
supported,1,1.55,myopic,1600066610,1600066610,319.8865966796869,0,0.0,True
supported,1,1.55,myopic,1600066590,1600066590,270.52459716796875,0,0.0,True
supported,1,1.55,myopic,3800000120,3800000120,168.6797027587895,0,0.0,True
supported,1,1.55,myopic,3800001520,3800001520,221.67314147949202,0,0.0,True
supported,1,1.55,myopic,3800000127,3800000127,162.18809509277338,0,0.0,True
supported,1,1.55,myopic,1600066510,1600066510,269.8931274414066,0,0.0,True
supported,1,1.55,myopic,3800001611,3800001611,224.91093444824176,0,0.0,True
supported,1,1.55,myopic,3800000110,3800000110,109.60329379435382,4,0.36,True
supported,1,1.6,dynamic,1600066610,1600066610,319.8865966796869,0,0.0,True
supported,1,1.6,dynamic,1600066590,1600066590,270.52459716796875,0,0.0,True
supported,1,1.6,dynamic,3800000120,3800000120,168.6797027587895,0,0.0,True
supported,1,1.6,dynamic,3800001520,3800001520,221.67314147949202,0,0.0,True
supported,1,1.6,dynamic,3800000127,3800000127,162.18809509277338,0,0.0,True
supported,1,1.6,dynamic,1600066510,1600066510,269.8931274414066,0,0.0,True
supported,1,1.6,dynamic,3800001611,3800001611,224.91093444824176,0,0.0,True
supported,1,1.6,dynamic,3800000110,3800000110,111.31593402926126,4,0.36,True
supported,1,1.6,myopic,1600066610,1600066610,319.8865966796869,0,0.0,True
supported,1,1.6,myopic,1600066590,1600066590,270.52459716796875,0,0.0,True
supported,1,1.6,myopic,3800000120,3800000120,168.6797027587895,0,0.0,True
supported,1,1.6,myopic,3800001520,3800001520,221.67314147949202,0,0.0,True
supported,1,1.6,myopic,3800000127,3800000127,162.18809509277338,0,0.0,True
supported,1,1.6,myopic,1600066510,1600066510,269.8931274414066,0,0.0,True
supported,1,1.6,myopic,3800001611,3800001611,224.91093444824176,0,0.0,True
supported,1,1.6,myopic,3800000110,3800000110,110.62601496887208,4,0.36,True
supported,1,1.65,dynamic,1600066610,1600066610,319.8865966796869,0,0.0,True
supported,1,1.65,dynamic,1600066590,1600066590,270.52459716796875,0,0.0,True
supported,1,1.65,dynamic,3800000120,3800000120,169.79875046284988,4,1.45,True
supported,1,1.65,dynamic,3800001520,3800001520,221.67314147949202,0,0.0,True
supported,1,1.65,dynamic,3800000127,3800000127,162.18809509277338,0,0.0,True
supported,1,1.65,dynamic,1600066510,1600066510,269.8931274414066,0,0.0,True
supported,1,1.65,dynamic,3800001611,3800001611,224.91093444824176,0,0.0,True
supported,1,1.65,dynamic,3800000110,3800000110,111.88129100620748,4,0.36,True
supported,1,1.65,myopic,1600066610,1600066610,319.8865966796869,0,0.0,True
supported,1,1.65,myopic,1600066590,1600066590,270.52459716796875,0,0.0,True
supported,1,1.65,myopic,3800000120,3800000120,169.2817587102254,4,1.2,True
supported,1,1.65,myopic,3800001520,3800001520,221.67314147949202,0,0.0,True
supported,1,1.65,myopic,3800000127,3800000127,162.18809509277338,0,0.0,True
supported,1,1.65,myopic,1600066510,1600066510,269.8931274414066,0,0.0,True
supported,1,1.65,myopic,3800001611,3800001611,224.91093444824176,0,0.0,True
supported,1,1.65,myopic,3800000110,3800000110,111.64873614339035,4,0.36,True
supported,1,1.7,dynamic,1600066610,1600066610,319.8865966796869,0,0.0,True
supported,1,1.7,dynamic,1600066590,1600066590,270.52459716796875,0,0.0,True
supported,1,1.7,dynamic,3800000120,3800000120,183.0852953008016,4,2.2,True
supported,1,1.7,dynamic,3800001520,3800001520,221.67314147949202,0,0.0,True
supported,1,1.7,dynamic,3800000127,3800000127,162.18809509277338,0,0.0,True
supported,1,1.7,dynamic,1600066510,1600066510,269.8931274414066,0,0.0,True
supported,1,1.7,dynamic,3800001611,3800001611,224.91093444824176,0,0.0,True
supported,1,1.7,dynamic,3800000110,3800000110,112.89889856934548,4,0.36,True
supported,1,1.7,myopic,1600066610,1600066610,319.8865966796869,0,0.0,True
supported,1,1.7,myopic,1600066590,1600066590,270.52459716796875,0,0.0,True
supported,1,1.7,myopic,3800000120,3800000120,182.06708457819622,4,2.2,True
supported,1,1.7,myopic,3800001520,3800001520,221.67314147949202,0,0.0,True
supported,1,1.7,myopic,3800000127,3800000127,162.18809509277338,0,0.0,True
supported,1,1.7,myopic,1600066510,1600066510,269.8931274414066,0,0.0,True
supported,1,1.7,myopic,3800001611,3800001611,224.91093444824176,0,0.0,True
supported,1,1.7,myopic,3800000110,3800000110,112.89889856934548,4,0.36,True
supported,1,1.75,dynamic,1600066610,1600066610,319.8865966796869,0,0.0,True
supported,1,1.75,dynamic,1600066590,1600066590,270.52459716796875,0,0.0,True
supported,1,1.75,dynamic,3800000120,3800000120,197.82533966859165,4,2.2,True
supported,1,1.75,dynamic,3800001520,3800001520,221.67314147949202,0,0.0,True
supported,1,1.75,dynamic,3800000127,3800000127,162.18809509277338,0,0.0,True
supported,1,1.75,dynamic,1600066510,1600066510,269.8931274414066,0,0.0,True
supported,1,1.75,dynamic,3800001611,3800001611,224.91093444824176,0,0.0,True
supported,1,1.75,dynamic,3800000110,3800000110,113.91650613248348,4,0.36,True
supported,1,1.75,myopic,1600066610,1600066610,319.8865966796869,0,0.0,True
supported,1,1.75,myopic,1600066590,1600066590,270.52459716796875,0,0.0,True
supported,1,1.75,myopic,3800000120,3800000120,196.8629982535045,4,2.2,True
supported,1,1.75,myopic,3800001520,3800001520,221.67314147949202,0,0.0,True
supported,1,1.75,myopic,3800000127,3800000127,162.18809509277338,0,0.0,True
supported,1,1.75,myopic,1600066510,1600066510,269.8931274414066,0,0.0,True
supported,1,1.75,myopic,3800001611,3800001611,224.91093444824176,0,0.0,True
supported,1,1.75,myopic,3800000110,3800000110,113.91650613248348,4,0.36,True
supported,1,1.8,dynamic,1600066610,1600066610,319.8865966796869,0,0.0,True
supported,1,1.8,dynamic,1600066590,1600066590,270.52459716796875,0,0.0,True
supported,1,1.8,dynamic,3800000120,3800000120,212.58012723668406,4,2.2,True
