grid_name,weekly_capacity,alpha,value_of_dynamic_optimization,relative_VDO,dynamic_active_product_set,myopic_active_product_set,active_set_changed,active_set_symmetric_difference,product_promotion_count_disagreement,product_week_timing_disagreement,dynamic_binding_weeks,myopic_binding_weeks,dynamic_supported_share,myopic_supported_share,decision_horizon,washout_horizon,evaluation_horizon
empirical_w6,1,3.15,0.0,0.0,1600066510|3800000120|3800000127,1600066510|3800000120|3800000127,False,0,0,0,12,12,1.0,1.0,12,6,18
empirical_w6,1,3.2,0.0,0.0,1600066510|3800000120|3800000127,1600066510|3800000120|3800000127,False,0,0,0,12,12,1.0,1.0,12,6,18
empirical_w6,2,1.2,0.0,0.0,,,False,0,0,0,0,0,1.0,1.0,12,6,18
empirical_w6,2,1.25,0.0,0.0,,,False,0,0,0,0,0,1.0,1.0,12,6,18
empirical_w6,2,1.3,0.0,0.0,,,False,0,0,0,0,0,1.0,1.0,12,6,18
empirical_w6,2,1.35,0.0,0.0,,,False,0,0,0,0,0,1.0,1.0,12,6,18
empirical_w6,2,1.4,3.409399122715058,0.0013222224581306483,,3800000110,True,1,4,4,0,0,1.0,1.0,12,6,18
empirical_w6,2,1.45,2.386677948196848,0.0009252269734126554,,3800000110,True,1,4,4,0,0,1.0,1.0,12,6,18
empirical_w6,2,1.5,1.3639567736786375,0.000528546158538394,,3800000110,True,1,4,4,0,0,1.0,1.0,12,6,18
empirical_w6,2,1.55,0.39845136940448356,0.00015434250854365995,3800000110,3800000110,False,0,3,5,0,0,1.0,1.0,12,6,18
empirical_w6,2,1.6,0.14697514088948083,5.6909150293186005e-05,3800000110,3800000110,False,0,0,8,0,0,1.0,1.0,12,6,18
empirical_w6,2,1.65,0.20357005218693303,7.87900795364768e-05,3800000110|3800000120,3800000110|3800000120,False,0,1,15,3,4,1.0,1.0,12,6,18
empirical_w6,2,1.7,0.17252961134954603,6.642327993170965e-05,3800000110|3800000120,3800000110|3800000120,False,0,0,12,1,4,1.0,1.0,12,6,18
empirical_w6,2,1.75,0.14686420182306392,5.619992540901018e-05,3800000110|3800000120,3800000110|3800000120,False,0,0,10,1,4,1.0,1.0,12,6,18
empirical_w6,2,1.8,0.12760236565236482,4.853528077357635e-05,3800000110|3800000120,3800000110|3800000120,False,0,0,10,1,4,1.0,1.0,12,6,18
empirical_w6,2,1.85,7.281575240054281,0.0027605584617190317,3800000110|3800000120,1600066510|3800000110|3800000120,True,1,4,14,0,4,1.0,0.6666666666666666,12,6,18
empirical_w6,2,1.9,1.3476133035014755,0.0005067087783339769,1600066510|3800000110|3800000120,1600066510|3800000110|3800000120,False,0,3,15,2,4,1.0,1.0,12,6,18
empirical_w6,2,1.95,0.3827846399944974,0.00014232243459947813,1600066510|3800000110|3800000120,1600066510|3800000110|3800000120,False,0,0,18,4,4,1.0,1.0,12,6,18
empirical_w6,2,2.0,0.359291203815701,0.0001321129132654107,1600066510|3800000110|3800000120,1600066510|3800000110|3800000120,False,0,0,14,3,4,1.0,1.0,12,6,18
empirical_w6,2,2.05,0.3459671504488142,0.00012582481009327867,1600066510|3800000110|3800000120,1600066510|3800000110|3800000120,False,0,0,12,3,4,1.0,1.0,12,6,18
empirical_w6,2,2.1,0.360372303168333,0.00012964844784223333,1600066510|3800000110|3800000120,1600066510|3800000110|3800000120,False,0,0,12,3,4,1.0,1.0,12,6,18
empirical_w6,2,2.15,6.209233615119501,0.0022145822052380346,1600066510|3800000110|3800000120,1600066510|3800000110|3800000120|3800000127,True,1,4,14,3,8,1.0,1.0,12,6,18
empirical_w6,2,2.2,0.43530410174480494,0.00015322016304113235,1600066510|3800000110|3800000120|3800000127,1600066510|3800000110|3800000120|3800000127,False,0,0,12,6,8,1.0,1.0,12,6,18
empirical_w6,2,2.24,0.44236386355532886,0.0001540891702601742,1600066510|3800000110|3800000120|3800000127,1600066510|3800000110|3800000120|3800000127,False,0,0,12,6,8,1.0,1.0,12,6,18
empirical_w6,2,2.25,0.4450939366970488,0.00015463892696302432,1600066510|3800000110|3800000120|3800000127,1600066510|3800000110|3800000120|3800000127,False,0,0,10,7,8,1.0,1.0,12,6,18
empirical_w6,2,2.3,0.46495651620170975,0.00015947631477308664,1600066510|3800000110|3800000120|3800000127,1600066510|3800000110|3800000120|3800000127,False,0,0,10,7,8,1.0,1.0,12,6,18
