alpha,scenario_id,scenario_weight,policy,discounted_profit,promotion_count,mean_promotion_depth,first_promotion_week,discount_path
2.1,9,0.028333333333333335,myopic,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.1,9,0.028333333333333335,nominal_dynamic,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.1,9,0.028333333333333335,dro,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.1,10,0.025000000000000005,myopic,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.1,10,0.025000000000000005,nominal_dynamic,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.1,10,0.025000000000000005,dro,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.1,11,0.028333333333333335,myopic,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.1,11,0.028333333333333335,nominal_dynamic,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.1,11,0.028333333333333335,dro,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.1,12,0.018333333333333333,myopic,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.1,12,0.018333333333333333,nominal_dynamic,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.1,12,0.018333333333333333,dro,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.1,13,0.015000000000000001,myopic,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.1,13,0.015000000000000001,nominal_dynamic,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.1,13,0.015000000000000001,dro,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.1,14,0.01666666666666667,myopic,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.1,14,0.01666666666666667,nominal_dynamic,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.1,14,0.01666666666666667,dro,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.1,15,0.01666666666666667,myopic,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.1,15,0.01666666666666667,nominal_dynamic,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.1,15,0.01666666666666667,dro,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.1,16,0.04833333333333332,myopic,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.1,16,0.04833333333333332,nominal_dynamic,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.1,16,0.04833333333333332,dro,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.1,17,0.03333333333333333,myopic,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.1,17,0.03333333333333333,nominal_dynamic,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.1,17,0.03333333333333333,dro,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.1,18,0.025000000000000005,myopic,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.1,18,0.025000000000000005,nominal_dynamic,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.1,18,0.025000000000000005,dro,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.1,19,0.043333333333333335,myopic,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.1,19,0.043333333333333335,nominal_dynamic,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.1,19,0.043333333333333335,dro,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.1,20,0.028333333333333335,myopic,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.1,20,0.028333333333333335,nominal_dynamic,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.1,20,0.028333333333333335,dro,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.1,21,0.015000000000000001,myopic,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.1,21,0.015000000000000001,nominal_dynamic,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.1,21,0.015000000000000001,dro,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.1,22,0.03333333333333333,myopic,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.1,22,0.03333333333333333,nominal_dynamic,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.1,22,0.03333333333333333,dro,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.1,23,0.018333333333333337,myopic,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.1,23,0.018333333333333337,nominal_dynamic,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.1,23,0.018333333333333337,dro,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.1,24,0.023333333333333334,myopic,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
