alpha,method,schedule_id,week,discount_depth
2.235,persistent_dro,0,1,0.0
2.235,persistent_dro,0,2,0.0
2.235,persistent_dro,0,3,0.0
2.235,persistent_dro,0,4,0.0
2.235,persistent_dro,0,5,0.0
2.235,persistent_dro,0,6,0.0
2.235,persistent_dro,0,7,0.0
2.235,persistent_dro,0,8,0.0
2.235,persistent_dro,0,9,0.0
2.235,persistent_dro,0,10,0.0
2.235,persistent_dro,0,11,0.0
2.235,persistent_dro,0,12,0.0
2.24,myopic,3168,1,0.3
2.24,myopic,3168,2,0.0
2.24,myopic,3168,3,0.0
2.24,myopic,3168,4,0.3
2.24,myopic,3168,5,0.0
2.24,myopic,3168,6,0.0
2.24,myopic,3168,7,0.3
2.24,myopic,3168,8,0.0
2.24,myopic,3168,9,0.0
2.24,myopic,3168,10,0.3
2.24,myopic,3168,11,0.0
2.24,myopic,3168,12,0.0
2.24,nominal_dynamic,21,1,0.0
2.24,nominal_dynamic,21,2,0.0
2.24,nominal_dynamic,21,3,0.0
2.24,nominal_dynamic,21,4,0.0
2.24,nominal_dynamic,21,5,0.0
2.24,nominal_dynamic,21,6,0.0
2.24,nominal_dynamic,21,7,0.0
2.24,nominal_dynamic,21,8,0.0
2.24,nominal_dynamic,21,9,0.3
2.24,nominal_dynamic,21,10,0.0
2.24,nominal_dynamic,21,11,0.0
2.24,nominal_dynamic,21,12,0.3
2.24,persistent_dro,3,1,0.0
2.24,persistent_dro,3,2,0.0
2.24,persistent_dro,3,3,0.0
2.24,persistent_dro,3,4,0.0
2.24,persistent_dro,3,5,0.0
2.24,persistent_dro,3,6,0.0
2.24,persistent_dro,3,7,0.0
2.24,persistent_dro,3,8,0.0
2.24,persistent_dro,3,9,0.0
2.24,persistent_dro,3,10,0.0
2.24,persistent_dro,3,11,0.0
2.24,persistent_dro,3,12,0.3
2.245,myopic,3168,1,0.3
2.245,myopic,3168,2,0.0
2.245,myopic,3168,3,0.0
2.245,myopic,3168,4,0.3
2.245,myopic,3168,5,0.0
2.245,myopic,3168,6,0.0
2.245,myopic,3168,7,0.3
2.245,myopic,3168,8,0.0
2.245,myopic,3168,9,0.0
2.245,myopic,3168,10,0.3
2.245,myopic,3168,11,0.0
2.245,myopic,3168,12,0.0
2.245,nominal_dynamic,903,1,0.0
2.245,nominal_dynamic,903,2,0.0
2.245,nominal_dynamic,903,3,0.3
2.245,nominal_dynamic,903,4,0.0
2.245,nominal_dynamic,903,5,0.0
2.245,nominal_dynamic,903,6,0.3
2.245,nominal_dynamic,903,7,0.0
2.245,nominal_dynamic,903,8,0.0
2.245,nominal_dynamic,903,9,0.3
2.245,nominal_dynamic,903,10,0.0
2.245,nominal_dynamic,903,11,0.0
2.245,nominal_dynamic,903,12,0.3
2.245,persistent_dro,3,1,0.0
2.245,persistent_dro,3,2,0.0
2.245,persistent_dro,3,3,0.0
2.245,persistent_dro,3,4,0.0
2.245,persistent_dro,3,5,0.0
2.245,persistent_dro,3,6,0.0
2.245,persistent_dro,3,7,0.0
2.245,persistent_dro,3,8,0.0
2.245,persistent_dro,3,9,0.0
2.245,persistent_dro,3,10,0.0
2.245,persistent_dro,3,11,0.0
2.245,persistent_dro,3,12,0.3
2.25,myopic,3168,1,0.3
2.25,myopic,3168,2,0.0
2.25,myopic,3168,3,0.0
2.25,myopic,3168,4,0.3
2.25,myopic,3168,5,0.0
2.25,myopic,3168,6,0.0
2.25,myopic,3168,7,0.3
2.25,myopic,3168,8,0.0
2.25,myopic,3168,9,0.0
2.25,myopic,3168,10,0.3
2.25,myopic,3168,11,0.0
2.25,myopic,3168,12,0.0
2.25,nominal_dynamic,1578,1,0.0
2.25,nominal_dynamic,1578,2,0.3
2.25,nominal_dynamic,1578,3,0.0
2.25,nominal_dynamic,1578,4,0.0
2.25,nominal_dynamic,1578,5,0.0
2.25,nominal_dynamic,1578,6,0.3
2.25,nominal_dynamic,1578,7,0.0
2.25,nominal_dynamic,1578,8,0.0
2.25,nominal_dynamic,1578,9,0.3
2.25,nominal_dynamic,1578,10,0.0
2.25,nominal_dynamic,1578,11,0.0
2.25,nominal_dynamic,1578,12,0.3
2.25,persistent_dro,3,1,0.0
2.25,persistent_dro,3,2,0.0
2.25,persistent_dro,3,3,0.0
2.25,persistent_dro,3,4,0.0
2.25,persistent_dro,3,5,0.0
2.25,persistent_dro,3,6,0.0
2.25,persistent_dro,3,7,0.0
2.25,persistent_dro,3,8,0.0
2.25,persistent_dro,3,9,0.0
2.25,persistent_dro,3,10,0.0
2.25,persistent_dro,3,11,0.0
2.25,persistent_dro,3,12,0.3
2.255,myopic,3168,1,0.3
2.255,myopic,3168,2,0.0
2.255,myopic,3168,3,0.0
2.255,myopic,3168,4,0.3
2.255,myopic,3168,5,0.0
2.255,myopic,3168,6,0.0
2.255,myopic,3168,7,0.3
2.255,myopic,3168,8,0.0
2.255,myopic,3168,9,0.0
2.255,myopic,3168,10,0.3
2.255,myopic,3168,11,0.0
2.255,myopic,3168,12,0.0
2.255,nominal_dynamic,2820,1,0.3
2.255,nominal_dynamic,2820,2,0.0
2.255,nominal_dynamic,2820,3,0.0
2.255,nominal_dynamic,2820,4,0.0
2.255,nominal_dynamic,2820,5,0.0
2.255,nominal_dynamic,2820,6,0.3
2.255,nominal_dynamic,2820,7,0.0
2.255,nominal_dynamic,2820,8,0.0
2.255,nominal_dynamic,2820,9,0.3
2.255,nominal_dynamic,2820,10,0.0
2.255,nominal_dynamic,2820,11,0.0
2.255,nominal_dynamic,2820,12,0.3
2.255,persistent_dro,3,1,0.0
2.255,persistent_dro,3,2,0.0
2.255,persistent_dro,3,3,0.0
2.255,persistent_dro,3,4,0.0
2.255,persistent_dro,3,5,0.0
2.255,persistent_dro,3,6,0.0
2.255,persistent_dro,3,7,0.0
2.255,persistent_dro,3,8,0.0
2.255,persistent_dro,3,9,0.0
2.255,persistent_dro,3,10,0.0
2.255,persistent_dro,3,11,0.0
2.255,persistent_dro,3,12,0.3
2.3,myopic,3168,1,0.3
2.3,myopic,3168,2,0.0
2.3,myopic,3168,3,0.0
2.3,myopic,3168,4,0.3
2.3,myopic,3168,5,0.0
2.3,myopic,3168,6,0.0
2.3,myopic,3168,7,0.3
2.3,myopic,3168,8,0.0
2.3,myopic,3168,9,0.0
2.3,myopic,3168,10,0.3
2.3,myopic,3168,11,0.0
2.3,myopic,3168,12,0.0
2.3,nominal_dynamic,2820,1,0.3
2.3,nominal_dynamic,2820,2,0.0
2.3,nominal_dynamic,2820,3,0.0
2.3,nominal_dynamic,2820,4,0.0
2.3,nominal_dynamic,2820,5,0.0
2.3,nominal_dynamic,2820,6,0.3
2.3,nominal_dynamic,2820,7,0.0
2.3,nominal_dynamic,2820,8,0.0
2.3,nominal_dynamic,2820,9,0.3
2.3,nominal_dynamic,2820,10,0.0
2.3,nominal_dynamic,2820,11,0.0
2.3,nominal_dynamic,2820,12,0.3
2.3,persistent_dro,21,1,0.0
2.3,persistent_dro,21,2,0.0
2.3,persistent_dro,21,3,0.0
2.3,persistent_dro,21,4,0.0
2.3,persistent_dro,21,5,0.0
2.3,persistent_dro,21,6,0.0
2.3,persistent_dro,21,7,0.0
2.3,persistent_dro,21,8,0.0
2.3,persistent_dro,21,9,0.3
2.3,persistent_dro,21,10,0.0
2.3,persistent_dro,21,11,0.0
2.3,persistent_dro,21,12,0.3
2.305,myopic,3168,1,0.3
2.305,myopic,3168,2,0.0
2.305,myopic,3168,3,0.0
2.305,myopic,3168,4,0.3
2.305,myopic,3168,5,0.0
2.305,myopic,3168,6,0.0
2.305,myopic,3168,7,0.3
2.305,myopic,3168,8,0.0
2.305,myopic,3168,9,0.0
2.305,myopic,3168,10,0.3
2.305,myopic,3168,11,0.0
2.305,myopic,3168,12,0.0
2.305,nominal_dynamic,2928,1,0.3
2.305,nominal_dynamic,2928,2,0.0
2.305,nominal_dynamic,2928,3,0.0
2.305,nominal_dynamic,2928,4,0.0
2.305,nominal_dynamic,2928,5,0.3
2.305,nominal_dynamic,2928,6,0.0
2.305,nominal_dynamic,2928,7,0.0
2.305,nominal_dynamic,2928,8,0.0
2.305,nominal_dynamic,2928,9,0.3
2.305,nominal_dynamic,2928,10,0.0
2.305,nominal_dynamic,2928,11,0.0
2.305,nominal_dynamic,2928,12,0.3
2.305,persistent_dro,21,1,0.0
2.305,persistent_dro,21,2,0.0
2.305,persistent_dro,21,3,0.0
2.305,persistent_dro,21,4,0.0
2.305,persistent_dro,21,5,0.0
2.305,persistent_dro,21,6,0.0
2.305,persistent_dro,21,7,0.0
2.305,persistent_dro,21,8,0.0
2.305,persistent_dro,21,9,0.3
2.305,persistent_dro,21,10,0.0
2.305,persistent_dro,21,11,0.0
2.305,persistent_dro,21,12,0.3
2.315,myopic,3168,1,0.3
2.315,myopic,3168,2,0.0
2.315,myopic,3168,3,0.0
