,count,mean,std,min,50%,90%,95%,99%,99.9%,max
move,5125945.0,16.863153038122725,38.56618713851587,0.0,11.0,31.0,43.0,117.0,522.0,6126.0
model_unit_price,5125945.0,3.11130478985462,0.7840715371852467,0.05,3.15,4.05,4.35,4.86,6.69,9.71
regular_price,5125945.0,3.1783837157299692,0.7764189038584086,0.25,3.19,4.09,4.45,4.89,6.98,7.49
discount_depth,5125945.0,0.022415920267200972,0.0717067477710182,0.0,0.0,0.06688963210702348,0.1416719846841099,0.42651296829971186,0.5638766519823791,0.9791231732776617
log_price,5125945.0,1.0945673318593594,0.31385330662360916,-2.995732273553991,1.1474024528375417,1.3987168811184478,1.4701758451005926,1.5810384379124025,1.900613874140137,2.2731562823032334
scaled_time_trend,5125945.0,1.9744350553897867,1.131448744809779,0.04,1.89,3.62,3.81,3.95,3.98,3.98
gross_margin_pct_observed,4503304.0,17.28478793484197,9.763018359740578,-99.69,16.6,26.64,33.95,47.97,62.58,99.99
