grid_name,weekly_capacity,alpha,policy,upc,product_name,value,promotion_count,total_depth,schedule_supported,decision_horizon,washout_horizon,evaluation_horizon
empirical_w6,1,1.55,dynamic,3800000127,3800000127,239.69628906249972,0,0.0,True,12,6,18
empirical_w6,1,1.55,dynamic,1600066510,1600066510,398.87255859374886,0,0.0,True,12,6,18
empirical_w6,1,1.55,dynamic,3800001611,3800001611,332.3937988281248,0,0.0,True,12,6,18
empirical_w6,1,1.55,dynamic,3800000110,3800000110,161.57857807493212,1,0.09,True,12,6,18
empirical_w6,1,1.55,myopic,1600066610,1600066610,472.7574157714848,0,0.0,True,12,6,18
empirical_w6,1,1.55,myopic,1600066590,1600066590,399.8057861328117,0,0.0,True,12,6,18
empirical_w6,1,1.55,myopic,3800000120,3800000120,249.29017639160062,0,0.0,True,12,6,18
empirical_w6,1,1.55,myopic,3800001520,3800001520,327.6087036132809,0,0.0,True,12,6,18
empirical_w6,1,1.55,myopic,3800000127,3800000127,239.69628906249972,0,0.0,True,12,6,18
empirical_w6,1,1.55,myopic,1600066510,1600066510,398.87255859374886,0,0.0,True,12,6,18
empirical_w6,1,1.55,myopic,3800001611,3800001611,332.3937988281248,0,0.0,True,12,6,18
empirical_w6,1,1.55,myopic,3800000110,3800000110,161.18012670552733,4,0.36,True,12,6,18
empirical_w6,1,1.6,dynamic,1600066610,1600066610,472.7574157714848,0,0.0,True,12,6,18
empirical_w6,1,1.6,dynamic,1600066590,1600066590,399.8057861328117,0,0.0,True,12,6,18
empirical_w6,1,1.6,dynamic,3800000120,3800000120,249.29017639160062,0,0.0,True,12,6,18
empirical_w6,1,1.6,dynamic,3800001520,3800001520,327.6087036132809,0,0.0,True,12,6,18
empirical_w6,1,1.6,dynamic,3800000127,3800000127,239.69628906249972,0,0.0,True,12,6,18
empirical_w6,1,1.6,dynamic,1600066510,1600066510,398.87255859374886,0,0.0,True,12,6,18
empirical_w6,1,1.6,dynamic,3800001611,3800001611,332.3937988281248,0,0.0,True,12,6,18
empirical_w6,1,1.6,dynamic,3800000110,3800000110,162.3498230209351,4,0.36,True,12,6,18
empirical_w6,1,1.6,myopic,1600066610,1600066610,472.7574157714848,0,0.0,True,12,6,18
empirical_w6,1,1.6,myopic,1600066590,1600066590,399.8057861328117,0,0.0,True,12,6,18
empirical_w6,1,1.6,myopic,3800000120,3800000120,249.29017639160062,0,0.0,True,12,6,18
empirical_w6,1,1.6,myopic,3800001520,3800001520,327.6087036132809,0,0.0,True,12,6,18
empirical_w6,1,1.6,myopic,3800000127,3800000127,239.69628906249972,0,0.0,True,12,6,18
empirical_w6,1,1.6,myopic,1600066510,1600066510,398.87255859374886,0,0.0,True,12,6,18
empirical_w6,1,1.6,myopic,3800001611,3800001611,332.3937988281248,0,0.0,True,12,6,18
empirical_w6,1,1.6,myopic,3800000110,3800000110,162.2028478800456,4,0.36,True,12,6,18
empirical_w6,1,1.65,dynamic,1600066610,1600066610,472.7574157714848,0,0.0,True,12,6,18
empirical_w6,1,1.65,dynamic,1600066590,1600066590,399.8057861328117,0,0.0,True,12,6,18
empirical_w6,1,1.65,dynamic,3800000120,3800000120,249.37757902105648,3,0.8999999999999999,True,12,6,18
empirical_w6,1,1.65,dynamic,3800001520,3800001520,327.6087036132809,0,0.0,True,12,6,18
empirical_w6,1,1.65,dynamic,3800000127,3800000127,239.69628906249972,0,0.0,True,12,6,18
empirical_w6,1,1.65,dynamic,1600066510,1600066510,398.87255859374886,0,0.0,True,12,6,18
empirical_w6,1,1.65,dynamic,3800001611,3800001611,332.3937988281248,0,0.0,True,12,6,18
empirical_w6,1,1.65,dynamic,3800000110,3800000110,163.36234255170825,4,0.36,True,12,6,18
empirical_w6,1,1.65,myopic,1600066610,1600066610,472.7574157714848,0,0.0,True,12,6,18
empirical_w6,1,1.65,myopic,1600066590,1600066590,399.8057861328117,0,0.0,True,12,6,18
empirical_w6,1,1.65,myopic,3800000120,3800000120,249.37151025104518,4,1.2,True,12,6,18
empirical_w6,1,1.65,myopic,3800001520,3800001520,327.6087036132809,0,0.0,True,12,6,18
empirical_w6,1,1.65,myopic,3800000127,3800000127,239.69628906249972,0,0.0,True,12,6,18
empirical_w6,1,1.65,myopic,1600066510,1600066510,398.87255859374886,0,0.0,True,12,6,18
empirical_w6,1,1.65,myopic,3800001611,3800001611,332.3937988281248,0,0.0,True,12,6,18
empirical_w6,1,1.65,myopic,3800000110,3800000110,163.22556905456386,4,0.36,True,12,6,18
empirical_w6,1,1.7,dynamic,1600066610,1600066610,472.7574157714848,0,0.0,True,12,6,18
empirical_w6,1,1.7,dynamic,1600066590,1600066590,399.8057861328117,0,0.0,True,12,6,18
empirical_w6,1,1.7,dynamic,3800000120,3800000120,262.0649417750038,4,2.2,True,12,6,18
empirical_w6,1,1.7,dynamic,3800001520,3800001520,327.6087036132809,0,0.0,True,12,6,18
empirical_w6,1,1.7,dynamic,3800000127,3800000127,239.69628906249972,0,0.0,True,12,6,18
empirical_w6,1,1.7,dynamic,1600066510,1600066510,398.87255859374886,0,0.0,True,12,6,18
empirical_w6,1,1.7,dynamic,3800001611,3800001611,332.3937988281248,0,0.0,True,12,6,18
empirical_w6,1,1.7,dynamic,3800000110,3800000110,164.3748620824814,4,0.36,True,12,6,18
empirical_w6,1,1.7,myopic,1600066610,1600066610,472.7574157714848,0,0.0,True,12,6,18
empirical_w6,1,1.7,myopic,1600066590,1600066590,399.8057861328117,0,0.0,True,12,6,18
empirical_w6,1,1.7,myopic,3800000120,3800000120,262.04401664924626,4,2.2,True,12,6,18
empirical_w6,1,1.7,myopic,3800001520,3800001520,327.6087036132809,0,0.0,True,12,6,18
empirical_w6,1,1.7,myopic,3800000127,3800000127,239.69628906249972,0,0.0,True,12,6,18
empirical_w6,1,1.7,myopic,1600066510,1600066510,398.87255859374886,0,0.0,True,12,6,18
empirical_w6,1,1.7,myopic,3800001611,3800001611,332.3937988281248,0,0.0,True,12,6,18
empirical_w6,1,1.7,myopic,3800000110,3800000110,164.3078087135156,4,0.36,True,12,6,18
empirical_w6,1,1.75,dynamic,1600066610,1600066610,472.7574157714848,0,0.0,True,12,6,18
empirical_w6,1,1.75,dynamic,1600066590,1600066590,399.8057861328117,0,0.0,True,12,6,18
empirical_w6,1,1.75,dynamic,3800000120,3800000120,276.86041860262526,4,2.2,True,12,6,18
empirical_w6,1,1.75,dynamic,3800001520,3800001520,327.6087036132809,0,0.0,True,12,6,18
empirical_w6,1,1.75,dynamic,3800000127,3800000127,239.69628906249972,0,0.0,True,12,6,18
empirical_w6,1,1.75,dynamic,1600066510,1600066510,398.87255859374886,0,0.0,True,12,6,18
empirical_w6,1,1.75,dynamic,3800001611,3800001611,332.3937988281248,0,0.0,True,12,6,18
empirical_w6,1,1.75,dynamic,3800000110,3800000110,165.38738161325458,4,0.36,True,12,6,18
empirical_w6,1,1.75,myopic,1600066610,1600066610,472.7574157714848,0,0.0,True,12,6,18
empirical_w6,1,1.75,myopic,1600066590,1600066590,399.8057861328117,0,0.0,True,12,6,18
empirical_w6,1,1.75,myopic,3800000120,3800000120,276.83993032455453,4,2.2,True,12,6,18
empirical_w6,1,1.75,myopic,3800001520,3800001520,327.6087036132809,0,0.0,True,12,6,18
empirical_w6,1,1.75,myopic,3800000127,3800000127,239.69628906249972,0,0.0,True,12,6,18
empirical_w6,1,1.75,myopic,1600066510,1600066510,398.87255859374886,0,0.0,True,12,6,18
empirical_w6,1,1.75,myopic,3800001611,3800001611,332.3937988281248,0,0.0,True,12,6,18
