scenario_id,scenario_weight,oracle_alpha_threshold,oracle_policy_solves,local_monotonicity_ok,price_elasticity,promotion_lift_log,displacement_strength,inventory_persistence
0,0.020000000000000004,2.14,8,True,1.7998658154207456,-0.03717805105548234,0.0,0.15
1,0.025000000000000005,2.155,8,True,1.6991531730777683,-0.026583987115086874,0.19636316710887436,0.6
2,0.028333333333333335,2.21,8,True,1.5197579156725571,-0.029099024146700635,0.34466421047178747,0.35
3,0.03166666666666667,2.145,9,True,1.5710035223476961,-0.0023113157423604934,0.12333884830918156,0.35
4,0.034999999999999996,2.215,8,True,1.4900366950033481,-0.024836360493381643,0.2250800439109778,0.35
5,0.010000000000000002,2.145,9,True,1.7251705298830136,-0.023813776723497278,0.2834702255013333,0.15
6,0.020000000000000004,2.26,8,True,1.3328816475236283,-0.025011169073897253,0.29506393708889117,0.6
7,0.025000000000000005,2.18,8,True,1.7496842615879777,-0.07186127380381105,0.08935667355608198,0.15
8,0.03666666666666666,2.1,1,True,1.7198052659270253,0.0018201094087483087,0.0,0.35
9,0.028333333333333335,2.1,1,True,1.6703317649322946,0.010346938416134866,0.31359900533776286,0.15
10,0.025000000000000005,2.27,9,True,1.3371255498455807,-0.03676598038529089,0.08584905686543234,0.15
11,0.028333333333333335,2.19,8,True,1.5122712731411552,-0.008733676219283061,0.03097225050021159,0.6
12,0.018333333333333333,2.195,9,True,1.4134714619723883,-0.00014277784180573652,0.20330958108660557,0.15
13,0.015000000000000001,2.13,8,True,1.8944218895059484,-0.0519782547464054,0.28116763857034566,0.6
14,0.01666666666666667,2.1,1,True,1.6703317649322946,0.010346938416134866,0.31359900533776286,0.6
15,0.01666666666666667,2.21,8,True,1.6727314117950094,-0.07752697777856461,0.12891534955395334,0.6
16,0.04833333333333332,2.205,8,True,1.5760316029918704,-0.03850822215418007,0.04080871516173639,0.35
17,0.03333333333333333,2.115,8,True,1.7842059972903963,-0.017952732876590563,0.19777260640821856,0.15
18,0.025000000000000005,2.14,8,True,1.747582641034712,-0.02703641114879739,0.14987767164674107,0.35
19,0.043333333333333335,2.195,9,True,1.513374998507162,-0.013535311320921102,0.07465360781257402,0.15
20,0.028333333333333335,2.22,9,True,1.551366484352079,-0.048961696547446996,0.2590326514116,0.6
21,0.015000000000000001,2.255,8,True,1.321167352241867,-0.014796021702805511,0.3847234999757356,0.12144255297438616
22,0.03333333333333333,2.225,9,True,1.5995715544441418,-0.07377830975664974,0.2847604302272932,0.15
23,0.018333333333333337,2.28,8,True,1.2830606264637845,-0.03033885202705677,0.010663781367098347,0.6
24,0.023333333333333334,2.29,8,True,1.314835186368187,-0.05182975215931041,0.2649189232090773,0.35
25,0.01666666666666667,2.1,1,True,1.8835694510767444,-0.020317167438827943,0.13261367724453957,0.6
26,0.03833333333333332,2.205,8,True,1.5760316029918704,-0.03850822215418007,0.04080871516173639,0.15
27,0.02666666666666667,2.16,8,True,1.5638797599068173,-0.005847726706646559,0.176582957882999,0.6
28,0.030000000000000002,2.215,8,True,1.5203532242357045,-0.033241213460475566,0.18085648329019163,0.15
29,0.005000000000000001,2.34,8,True,0.9829650373195189,0.002671847782778828,0.2906410699425818,0.45185979049080716
30,0.020000000000000004,2.12,9,True,1.9590607137545728,-0.058519826793332404,0.24168484351231426,0.15
31,0.030000000000000002,2.245,9,True,1.4184618137499103,-0.03670334487251601,0.18378923816680112,0.6
32,0.025000000000000005,2.265,8,True,1.2830865826917477,-0.012465559313488297,0.0,0.35
33,0.03833333333333332,2.205,8,True,1.5817438624702054,-0.042113802937706994,0.017353096307021754,0.6
34,0.023333333333333338,2.1,1,True,1.73310682266696,-0.005526998759884754,0.0,0.6
35,0.023333333333333334,2.255,8,True,1.4551422874878226,-0.05888012312684848,0.1940518462062888,0.29474079998736885
36,0.02166666666666667,2.105,8,True,1.8823140619304806,-0.0310719059878934,0.03709719027707839,0.35
37,0.005000000000000001,2.23,8,True,1.5984954097794213,-0.0792417318246165,0.05981896141287346,0.95
38,0.020000000000000004,2.21,8,True,1.6727314117950094,-0.07752697777856461,0.12891534955395334,0.35
39,0.028333333333333335,2.1,1,True,1.6709043247740294,0.008888124103929536,0.21408343855676387,0.35
