split,promotion_indicator,support_group,n,mean_normalized_support_state,mean_normalized_support_all,mean_raw_support_state,mean_loss,median_loss,q90_loss
calibration,0,1,1423,0.0769849115639104,0.07428937851752206,13.869312080006853,5.958495361247379,2.2341449710582495,14.46866407223297
calibration,0,2,1423,0.15217268305908827,0.14142975780556105,30.539945291561736,7.212046214920798,2.5617044860170743,15.531844857720127
calibration,0,3,1422,0.23275836785070683,0.2180608909566597,50.09537216892337,5.038899096405635,2.132526129206785,12.936950888156932
calibration,0,4,1423,0.39294848409473343,0.38114524889272555,78.12232187447032,6.665967279714247,2.633325661675947,17.685963804024958
calibration,0,5,1423,0.6283987335429868,0.5998758141452507,110.69730634499871,7.34703812838162,3.1725350229577813,19.549080080415003
calibration,1,1,218,0.018876896446752976,0.027953754176494868,0.6665745463902504,98.80102732932565,36.493270362981335,268.3794324190453
calibration,1,2,218,0.06313774616622916,0.04522819912649974,2.0837944824516725,154.6827353752973,66.74348192609207,435.11443367183887
calibration,1,3,217,0.16479125968231606,0.17635460404977263,4.864534369082624,137.29217030581313,55.00496279905748,390.1612111073863
calibration,1,4,218,0.4059657581535429,0.4539707272858349,13.492831979019867,69.00611808681623,54.29843303661169,149.1398069585768
calibration,1,5,218,0.5682241004901342,0.5210853650924743,19.41175681122642,86.44199436445622,69.3279630364299,169.0362136295942
test,0,1,29,0.03910069999194616,0.1890454965650533,10.490532053913558,48.23744748456463,42.328434122742735,88.26002771629322
test,0,2,48,0.1701464283406995,0.2067045480944627,22.19536099974647,7.733718552490494,2.0689847456412647,23.61945370475187
test,0,3,1266,0.24962916817118244,0.22731838428028334,56.01946509773208,8.247538305108112,3.7260933565477785,18.558488688312014
test,0,4,3699,0.37288696745877326,0.35001672670366046,96.0764060824975,8.389754918550103,2.498853904877379,19.773277194384963
test,0,5,2399,0.6274049443345809,0.5869131078696678,144.93588972522156,21.759850119593892,2.6444876880867625,14.782310157642964
test,1,1,139,0.014433692552208126,0.04436073422324722,0.7276291307334195,495.7667423523351,157.43514678443807,1071.421013603025
test,1,2,162,0.06631936042708829,0.054015702020956756,3.058126928842043,148.97324559894724,42.0626622941146,377.04635983539004
test,1,3,344,0.1635799457917428,0.1407617296972422,6.753752920166695,113.01895274847568,58.31380167135836,225.6020184604493
test,1,4,376,0.39678039266341997,0.42108843764916376,17.332816216887597,179.43547993684714,80.05584168598843,211.99300453727784
test,1,5,126,0.5359774752930963,0.48663895688137204,23.487380364444846,423.05446690789927,109.57160552362906,1671.126793975238
