upc,train_units,train_rows,train_weeks,train_stores,train_promotion_rows,train_regular_rows,train_imputed_share,train_distinct_prices,train_log_price_sd,train_price_p10,train_price_p90,calibration_rows,calibration_weeks,calibration_stores,test_rows,test_weeks,test_stores,train_relative_price_range,adequate_train_weeks,adequate_calibration_weeks,adequate_test_weeks,adequate_store_coverage,adequate_distinct_prices,adequate_promotions,adequate_regular_rows,acceptable_imputation,adequate_price_range,eligible
3800013800,21413,2362,31,86,406,1899,0.04403048264182896,29,0.055400107815623226,2.75,3.15,6158.0,72.0,86.0,4806.0,61.0,85.0,0.1454545454545455,False,True,True,True,True,True,True,True,True,False
3800013544,21218,2482,40,77,57,2372,0.6869460112812248,4,0.02981251507431458,0.39,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,True,True,False,False,False
1600065620,20596,2239,29,83,174,2040,0.17775792764627066,24,0.06744570434921678,2.75,2.99,5986.0,72.0,85.0,5894.0,72.0,84.0,0.08727272727272739,False,True,True,True,True,True,True,True,False,False
1780010304,20069,3467,50,84,92,3289,0.3060282665128353,10,0.13155924254236473,2.99,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.1371237458193979,False,False,False,True,True,True,True,False,True,False
3828125057,19393,985,13,79,379,531,0.48223350253807107,1,2.2226261637168e-16,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,True,True,False,False,False
1780016311,19304,4411,58,86,669,3492,0.4089775561097257,53,0.1402916303758013,2.77,3.19,0.0,0.0,0.0,0.0,0.0,0.0,0.15162454873646203,False,False,False,True,True,True,True,False,True,False
3800012400,18411,3071,41,83,567,2442,0.11820253988928688,9,0.0455057921721591,2.65,2.99,0.0,0.0,0.0,0.0,0.0,0.0,0.12830188679245302,False,False,False,True,True,True,True,True,True,False
3800013520,18164,2968,39,86,662,2038,0.32547169811320753,52,0.08385120887433592,3.04,3.56,0.0,0.0,0.0,0.0,0.0,0.0,0.17105263157894735,False,False,False,True,True,True,True,False,True,False
3000002810,18076,5026,66,84,427,4434,0.362116991643454,7,0.035008050793960695,2.33,2.59,0.0,0.0,0.0,0.0,0.0,0.0,0.11158798283261784,False,False,False,True,False,True,True,False,True,False
3800012221,17858,3421,48,83,913,2429,0.16895644548377667,6,0.03938244581209373,3.39,3.79,0.0,0.0,0.0,0.0,0.0,0.0,0.11799410029498514,False,False,False,True,False,True,True,True,True,False
1780018429,17349,4461,55,85,362,3942,0.4530374355525667,37,0.07476948835243706,2.49,2.75,0.0,0.0,0.0,0.0,0.0,0.0,0.10441767068273089,False,False,False,True,True,True,True,False,True,False
1600063110,17283,1345,27,84,422,808,0.03345724907063197,91,0.17443835669087307,2.29,3.19,5146.0,60.0,86.0,0.0,0.0,0.0,0.39301310043668125,False,True,False,True,True,True,True,True,True,False
3000006990,17217,4583,62,83,454,3978,0.23368972288893738,5,0.03217234645903668,2.59,2.85,0.0,0.0,0.0,0.0,0.0,0.0,0.10038610038610041,False,False,False,True,False,True,True,True,True,False
3000004340,17183,3577,115,43,132,3394,0.4090019569471624,17,0.05240029161946221,3.15,3.69,0.0,0.0,0.0,0.0,0.0,0.0,0.17142857142857149,True,False,False,True,True,True,True,False,True,False
1600065400,16811,2899,214,25,151,2717,0.3428768540876164,26,0.04039478130956481,3.15,3.39,593.0,72.0,11.0,362.0,72.0,7.0,0.07619047619047636,True,True,True,True,True,True,True,False,False,False
1780016609,15515,2134,35,73,157,1898,0.30412371134020616,9,0.059893667406806274,2.83,3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.1484098939929328,False,False,False,True,True,True,True,False,True,False
1780014601,14912,2438,33,81,213,2183,0.22723543888433143,7,0.030076671242078367,2.65,2.89,0.0,0.0,0.0,0.0,0.0,0.0,0.09056603773584904,False,False,False,True,False,True,True,True,False,False
3680011885,14241,5791,72,85,1691,3820,0.21999654636504923,63,0.07372186961939166,2.72,3.19,0.0,0.0,0.0,0.0,0.0,0.0,0.17279411764705865,False,False,False,True,True,True,True,True,True,False
3000006201,14189,3295,43,83,812,2411,0.48619119878603945,26,0.0911794532542587,2.85,3.89,0.0,0.0,0.0,0.0,0.0,0.0,0.3649122807017544,False,False,False,True,True,True,True,False,True,False
3000002390,13933,2003,27,86,295,1554,0.02895656515227159,27,0.050076013339629,2.07,2.39,0.0,0.0,0.0,0.0,0.0,0.0,0.15458937198067657,False,False,False,True,True,True,True,True,True,False
3000002360,13571,1982,25,86,284,1551,0.023713420787083755,30,0.049209741071166685,2.09,2.39,0.0,0.0,0.0,0.0,0.0,0.0,0.1435406698564594,False,False,False,True,True,True,True,True,True,False
1313002033,13340,4663,67,81,217,4365,0.42676388591035813,9,0.030728346042574777,2.15,2.35,0.0,0.0,0.0,0.0,0.0,0.0,0.09302325581395365,False,False,False,True,True,True,True,False,False,False
1780017909,12694,3004,38,85,389,2521,0.2956058588548602,32,0.044327773850311177,2.79,3.19,0.0,0.0,0.0,0.0,0.0,0.0,0.14336917562724016,False,False,False,True,True,True,True,False,True,False
1780015707,12550,3174,41,83,439,2586,0.22904851921865155,4,0.03743873194957722,2.99,3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.08695652173913038,False,False,False,True,False,True,True,True,False,False
1313001146,12376,1725,27,79,53,1651,0.22202898550724637,8,0.05534824120869348,2.54,2.97,0.0,0.0,0.0,0.0,0.0,0.0,0.1692913385826773,False,False,False,True,True,True,True,True,True,False
1600069910,11880,1189,15,85,195,879,0.022708158116063918,28,0.15870406094411452,1.86,2.59,2844.0,36.0,86.0,0.0,0.0,0.0,0.39247311827956977,False,False,False,True,True,True,True,True,True,False
1780013097,11824,2496,47,65,42,2454,0.7952724358974359,2,0.00354088091787646,0.39,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,True,True,False,False,False
1313005154,11640,3176,214,35,92,3057,0.45780856423173805,19,0.07054011981300305,3.09,3.69,180.0,18.0,10.0,0.0,0.0,0.0,0.19417475728155353,True,False,False,True,True,True,True,False,True,False
1313001145,11361,3555,214,28,334,3098,0.40421940928270045,44,0.06017699566438409,2.85,3.39,527.0,60.0,10.0,0.0,0.0,0.0,0.18947368421052624,True,True,False,True,True,True,True,False,True,False
1600063100,10203,960,26,70,319,576,0.13854166666666667,80,0.18775790270852832,2.24,3.19,5123.0,60.0,86.0,0.0,0.0,0.0,0.4241071428571428,False,True,False,True,True,True,True,True,True,False
3000007830,9569,2916,136,40,376,2429,0.3936899862825789,15,0.051286327259373016,2.22,2.49,0.0,0.0,0.0,0.0,0.0,0.0,0.12162162162162171,True,False,False,True,True,True,True,False,True,False
1780014973,9241,3399,48,86,821,2374,0.6331273904089438,16,0.08988386784200392,2.45,2.99,55.0,1.0,55.0,0.0,0.0,0.0,0.2204081632653061,False,False,False,True,True,True,True,False,True,False
1780013806,8996,3161,41,83,80,3002,0.28250553622271435,3,0.027037884980192228,2.99,3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.08695652173913038,False,False,False,True,False,True,True,False,False,False
1780019062,8930,1578,21,85,209,1303,0.34790874524714827,15,0.03667451683841245,2.6060000000000003,2.89,0.0,0.0,0.0,0.0,0.0,0.0,0.10897927858787404,False,False,False,True,True,True,True,False,True,False
3800001631,8793,2336,202,15,94,2215,0.23929794520547945,22,0.06228978249766729,1.99,2.4,696.0,72.0,12.0,287.0,36.0,9.0,0.20603015075376874,True,True,False,True,True,True,True,True,True,False
3800010500,8715,1486,22,79,43,1439,0.3506056527590848,2,0.035543132747638394,2.65,2.89,0.0,0.0,0.0,0.0,0.0,0.0,0.09056603773584904,False,False,False,True,False,True,True,False,False,False
1600069900,8420,1183,15,85,200,872,0.027895181741335588,25,0.15768031529014828,1.86,2.59,2812.0,36.0,86.0,0.0,0.0,0.0,0.39247311827956977,False,False,False,True,True,True,True,True,True,False
1780014216,8060,3314,45,82,571,2642,0.4978877489438745,12,0.04451281065578518,2.75,2.99,0.0,0.0,0.0,0.0,0.0,0.0,0.08727272727272739,False,False,False,True,True,True,True,False,False,False
4300012950,7632,932,14,78,119,743,0.48283261802575106,6,0.07391546707123614,2.29,2.73,0.0,0.0,0.0,0.0,0.0,0.0,0.19213973799126638,False,False,False,True,False,True,True,False,True,False
1313002402,7143,1916,32,74,702,1109,0.4514613778705637,7,0.03821053314449078,2.59,2.82,0.0,0.0,0.0,0.0,0.0,0.0,0.08880308880308885,False,False,False,True,False,True,True,False,False,False
3800012900,7059,2300,46,66,550,1677,0.5056521739130435,7,0.03840311252244701,3.39,3.73,0.0,0.0,0.0,0.0,0.0,0.0,0.10029498525073732,False,False,False,True,False,True,True,False,True,False
1313002401,6953,1913,37,73,684,1128,0.4453737584945112,7,0.03811641957946065,2.59,2.82,0.0,0.0,0.0,0.0,0.0,0.0,0.08880308880308885,False,False,False,True,False,True,True,False,False,False
3800054280,6704,2991,42,78,53,2909,0.6061517886994316,25,0.030786355039881787,6.99,7.49,1142.0,15.0,78.0,0.0,0.0,0.0,0.07153075822603716,False,False,False,True,True,True,True,False,False,False
1780016201,6557,1661,33,63,96,1493,0.3034316676700783,5,0.023656944436967323,2.59,2.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0656370656370655,False,False,False,True,False,True,True,False,False,False
1600069880,6453,1097,15,84,88,1003,0.053783044667274384,9,0.08405191588945929,2.35,2.59,2572.0,34.0,86.0,0.0,0.0,0.0,0.10212765957446801,False,False,False,True,True,True,True,True,True,False
1313002403,6424,2047,56,75,699,1241,0.4787493893502687,7,0.03752394513968408,2.59,2.82,0.0,0.0,0.0,0.0,0.0,0.0,0.08880308880308885,False,False,False,True,False,True,True,False,False,False
1600068920,6163,2939,214,34,138,2766,0.5199047294998299,15,0.029885917404741214,2.07,2.15,454.0,70.0,46.0,5236.0,72.0,79.0,0.03864734299516903,True,True,True,True,True,True,True,False,False,False
3000002380,6147,2188,27,86,284,1698,0.113345521023766,17,0.03548423736323259,2.75,2.89,0.0,0.0,0.0,0.0,0.0,0.0,0.050909090909091015,False,False,False,True,True,True,True,True,False,False
4300012970,6083,783,13,78,108,616,0.5977011494252874,6,0.05856909752447126,2.32,2.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0862068965517242,False,False,False,True,False,True,True,False,False,False
4300012965,6075,2620,46,85,447,2027,0.7362595419847329,38,0.13064365757022586,2.58,3.62,43.0,1.0,43.0,5379.0,68.0,80.0,0.4031007751937985,False,False,True,True,True,True,True,False,True,False
1600062580,5863,1150,23,64,35,1112,0.29478260869565215,3,0.032519430208808854,2.65,2.85,0.0,0.0,0.0,0.0,0.0,0.0,0.07547169811320753,False,False,False,True,False,True,True,False,False,False
1600062600,5400,984,18,64,32,949,0.18800813008130082,3,0.027651464305700042,2.49,2.65,0.0,0.0,0.0,0.0,0.0,0.0,0.06425702811244971,False,False,False,True,False,True,True,True,False,False
3800054276,4640,4305,51,86,867,3146,0.6276422764227643,47,0.05245580674699819,6.29,7.15,1438.0,18.0,86.0,0.0,0.0,0.0,0.13672496025437209,False,False,False,True,True,True,True,False,True,False
3800010400,4583,798,16,78,1,796,0.556390977443609,4,0.042182050371093294,1.97,2.23,0.0,0.0,0.0,0.0,0.0,0.0,0.13197969543147203,False,False,False,True,False,False,True,False,True,False
1780016900,4061,1244,72,23,5,1235,0.5618971061093248,2,0.003814653127492602,2.29,2.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,True,False,False,False
1780014313,3927,2646,35,85,255,2250,0.5423280423280423,31,0.09766393618214322,2.89,3.19,0.0,0.0,0.0,0.0,0.0,0.0,0.10380622837370246,False,False,False,True,True,True,True,False,True,False
1780016515,3761,2077,30,84,526,1452,0.47664901299951856,18,0.08054793805028829,2.84,3.15,0.0,0.0,0.0,0.0,0.0,0.0,0.10915492957746475,False,False,False,True,True,True,True,False,True,False
3000006151,3670,1911,29,85,90,1764,0.8346415489272632,4,0.0016972945766782852,3.99,3.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,True,True,False,False,False
3800010800,3365,864,15,78,32,829,0.5173611111111112,2,0.02136444651715529,1.83,1.93,0.0,0.0,0.0,0.0,0.0,0.0,0.05464480874316924,False,False,False,True,False,True,True,False,False,False
1780014834,3284,703,9,84,113,578,0.37695590327169276,5,0.05143750628613916,2.69,3.09,583.0,11.0,77.0,0.0,0.0,0.0,0.14869888475836435,False,False,False,True,False,True,True,False,True,False
4300011250,2813,613,14,59,109,455,0.5889070146818923,4,0.04358094804207671,2.19,2.49,0.0,0.0,0.0,0.0,0.0,0.0,0.13698630136986312,False,False,False,True,False,True,True,False,True,False
3800001727,2804,348,13,36,84,232,0.15804597701149425,32,0.017061271444876736,4.49,4.64,3630.0,72.0,84.0,5893.0,72.0,84.0,0.03340757238307335,False,True,True,True,True,True,True,True,False,False
1600065420,2766,121,2,65,4,117,0.008264462809917356,3,0.03620184835449344,2.4,2.61,0.0,0.0,0.0,0.0,0.0,0.0,0.08749999999999991,False,False,False,True,False,False,True,True,False,False
1780030180,2590,2206,32,83,26,2129,0.5548504079782411,4,0.03654303988456626,1.29,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.07751937984496116,False,False,False,True,False,False,True,False,False,False
1780013741,2421,666,9,82,141,501,0.35585585585585583,6,0.05507193832713866,2.75,3.15,947.0,18.0,82.0,0.0,0.0,0.0,0.1454545454545455,False,False,False,True,False,True,True,False,True,False
1780017307,2405,2176,30,83,22,2108,0.5537683823529411,4,0.03634419417088946,1.29,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.07751937984496116,False,False,False,True,False,False,True,False,False,False
1780014478,2368,186,7,34,0,186,0.5,1,0.0,0.55,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,True,False,False,False
4300012560,2286,159,3,74,0,159,0.012578616352201259,15,0.01813233124238512,3.25,3.364,5417.0,65.0,85.0,0.0,0.0,0.0,0.035076923076923006,False,True,False,True,True,False,True,True,False,False
3000002150,2189,4304,65,75,286,3901,0.6505576208178439,2,0.015197041788526988,2.49,2.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,True,True,False,False,False
3800001711,2023,1005,20,73,0,1005,0.7840796019900498,1,0.0,1.99,1.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,True,False,False,False
3800010600,1891,852,15,77,52,761,0.7699530516431925,6,0.05581840902733509,2.92,3.39,0.0,0.0,0.0,0.0,0.0,0.0,0.16095890410958913,False,False,False,True,False,True,True,False,True,False
1600066960,1837,473,16,44,0,473,0.8985200845665962,1,0.0,0.49,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,True,False,False,False
1780019538,1722,2260,32,83,24,2231,0.6504424778761062,4,0.03603706298285886,1.29,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.07751937984496116,False,False,False,True,False,False,True,False,False,False
1780000072,1643,846,17,67,71,717,0.7884160756501182,3,0.022281616517571344,0.39,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,True,True,False,False,False
1600062360,1633,799,18,50,178,585,0.5081351689612015,7,0.06624152854474388,3.1,3.73,0.0,0.0,0.0,0.0,0.0,0.0,0.2032258064516128,False,False,False,True,False,True,True,False,True,False
1600065490,1620,314,10,43,0,314,0.7961783439490446,1,0.0,0.49,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,True,False,False,False
3800008600,1599,1108,26,49,0,1108,0.6425992779783394,1,2.2232549637816527e-16,3.12,3.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,True,False,False,False
