moment,count,mean,std,min,5%,50%,95%,max
bootstrap_id,200.0,99.5,57.879184513951124,0.0,9.950000000000001,99.5,189.04999999999998,199.0
panels_sampled,200.0,104.0,0.0,104.0,104.0,104.0,104.0,104.0
events_effective,200.0,293.38,14.899853292589949,247.0,266.95,294.0,318.0,332.0
mean_discount_depth,200.0,0.2690745881305445,0.00963830208381652,0.2469779526237444,0.25469898630459553,0.26895807696197616,0.2854455270965455,0.305619504111184
mean_price_change_residual,200.0,-0.027263945214285434,0.004448624716925074,-0.042695898570769074,-0.034733741269509726,-0.02726877875967676,-0.019544401620823635,-0.015069838688645037
current_lift_log,200.0,0.015939552838422823,0.027493343826685987,-0.058499652395639694,-0.032092621086423995,0.01665251066020691,0.060818053527547856,0.08625105717747492
ordinary_price_lift_log,200.0,0.04339771586530498,0.008676565387310814,0.023474571317068548,0.029524503971633757,0.043101093572350375,0.05817090249379262,0.06880096080734169
promotion_lift_log,200.0,-0.027458163026882147,0.025844228513544218,-0.10341643388084198,-0.07234321258632985,-0.02694724860815871,0.011434918611852635,0.04389817422357083
current_depth_slope,200.0,0.1454663769595502,0.12136988172679901,-0.13972969394808457,-0.05165320235010278,0.13770220268299813,0.3592020310566731,0.5042589665016769
regular_log_price_coefficient,200.0,-1.5911592064775042,0.17635657142749994,-2.039200004581265,-1.8841120729982046,-1.584701378008674,-1.299303302923391,-0.9829650373195189
price_elasticity,200.0,1.5911592064775042,0.17635657142749994,0.9829650373195189,1.2993033029233907,1.584701378008674,1.8841120729982044,2.039200004581265
post1_dip_log,200.0,0.031263719414200454,0.01869048645586763,-0.02277768281973863,2.849852897265795e-05,0.03285791339688207,0.05961679342849623,0.07583883306314239
post1_depth_slope,200.0,0.13524837313739715,0.1405317932825726,-0.2665822461793527,-0.11390810971290304,0.1458148239462238,0.34471267797496014,0.4688010644683514
post2_dip_log,200.0,0.004389313379555726,0.018047834046078102,-0.0416458799531798,-0.025318967063545174,0.004191294284865376,0.0332096448872172,0.05223538853031625
post2_depth_slope,200.0,-0.11716427301492063,0.09376424368368633,-0.3628158022095279,-0.26371736904281007,-0.12210169596724858,0.046726640208570994,0.13754539514010536
post3_dip_log,200.0,0.0039457330685981765,0.014850610467702481,-0.037002929137183144,-0.019780697562680593,0.003869853946807298,0.028902844877162225,0.042877211643516544
post3_depth_slope,200.0,-0.0024497769201152256,0.09041469303188855,-0.2566491880405195,-0.14466134010460138,-0.00971925188339309,0.15658916939441844,0.31351589104761013
post4_dip_log,200.0,-0.014265928562269731,0.01524561881564699,-0.0559545658297263,-0.03964232946018407,-0.014280629245360478,0.010097077309507848,0.020201733983617968
post4_depth_slope,200.0,-0.11259357390890987,0.09343092208108501,-0.34621910206734996,-0.2863514723274592,-0.10948578384626612,0.035855119143833665,0.1247623336298921
