bandwidth,model,n,pinball_loss,coverage,coverage_gap,mean_predicted_risk,median_predicted_risk,exceedance_rate,mean_exceedance
0.02,constant_by_promotion,3197,5.7387263807306885,0.9133562715045355,0.013356271504535444,32.64758288686281,17.238061520377077,0.08664372849546449,4.011998319710133
0.02,monotone_support,3197,5.677783170100343,0.9152330309665311,0.015233030966531058,37.23045171372325,17.28660166040937,0.08476696903346888,3.492768226393744
0.02,full_reliability,3197,4.948245024800633,0.8817641538942759,-0.01823584610572415,38.15877602007972,13.169129658528709,0.11823584610572412,2.670397650458385
0.04,constant_by_promotion,3197,5.7387263807306885,0.9133562715045355,0.013356271504535444,32.64758288686281,17.238061520377077,0.08664372849546449,4.011998319710133
0.04,monotone_support,3197,5.522107530913842,0.9152330309665311,0.015233030966531058,38.20497857520843,17.325683505279134,0.08476696903346888,3.2396399010587236
0.04,full_reliability,3197,4.982215200422254,0.8823897403816078,-0.017610259618392243,37.76942506617429,13.167943899539784,0.11761025961839225,2.7433029214705487
0.06,constant_by_promotion,3197,5.7387263807306885,0.9133562715045355,0.013356271504535444,32.64758288686281,17.238061520377077,0.08664372849546449,4.011998319710133
0.06,monotone_support,3197,5.528031824136263,0.915545824210197,0.015545824210197012,36.87385535864598,17.53036405186495,0.08445417578980294,3.3786765159373893
0.06,full_reliability,3197,4.925765726050143,0.8870816390365968,-0.012918360963403264,38.21683343998567,14.277323242350766,0.11291836096340319,2.6421126097173016
0.08,constant_by_promotion,3197,5.7387263807306885,0.9133562715045355,0.013356271504535444,32.64758288686281,17.238061520377077,0.08664372849546449,4.011998319710133
0.08,monotone_support,3197,5.826272426928623,0.9117923052862058,0.011792305286205784,35.653376603031326,17.17779701489096,0.08820769471379418,3.798964994291215
0.08,full_reliability,3197,4.935690993948227,0.8880200187675946,-0.011979981232405401,38.207564333912636,13.845454416680528,0.11197998123240538,2.6529647882226883
0.1,constant_by_promotion,3197,5.7387263807306885,0.9133562715045355,0.013356271504535444,32.64758288686281,17.238061520377077,0.08664372849546449,4.011998319710133
0.1,monotone_support,3197,5.9309693981032945,0.9124178917735377,0.012417891773537693,36.36491356186117,17.48023472183066,0.08758210822646231,3.8325082695829025
0.1,full_reliability,3197,4.964237669001814,0.8867688457929309,-0.013231154207069107,39.39582539618903,14.22004702411266,0.11323115420706913,2.5626853570486356
