upc,product_name,alpha,dynamic_schedule_id,myopic_schedule_id,dynamic_promotion_count,myopic_promotion_count,dynamic_value,myopic_full_horizon_value,value_of_dynamic_optimization
1600066610,1600066610,0.0,0,0,0,0,319.8865966796869,319.8865966796869,0.0
1600066610,1600066610,0.01,0,0,0,0,319.8865966796869,319.8865966796869,0.0
1600066610,1600066610,0.02,0,0,0,0,319.8865966796869,319.8865966796869,0.0
1600066610,1600066610,0.03,0,0,0,0,319.8865966796869,319.8865966796869,0.0
1600066610,1600066610,0.04,0,0,0,0,319.8865966796869,319.8865966796869,0.0
1600066610,1600066610,0.05,0,0,0,0,319.8865966796869,319.8865966796869,0.0
1600066610,1600066610,0.06,0,0,0,0,319.8865966796869,319.8865966796869,0.0
1600066610,1600066610,0.07,0,0,0,0,319.8865966796869,319.8865966796869,0.0
1600066610,1600066610,0.08,0,0,0,0,319.8865966796869,319.8865966796869,0.0
1600066610,1600066610,0.09,0,0,0,0,319.8865966796869,319.8865966796869,0.0
1600066610,1600066610,0.1,0,0,0,0,319.8865966796869,319.8865966796869,0.0
1600066610,1600066610,0.11,0,0,0,0,319.8865966796869,319.8865966796869,0.0
1600066610,1600066610,0.12,0,0,0,0,319.8865966796869,319.8865966796869,0.0
1600066610,1600066610,0.13,0,0,0,0,319.8865966796869,319.8865966796869,0.0
1600066610,1600066610,0.14,0,0,0,0,319.8865966796869,319.8865966796869,0.0
1600066610,1600066610,0.15,0,0,0,0,319.8865966796869,319.8865966796869,0.0
1600066610,1600066610,0.16,0,0,0,0,319.8865966796869,319.8865966796869,0.0
1600066610,1600066610,0.17,0,0,0,0,319.8865966796869,319.8865966796869,0.0
1600066610,1600066610,0.18,0,0,0,0,319.8865966796869,319.8865966796869,0.0
1600066610,1600066610,0.19,0,0,0,0,319.8865966796869,319.8865966796869,0.0
1600066610,1600066610,0.2,0,0,0,0,319.8865966796869,319.8865966796869,0.0
1600066610,1600066610,0.21,0,0,0,0,319.8865966796869,319.8865966796869,0.0
1600066610,1600066610,0.22,0,0,0,0,319.8865966796869,319.8865966796869,0.0
1600066610,1600066610,0.23,0,0,0,0,319.8865966796869,319.8865966796869,0.0
1600066610,1600066610,0.24,0,0,0,0,319.8865966796869,319.8865966796869,0.0
1600066610,1600066610,0.25,0,0,0,0,319.8865966796869,319.8865966796869,0.0
1600066610,1600066610,0.26,0,0,0,0,319.8865966796869,319.8865966796869,0.0
1600066610,1600066610,0.27,0,0,0,0,319.8865966796869,319.8865966796869,0.0
1600066610,1600066610,0.28,0,0,0,0,319.8865966796869,319.8865966796869,0.0
1600066610,1600066610,0.29,0,0,0,0,319.8865966796869,319.8865966796869,0.0
1600066610,1600066610,0.3,0,0,0,0,319.8865966796869,319.8865966796869,0.0
1600066610,1600066610,0.31,0,0,0,0,319.8865966796869,319.8865966796869,0.0
1600066610,1600066610,0.32,0,0,0,0,319.8865966796869,319.8865966796869,0.0
1600066610,1600066610,0.33,0,0,0,0,319.8865966796869,319.8865966796869,0.0
1600066610,1600066610,0.34,0,0,0,0,319.8865966796869,319.8865966796869,0.0
1600066610,1600066610,0.35,0,0,0,0,319.8865966796869,319.8865966796869,0.0
1600066610,1600066610,0.36,0,0,0,0,319.8865966796869,319.8865966796869,0.0
1600066610,1600066610,0.37,0,0,0,0,319.8865966796869,319.8865966796869,0.0
1600066610,1600066610,0.38,0,0,0,0,319.8865966796869,319.8865966796869,0.0
1600066610,1600066610,0.39,0,0,0,0,319.8865966796869,319.8865966796869,0.0
1600066610,1600066610,0.4,0,0,0,0,319.8865966796869,319.8865966796869,0.0
1600066610,1600066610,0.41,0,0,0,0,319.8865966796869,319.8865966796869,0.0
1600066610,1600066610,0.42,0,0,0,0,319.8865966796869,319.8865966796869,0.0
1600066610,1600066610,0.43,0,0,0,0,319.8865966796869,319.8865966796869,0.0
1600066610,1600066610,0.44,0,0,0,0,319.8865966796869,319.8865966796869,0.0
1600066610,1600066610,0.45,0,0,0,0,319.8865966796869,319.8865966796869,0.0
1600066610,1600066610,0.46,0,0,0,0,319.8865966796869,319.8865966796869,0.0
1600066610,1600066610,0.47,0,0,0,0,319.8865966796869,319.8865966796869,0.0
1600066610,1600066610,0.48,0,0,0,0,319.8865966796869,319.8865966796869,0.0
1600066610,1600066610,0.49,0,0,0,0,319.8865966796869,319.8865966796869,0.0
1600066610,1600066610,0.5,0,0,0,0,319.8865966796869,319.8865966796869,0.0
1600066610,1600066610,0.51,0,0,0,0,319.8865966796869,319.8865966796869,0.0
1600066610,1600066610,0.52,0,0,0,0,319.8865966796869,319.8865966796869,0.0
1600066610,1600066610,0.53,0,0,0,0,319.8865966796869,319.8865966796869,0.0
1600066610,1600066610,0.54,0,0,0,0,319.8865966796869,319.8865966796869,0.0
1600066610,1600066610,0.55,0,0,0,0,319.8865966796869,319.8865966796869,0.0
1600066610,1600066610,0.56,0,0,0,0,319.8865966796869,319.8865966796869,0.0
1600066610,1600066610,0.57,0,0,0,0,319.8865966796869,319.8865966796869,0.0
1600066610,1600066610,0.58,0,0,0,0,319.8865966796869,319.8865966796869,0.0
1600066610,1600066610,0.59,0,0,0,0,319.8865966796869,319.8865966796869,0.0
1600066610,1600066610,0.6,0,0,0,0,319.8865966796869,319.8865966796869,0.0
1600066610,1600066610,0.61,0,0,0,0,319.8865966796869,319.8865966796869,0.0
