upc,effect_q025,effect_q25,effect_median,effect_mean,effect_q75,effect_q975,share_zero_displacement,n_draws,n_persistence_values,descrip,size,product_label
3800001611,-5.06627371638605,-2.960030152372372,-2.1034476903207295,-2.285240433516515,-1.4828439544605292,-0.4316711756205335,0.0,541,46,KELLOGGS SPECIAL K,12 OZ,KELLOGGS SPECIAL K (12 OZ)
3800000110,-4.5694501352382355,-2.479706220540329,-1.8366042300412535,-2.062972065613619,-1.4649137802906782,-0.8218216870518212,0.005,323,123,KELLOGGS CORN FLAKES,12 OZ,KELLOGGS CORN FLAKES (12 OZ)
3800001520,-4.027617289799531,-1.794484840938641,-1.1146772682261237,-1.3478948177127985,-0.640504163494221,-0.012232120058417227,0.025,387,111,KELLOGG'S FROSTED FL,20 OZ,KELLOGG'S FROSTED FL (20 OZ)
3800000127,-2.694200834669963,-1.273078281762921,-0.7404855387390078,-0.9033281728521385,-0.4011208275195438,0.0,0.04,467,81,KELLOGGS CORN FLAKE,24 OZ,KELLOGGS CORN FLAKE (24 OZ)
1600066510,-2.8888427142138995,-1.0774706102710259,-0.7099171766268222,-0.8378618922628971,-0.35988703758125257,0.0,0.045000000000000005,520,50,CHEERIOS,10 OZ,CHEERIOS (10 OZ)
1600066590,-2.6257342504543963,-0.9607825537683212,-0.5946570689548152,-0.7340476640191103,-0.3263930476582334,0.0,0.045,524,58,HONEY NUT CHEERIOS,14 OZ,HONEY NUT CHEERIOS (14 OZ)
1600066610,-1.3476367045119164,-0.7414744434213827,-0.48183344095900255,-0.5144858395400149,-0.20476811730058803,0.0,0.09,595,28,CHEERIOS,15 OZ,CHEERIOS (15 OZ)
3800000120,-1.426973415315133,-0.5887524888719192,-0.3295347464021456,-0.39562197441019825,-0.06985760822976163,0.0,0.17999999999999997,595,26,KELLOGGS CORN FLAKES,18 OZ,KELLOGGS CORN FLAKES (18 OZ)
