upc,product_name,calibration_rows,evaluation_rows,panels,isolated_events,depth_events,common_panels,selected_gap,calibration_discount,shrinkage_reliability,price_elasticity_median,promotion_lift_median,displacement_median,persistence_median,persistence_informative_share,base_demand,regular_price,unit_cost
1600066610,1600066610,4195,1080,15,80,38,14,3/3,0.05,0.3911764705882353,1.2459013570838446,-0.07123938492104667,0.12784125170663505,0.35,0.021848739495798318,50.0,3.21,2.662035
1600066590,1600066590,4172,1077,15,87,60,15,3/3,0.05,0.47619047619047616,1.3562223395512136,-0.035515376880443365,0.14516337980026459,0.35,0.0916030534351145,44.0,3.15,2.6234
3800000120,3800000120,4198,1071,15,83,41,14,3/3,0.05,0.404225352112676,1.4788787049570686,-0.020453024505457135,0.09034882422878193,0.35,0.020168067226890758,43.0,2.06,1.724014
3800001520,3800001520,4197,1069,15,77,32,13,3/3,0.05,0.3531409168081494,1.4834752946801102,0.003623690314072759,0.2045642919630577,0.35,0.2868217054263566,41.0,3.42,2.9569199999999998
3800000127,3800000127,4048,1077,15,55,45,15,3/3,0.05,0.42857142857142855,1.2384207672716507,-0.01859937376257762,0.15172619224076184,0.35,0.15845824411134904,32.0,2.62,2.1858940000000002
1600066510,1600066510,4177,1078,15,42,24,11,3/3,0.05,0.2875816993464052,1.2826963132938702,-0.01717518326855719,0.1623662281519288,0.35,0.08846153846153847,61.0,2.29,1.911044
3800001611,3800001611,4200,1079,15,78,46,14,3/3,0.05,0.4236842105263158,0.9591283227061908,-0.003137867825489634,0.5986055906162785,0.35,0.06839186691312385,44.0,2.85,2.412191
3800000110,3800000110,4197,1057,15,28,10,8,1/1,0.05,0.14285714285714285,1.4051582042206197,-0.009542840934368142,0.47984482406817724,0.35,0.43653250773993807,52.0,1.62,1.439984
