replication,wasserstein_distance
0,0.6269422442069214
1,0.537472529156204
2,0.5351304115416637
3,0.5097445245314463
4,0.45483991659723766
5,0.5151403668335462
6,0.44562810848293793
7,0.5491527570302511
8,0.6393872109247574
9,0.5850810276730107
10,0.44851149349150576
11,0.6073750217615359
12,0.5769219280762039
13,0.6133086614748064
14,0.6016900525088538
15,0.5517229159580692
16,0.6131230053750812
17,0.5262652478213411
18,0.5600497916133048
19,0.46630257047317797
20,0.5762550697884099
21,0.5837036389417577
22,0.499853884607648
23,0.6339562605951709
24,0.45544850763450645
25,0.4839066549154669
26,0.6065345328592003
27,0.49397234497758546
28,0.5699060010332971
29,0.4892693631904109
30,0.5094363654736528
31,0.5719920942461306
32,0.5521480031254878
33,0.4749192065398673
34,0.5207277164276176
35,0.5489990068824055
36,0.5328849496627314
37,0.49594019185105304
38,0.4952569158378163
39,0.48920615379441296
40,0.5238442470916675
41,0.531104896685462
42,0.5289700597016355
43,0.5124434385947139
44,0.6433496164114136
45,0.5096389966602443
46,0.6028279456166515
47,0.46909148335664974
48,0.6166583343197782
49,0.49108270661189835
50,0.5466784859624445
51,0.513894930071269
52,0.5290880298962268
53,0.518609308921024
54,0.6223578061694517
55,0.5002607908354573
56,0.5544607112558123
57,0.4884570506044035
58,0.5166196740270875
59,0.47629726925153887
60,0.5839903037999311
61,0.5771969073268967
62,0.4706856956235933
63,0.6574988182685528
64,0.5107377093920723
65,0.5556939132027775
66,0.549087142890481
67,0.518549714565763
68,0.45639011607973096
69,0.4654861943014657
70,0.6222554252434158
71,0.5640122356172904
72,0.5146603393277659
73,0.5981903966692453
74,0.559237508784575
75,0.5738338084559625
76,0.5139377820604669
77,0.46379990237722907
78,0.49330249187167624
79,0.5779054008661411
80,0.4958139962207909
81,0.5515435968290088
82,0.48460219858455034
83,0.4931697174022567
84,0.5394854899771248
85,0.5569077240421026
86,0.5661388763931924
87,0.45236554516992733
88,0.49889643990206606
89,0.5889600414184877
90,0.6362822422347805
91,0.5101025339520436
92,0.5567164912748597
93,0.5175120230861581
94,0.5863199033585534
95,0.6703052158261487
96,0.5349254638779272
97,0.5514975625994853
98,0.5207756103724072
99,0.5106593372126352
