Variable,N,Mean,SD,P25,Median,P75
Weekly unit sales,42285,65.8590989712664,129.03799808637316,29.0,43.0,62.0
Unit price,42285,2.760990185645028,0.650012155619496,2.25,2.84,3.29
Regular price,42285,2.8221187891687363,0.642917538725343,2.35,2.85,3.31
Discount depth,4924,0.1731669481439955,0.1706063332528989,0.05012531328320802,0.09295774647887312,0.26913862545137096
Observed gross margin,41972,14.706673734870867,11.261395583822859,12.2,15.98,18.49
