upc,product_name,dynamic,myopic,dynamic_minus_myopic_promotions
1600066510,1600066510,4.0,4.0,0.0
1600066590,1600066590,0.0,0.0,0.0
1600066610,1600066610,0.0,0.0,0.0
3800000110,3800000110,4.0,4.0,0.0
3800000120,3800000120,4.0,4.0,0.0
3800000127,3800000127,4.0,4.0,0.0
3800001520,3800001520,0.0,0.0,0.0
3800001611,3800001611,0.0,0.0,0.0
