risk_decile,n,mean_predicted_risk,empirical_q90_loss,coverage,split,promotion_indicator
1,719,9.858387051301245,7.932744998363161,0.9485396383866481,calibration,0
2,704,12.119191127959066,8.985296658077083,0.953125,calibration,0
3,751,13.481491669974327,12.458597975896623,0.9121171770972037,calibration,0
4,699,14.23087980836654,10.911624986941922,0.9413447782546495,calibration,0
5,690,14.693068347475258,12.136098486452523,0.9347826086956522,calibration,0
6,707,15.123491741414181,14.71490726109245,0.9038189533239038,calibration,0
7,715,15.673276596530263,15.99681212315742,0.8965034965034965,calibration,0
8,709,16.917026538365306,16.75118673289562,0.9026798307475318,calibration,0
9,714,19.362097028860557,23.166986519566947,0.8641456582633054,calibration,0
10,706,27.7313549989409,32.558499368464965,0.8810198300283286,calibration,0
1,109,49.16554131646551,34.842248902141016,0.981651376146789,calibration,1
2,109,78.22211900198357,55.83605759726125,0.981651376146789,calibration,1
3,109,112.40009877689309,89.82233376971304,0.963302752293578,calibration,1
4,111,140.33718206961265,109.45432398243364,0.972972972972973,calibration,1
5,107,163.58849592902624,145.6027787528404,0.9439252336448598,calibration,1
6,108,199.7891858756808,172.24814320462994,0.9537037037037037,calibration,1
7,109,261.7625958057184,214.53134666815856,0.9541284403669725,calibration,1
8,109,345.19956370020265,282.0320647152728,0.9908256880733946,calibration,1
9,109,475.8013294270912,450.8832445923838,0.9357798165137615,calibration,1
10,109,738.503352829213,915.2313870325593,0.8440366972477065,calibration,1
1,751,3.6036168665297303,12.2004231455196,0.5885486018641811,test,0
2,750,7.680363181152487,21.955987732149655,0.6946666666666667,test,0
3,738,9.922765889091721,23.21525896130419,0.7452574525745257,test,0
4,738,10.546459762554868,16.522300802480906,0.8157181571815718,test,0
5,745,11.31938529454663,15.409216357513078,0.8348993288590604,test,0
6,744,12.273085119958765,16.77241457298325,0.8629032258064516,test,0
7,747,13.140037085602534,16.46050456470876,0.8621151271753681,test,0
8,752,14.143625675366211,18.55745062560152,0.8577127659574468,test,0
9,736,15.52717796846506,17.45575292316991,0.8885869565217391,test,0
10,740,19.246951183475243,31.18935884190883,0.8527027027027027,test,0
1,115,47.71725632633644,276.5722338890842,0.5826086956521739,test,1
2,115,74.82481024716552,114.48126885760423,0.6347826086956522,test,1
3,114,104.0094007810876,145.42945537293977,0.7368421052631579,test,1
4,115,134.13753921133608,158.9170884254431,0.8173913043478261,test,1
5,116,152.06977183802258,175.34610695642962,0.8017241379310345,test,1
6,113,177.94812258563363,305.0058409587365,0.7433628318584071,test,1
7,115,223.2580680081862,1312.9345890281127,0.7739130434782608,test,1
8,114,295.82707029846716,863.7405990161371,0.6929824561403509,test,1
9,115,460.3672159603735,425.76432385959515,0.8956521739130435,test,1
10,115,784.5522660358455,413.54729331545406,0.9391304347826087,test,1
