support_state,trust_region_radius,target_candidate_coverage,candidate_coverage,absolute_coverage_gap,selected
post_promotion,0.13976194237515882,0.997943797121316,1.0,0.0020562028786840214,True
post_promotion,0.14133911669305807,0.997943797121316,1.0,0.0020562028786840214,False
post_promotion,0.14500984835659728,0.997943797121316,1.0,0.0020562028786840214,False
post_promotion,0.15191604202584197,0.997943797121316,1.0,0.0020562028786840214,False
post_promotion,0.15309970758128316,0.997943797121316,1.0,0.0020562028786840214,False
post_promotion,0.15797843569702283,0.997943797121316,1.0,0.0020562028786840214,False
post_promotion,0.15813872100521395,0.997943797121316,1.0,0.0020562028786840214,False
post_promotion,0.16003651200451952,0.997943797121316,1.0,0.0020562028786840214,False
post_promotion,0.16169077210054608,0.997943797121316,1.0,0.0020562028786840214,False
post_promotion,0.1660950819524105,0.997943797121316,1.0,0.0020562028786840214,False
post_promotion,0.18159979566554488,0.997943797121316,1.0,0.0020562028786840214,False
post_promotion,0.1823215567939546,0.997943797121316,1.0,0.0020562028786840214,False
post_promotion,0.18409303644233668,0.997943797121316,1.0,0.0020562028786840214,False
post_promotion,0.20223686649489617,0.997943797121316,1.0,0.0020562028786840214,False
post_promotion,0.21930477500704412,0.997943797121316,1.0,0.0020562028786840214,False
post_promotion,0.22028231903317774,0.997943797121316,1.0,0.0020562028786840214,False
post_promotion,0.22399425319452268,0.997943797121316,1.0,0.0020562028786840214,False
post_promotion,0.22402422067980332,0.997943797121316,1.0,0.0020562028786840214,False
post_promotion,0.22551228514976046,0.997943797121316,1.0,0.0020562028786840214,False
post_promotion,0.23287383595678585,0.997943797121316,1.0,0.0020562028786840214,False
post_promotion,0.24197649964730197,0.997943797121316,1.0,0.0020562028786840214,False
post_promotion,0.2508115366434531,0.997943797121316,1.0,0.0020562028786840214,False
post_promotion,0.2581814080550829,0.997943797121316,1.0,0.0020562028786840214,False
post_promotion,0.2635232369750453,0.997943797121316,1.0,0.0020562028786840214,False
post_promotion,0.26447917537211685,0.997943797121316,1.0,0.0020562028786840214,False
post_promotion,0.2661402286770261,0.997943797121316,1.0,0.0020562028786840214,False
post_promotion,0.2698472048157466,0.997943797121316,1.0,0.0020562028786840214,False
post_promotion,0.2715526905218972,0.997943797121316,1.0,0.0020562028786840214,False
post_promotion,0.271701400463431,0.997943797121316,1.0,0.0020562028786840214,False
post_promotion,0.2757058814050654,0.997943797121316,1.0,0.0020562028786840214,False
post_promotion,0.27698678333503307,0.997943797121316,1.0,0.0020562028786840214,False
post_promotion,0.2808226629008878,0.997943797121316,1.0,0.0020562028786840214,False
post_promotion,0.28995222098631995,0.997943797121316,1.0,0.0020562028786840214,False
post_promotion,0.2950699688516705,0.997943797121316,1.0,0.0020562028786840214,False
post_promotion,0.3010075270489304,0.997943797121316,1.0,0.0020562028786840214,False
post_promotion,0.3014065548773467,0.997943797121316,1.0,0.0020562028786840214,False
post_promotion,0.3040758822274573,0.997943797121316,1.0,0.0020562028786840214,False
post_promotion,0.3114361584598879,0.997943797121316,1.0,0.0020562028786840214,False
post_promotion,0.3129417392110189,0.997943797121316,1.0,0.0020562028786840214,False
post_promotion,0.316255444895837,0.997943797121316,1.0,0.0020562028786840214,False
post_promotion,0.31648406335548696,0.997943797121316,1.0,0.0020562028786840214,False
post_promotion,0.32109806937162483,0.997943797121316,1.0,0.0020562028786840214,False
post_promotion,0.32495346724901236,0.997943797121316,1.0,0.0020562028786840214,False
post_promotion,0.32596425902279796,0.997943797121316,1.0,0.0020562028786840214,False
post_promotion,0.3308542443169896,0.997943797121316,1.0,0.0020562028786840214,False
post_promotion,0.33146909923060497,0.997943797121316,1.0,0.0020562028786840214,False
post_promotion,0.3332202012348355,0.997943797121316,1.0,0.0020562028786840214,False
post_promotion,0.33576825911941877,0.997943797121316,1.0,0.0020562028786840214,False
post_promotion,0.34280137167286046,0.997943797121316,1.0,0.0020562028786840214,False
post_promotion,0.34504984460925336,0.997943797121316,1.0,0.0020562028786840214,False
post_promotion,0.34772411341864795,0.997943797121316,1.0,0.0020562028786840214,False
post_promotion,0.3556694134367136,0.997943797121316,1.0,0.0020562028786840214,False
post_promotion,0.35570359854910055,0.997943797121316,1.0,0.0020562028786840214,False
post_promotion,0.36233574721113215,0.997943797121316,1.0,0.0020562028786840214,False
post_promotion,0.36527422752491895,0.997943797121316,1.0,0.0020562028786840214,False
post_promotion,0.38320663750722156,0.997943797121316,1.0,0.0020562028786840214,False
post_promotion,0.39292575885542896,0.997943797121316,1.0,0.0020562028786840214,False
post_promotion,0.39816047372927715,0.997943797121316,1.0,0.0020562028786840214,False
post_promotion,0.40713874866619415,0.997943797121316,1.0,0.0020562028786840214,False
post_promotion,0.41023838686082204,0.997943797121316,1.0,0.0020562028786840214,False
post_promotion,0.4219038344513242,0.997943797121316,1.0,0.0020562028786840214,False
post_promotion,0.4220859893442047,0.997943797121316,1.0,0.0020562028786840214,False
post_promotion,0.4367949582490821,0.997943797121316,1.0,0.0020562028786840214,False
post_promotion,0.4438259759806107,0.997943797121316,1.0,0.0020562028786840214,False
post_promotion,0.44740379732849456,0.997943797121316,1.0,0.0020562028786840214,False
post_promotion,0.45096886349299076,0.997943797121316,1.0,0.0020562028786840214,False
post_promotion,0.4542552722775964,0.997943797121316,1.0,0.0020562028786840214,False
post_promotion,0.45806109180248267,0.997943797121316,1.0,0.0020562028786840214,False
post_promotion,0.4592678141011406,0.997943797121316,1.0,0.0020562028786840214,False
post_promotion,0.461588432320451,0.997943797121316,1.0,0.0020562028786840214,False
post_promotion,0.46559694915278815,0.997943797121316,1.0,0.0020562028786840214,False
post_promotion,0.4668737362368079,0.997943797121316,1.0,0.0020562028786840214,False
post_promotion,0.47124663748533274,0.997943797121316,1.0,0.0020562028786840214,False
post_promotion,0.47188627806035216,0.997943797121316,1.0,0.0020562028786840214,False
post_promotion,0.4762341789963717,0.997943797121316,1.0,0.0020562028786840214,False
post_promotion,0.481246720819916,0.997943797121316,1.0,0.0020562028786840214,False
post_promotion,0.48434749849816416,0.997943797121316,1.0,0.0020562028786840214,False
post_promotion,0.49359255664221524,0.997943797121316,1.0,0.0020562028786840214,False
post_promotion,0.49601053798085,0.997943797121316,1.0,0.0020562028786840214,False
post_promotion,0.49619396149792655,0.997943797121316,1.0,0.0020562028786840214,False
post_promotion,0.4997087836596512,0.997943797121316,1.0,0.0020562028786840214,False
post_promotion,0.5002992107790032,0.997943797121316,1.0,0.0020562028786840214,False
