grid_name,weekly_capacity,alpha,policy,category_value,promotion_count,total_discount_depth,maximum_weekly_promotions,binding_weeks,slot_utilization,active_product_count,active_product_set,supported_promoted_product_share
supported,1,2.35,dynamic,2108.377113964874,12,6.2,1,12,1.0,3,1600066510|3800000120|3800000127,1.0
supported,1,2.35,myopic,2108.0913203496916,12,6.2,1,12,1.0,3,1600066510|3800000120|3800000127,1.0
supported,1,2.4,dynamic,2144.459899019875,12,6.2,1,12,1.0,3,1600066510|3800000120|3800000127,1.0
supported,1,2.4,myopic,2144.20864569791,12,6.2,1,12,1.0,3,1600066510|3800000120|3800000127,1.0
supported,1,2.45,dynamic,2180.5426840748773,12,6.2,1,12,1.0,3,1600066510|3800000120|3800000127,1.0
supported,1,2.45,myopic,2180.325971046129,12,6.2,1,12,1.0,3,1600066510|3800000120|3800000127,1.0
supported,1,2.5,dynamic,2216.6254691298786,12,6.2,1,12,1.0,3,1600066510|3800000120|3800000127,1.0
supported,1,2.5,myopic,2216.443296394347,12,6.2,1,12,1.0,3,1600066510|3800000120|3800000127,1.0
supported,1,2.55,dynamic,2252.7082541848804,12,6.2,1,12,1.0,3,1600066510|3800000120|3800000127,1.0
supported,1,2.55,myopic,2252.5606217425648,12,6.2,1,12,1.0,3,1600066510|3800000120|3800000127,1.0
supported,1,2.6,dynamic,2288.791039239882,12,6.2,1,12,1.0,3,1600066510|3800000120|3800000127,1.0
supported,1,2.6,myopic,2288.6779470907836,12,6.2,1,12,1.0,3,1600066510|3800000120|3800000127,1.0
supported,1,2.65,dynamic,2324.8738242948834,12,6.2,1,12,1.0,3,1600066510|3800000120|3800000127,1.0
supported,1,2.65,myopic,2324.7952724390016,12,6.2,1,12,1.0,3,1600066510|3800000120|3800000127,1.0
supported,1,2.7,dynamic,2360.956609349885,12,6.2,1,12,1.0,3,1600066510|3800000120|3800000127,1.0
supported,1,2.7,myopic,2360.91259778722,12,6.2,1,12,1.0,3,1600066510|3800000120|3800000127,1.0
supported,1,2.75,dynamic,2397.0393944048865,12,6.2,1,12,1.0,3,1600066510|3800000120|3800000127,1.0
supported,1,2.75,myopic,2397.029923135438,12,6.2,1,12,1.0,3,1600066510|3800000120|3800000127,1.0
supported,1,2.8,dynamic,2433.1472484836563,12,6.2,1,12,1.0,3,1600066510|3800000120|3800000127,1.0
supported,1,2.8,myopic,2433.1472484836563,12,6.2,1,12,1.0,3,1600066510|3800000120|3800000127,1.0
supported,1,2.85,dynamic,2469.2645738318747,12,6.2,1,12,1.0,3,1600066510|3800000120|3800000127,1.0
supported,1,2.85,myopic,2469.2645738318747,12,6.2,1,12,1.0,3,1600066510|3800000120|3800000127,1.0
supported,1,2.9,dynamic,2505.381899180093,12,6.2,1,12,1.0,3,1600066510|3800000120|3800000127,1.0
supported,1,2.9,myopic,2505.381899180093,12,6.2,1,12,1.0,3,1600066510|3800000120|3800000127,1.0
supported,1,2.95,dynamic,2541.4992245283115,12,6.2,1,12,1.0,3,1600066510|3800000120|3800000127,1.0
supported,1,2.95,myopic,2541.4992245283115,12,6.2,1,12,1.0,3,1600066510|3800000120|3800000127,1.0
supported,1,3.0,dynamic,2577.6165498765295,12,6.2,1,12,1.0,3,1600066510|3800000120|3800000127,1.0
supported,1,3.0,myopic,2577.6165498765295,12,6.2,1,12,1.0,3,1600066510|3800000120|3800000127,1.0
supported,1,3.05,dynamic,2613.7338752247474,12,6.2,1,12,1.0,3,1600066510|3800000120|3800000127,1.0
supported,1,3.05,myopic,2613.7338752247474,12,6.2,1,12,1.0,3,1600066510|3800000120|3800000127,1.0
supported,1,3.1,dynamic,2649.8512005729663,12,6.2,1,12,1.0,3,1600066510|3800000120|3800000127,1.0
supported,1,3.1,myopic,2649.8512005729663,12,6.2,1,12,1.0,3,1600066510|3800000120|3800000127,1.0
supported,1,3.15,dynamic,2685.968525921184,12,6.2,1,12,1.0,3,1600066510|3800000120|3800000127,1.0
supported,1,3.15,myopic,2685.968525921184,12,6.2,1,12,1.0,3,1600066510|3800000120|3800000127,1.0
supported,1,3.2,dynamic,2722.0858512694026,12,6.2,1,12,1.0,3,1600066510|3800000120|3800000127,1.0
supported,1,3.2,myopic,2722.0858512694026,12,6.2,1,12,1.0,3,1600066510|3800000120|3800000127,1.0
supported,2,1.2,dynamic,1747.0480117797847,0,0.0,0,0,0.0,0,,1.0
supported,2,1.2,myopic,1747.0480117797847,0,0.0,0,0,0.0,0,,1.0
supported,2,1.25,dynamic,1747.0480117797847,0,0.0,0,0,0.0,0,,1.0
supported,2,1.25,myopic,1747.0480117797847,0,0.0,0,0,0.0,0,,1.0
supported,2,1.3,dynamic,1747.0480117797847,0,0.0,0,0,0.0,0,,1.0
supported,2,1.3,myopic,1747.0480117797847,0,0.0,0,0,0.0,0,,1.0
supported,2,1.35,dynamic,1747.0480117797847,0,0.0,0,0,0.0,0,,1.0
supported,2,1.35,myopic,1747.0480117797847,0,0.0,0,0,0.0,0,,1.0
supported,2,1.4,dynamic,1747.0915282802578,1,0.09,1,0,0.041666666666666664,1,3800000110,1.0
supported,2,1.4,myopic,1744.291325339158,4,0.36,1,0,0.16666666666666666,1,3800000110,1.0
