relative_week,mean_sales_index,n_events
-4,93.06287076013078,256
-3,104.87005005072541,256
-2,102.98764995302287,256
-1,99.07942923612093,256
0,918.1596254481823,256
1,102.72946407079029,256
2,108.54919510076571,256
3,102.2535975750081,256
4,107.99217127872723,256
5,114.87527151863989,256
6,110.07763035744686,256
