moment,count,mean,std,min,5%,50%,95%,max
bootstrap_id,200.0,99.5,57.879184513951124,0.0,9.950000000000001,99.5,189.04999999999998,199.0
panels_sampled,200.0,115.0,0.0,115.0,115.0,115.0,115.0,115.0
events_effective,200.0,517.14,22.065239039478968,460.0,478.9,519.0,551.0,576.0
mean_discount_depth,200.0,0.16089617336114692,0.008149694697163234,0.14204548536471426,0.1482099305310113,0.16048195276502505,0.17459033260988907,0.1895141204916435
current_lift_log,200.0,1.339521670561424,0.05248460242801631,1.2085709834277947,1.2509898695981894,1.337981327366488,1.4286161315156336,1.4840364106052828
post1_dip_log,200.0,0.02547214330531781,0.01701743054338259,-0.020563155311816756,0.0002939111712922724,0.02419575546431965,0.054349444624505305,0.06738967222853344
post2_dip_log,200.0,-0.03436857772154547,0.019234225893231892,-0.08537192939371624,-0.0671886513096787,-0.03291471284677926,-0.004361373167058554,0.005966197538012574
current_depth_slope,200.0,1.8311749055126592,0.20793924763191404,1.2528328407236764,1.5239474839045895,1.8358016780173838,2.1560790955873803,2.489545673346575
post1_depth_slope,200.0,0.4149664999126694,0.12105972440877245,0.07873793785510601,0.21095445042401567,0.4196384143023315,0.6005621832455714,0.728709326274518
regular_log_price_coefficient,200.0,-1.9264815737415923,0.08951037820043828,-2.1613204365611938,-2.052438629016944,-1.926336813514288,-1.769498092805877,-1.6630854281226561
price_elasticity,200.0,1.9264815737415923,0.08951037820043828,1.6630854281226561,1.7694980928058768,1.926336813514288,2.052438629016944,2.1613204365611938
