model,split,n,mean_observed,mean_predicted,observed_to_predicted_ratio,mae,rmse,mean_poisson_deviance,median_poisson_deviance,p90_poisson_deviance
common_spline,calibration,7918.0,52.39845920687042,55.53728897334412,0.9434824813292522,25.048037940319087,67.16130884173654,20.287323803192493,3.1228136214330675,35.62787150070715
product_promotion,calibration,7918.0,52.39845920687042,56.488329460432944,0.9275979606295977,24.894214100363058,65.05255595905895,19.29559596703481,3.2468293610174745,35.73248477171859
product_promotion_depth,calibration,7918.0,52.39845920687042,57.50861298788704,0.9111410706063635,23.947722737110148,67.12353638284353,17.202973640230677,2.790551769186564,30.956688123083755
common_spline,test,8400.0,61.002857142857145,57.23089635085504,1.0659077706712476,33.36027211817192,121.28243132814812,42.36793947131845,3.400089025560451,45.67630489867559
product_promotion,test,8400.0,61.002857142857145,58.27153221497397,1.0468723718780353,32.850500933633185,114.14889599446535,41.019203669167254,3.634394741717296,46.06916067539338
product_promotion_depth,test,8400.0,61.002857142857145,58.59241969013469,1.0411390665459803,33.712338419820725,142.06311831633522,43.457093772862855,2.958221138668174,38.54489424817354
