split,promotion_indicator,n,spearman_support_loss,p_value
calibration,0,7114,0.040367547277182364,0.000660256934934254
calibration,1,1089,0.11305019297126691,0.00018522308704067996
test,0,7441,-0.061112978850266356,1.3223116227626985e-07
test,1,1147,0.0754729149611359,0.010560015206038852
