evaluation_split,threshold,n_decisions,nominal_unsupported_share,mean_price_of_extrapolation,aggregate_unsupported_share,fallback_share
policy_calibration,0.5,7761.0,0.008504058755315036,0.0,0.0,0.008504058755315036
policy_calibration,1.0,7761.0,0.01649272001030795,0.030712350346235553,0.001631514873427258,0.014044581883777864
policy_calibration,2.0,7761.0,0.03878366189923979,0.13083449104124456,0.006950246909945127,0.03156809689473006
policy_calibration,3.0,7761.0,0.0555340806597088,0.29935495614197083,0.015902464574472204,0.04587037752866899
policy_calibration,5.0,7761.0,0.08336554567710347,0.521190409395875,0.02768690429846043,0.06790362066743977
policy_calibration,7.5,7761.0,0.11506249194691406,1.4513377579476805,0.07709859752718157,0.0931580981832238
policy_calibration,10.0,7761.0,0.14418245071511404,2.1565641967338687,0.11456194406506162,0.11957222007473264
policy_calibration,15.0,7761.0,0.21762659451101662,6.813472405964892,0.3619482535429093,0.19636644762272903
policy_calibration,20.0,7761.0,0.2939054245586909,13.27089796735581,0.7049824312820928,0.28398402267749
policy_calibration,30.0,7761.0,0.4289395696430872,17.677879025824854,0.9390920016258599,0.4233990465146244
test,0.5,8350.0,0.002754491017964072,0.000615825899251534,1.867487050367071e-05,0.002754491017964072
test,1.0,8350.0,0.008263473053892216,0.05842563049336796,0.00177175251135923,0.005029940119760479
test,2.0,8350.0,0.02347305389221557,0.25700503767534544,0.007793656946243047,0.01029940119760479
test,3.0,8350.0,0.04,0.6139042326380711,0.018616596119301262,0.017724550898203593
test,5.0,8350.0,0.0665868263473054,1.1511250652974871,0.034907774346755065,0.036167664670658684
test,7.5,8350.0,0.09520958083832336,1.7508537867200737,0.05309449923687573,0.05976047904191617
test,10.0,8350.0,0.11640718562874251,2.26188729805224,0.06859154906664638,0.07760479041916167
test,15.0,8350.0,0.14131736526946106,5.297554348676131,0.16064790644226537,0.10958083832335329
test,20.0,8350.0,0.17389221556886228,13.362586471363139,0.405219352174213,0.1598802395209581
test,30.0,8350.0,0.20359281437125748,28.133409226864135,0.8531433555766514,0.19892215568862276
