bandwidth,risk_version,n,pinball_loss,coverage,coverage_gap,mean_predicted_risk,median_predicted_risk,exceedance_rate,mean_positive_exceedance
0.02,raw,3197,5.289421400331707,0.8836409133562715,-0.016359086643728538,33.3936670459771,13.2817884214863,0.1163590866437285,3.4880849233997226
0.02,online_corrected,3197,5.731332029947079,0.8970910228339067,-0.002908977166093285,42.425911933862025,14.460177459187388,0.10290897716609321,3.026771064226601
0.04,raw,3197,5.306253356950499,0.8877072255239287,-0.012292774476071355,34.744377317560826,13.32051123495862,0.11229277447607132,3.369845852860142
0.04,online_corrected,3197,5.725111823849889,0.9014701282452299,0.0014701282452298514,42.99543366252096,14.433275071602724,0.0985298717547701,2.9635986852635177
0.06,raw,3197,5.279233571395639,0.8873944322802627,-0.01260556771973731,35.10760105783719,13.721502423471035,0.11260556771973726,3.306503693277645
0.06,online_corrected,3197,5.706525590497466,0.8999061620269002,-9.383797309980846e-05,43.271104328326885,14.784574136341615,0.10009383797309979,2.9174453853305025
0.08,raw,3197,5.382509439553906,0.8917735376915858,-0.008226462308414173,35.755378924032776,13.76048390902439,0.10822646230841414,3.3450017748163536
0.08,online_corrected,3197,5.840001983937678,0.9052236471692211,0.0052236471692210795,44.555721435052746,14.942588398344569,0.09477635283077886,2.922460068098129
0.1,raw,3197,5.37749993488509,0.885830466061933,-0.01416953393806697,34.399104051382366,13.62365182970159,0.11416953393806693,3.475619757412578
0.1,online_corrected,3197,5.832524957008407,0.9011573350015639,0.0011573350015638972,43.45441953632658,14.729921357323828,0.09884266499843604,3.0251132310414737
