grid_name,upc,product_name,schedule_id,candidate_id,nominal_base,nominal_exposure,promotion_count,total_depth,minimum_action_support,schedule_supported,occupancy_pattern,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,decision_horizon,washout_horizon,evaluation_horizon
empirical_w0,1600066610,1600066610,36,empirical_w0|1600066610|36,175.91285127003988,54.349219169616674,1,0.5,44,True,000000010000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,12,0,12
empirical_w0,1600066610,1600066610,39,empirical_w0|1600066610|39,38.07720979056012,107.34578452428183,2,1.0,44,True,000000010001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,12,0,12
empirical_w0,1600066610,1600066610,42,empirical_w0|1600066610|42,36.43376483917237,107.35337631225588,2,1.0,44,True,000000010010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,12,0,12
empirical_w0,1600066610,1600066610,43,empirical_w0|1600066610|43,311.7434698486327,2.4161127269268032,1,0.05,283,True,000000100000,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,12,0,12
empirical_w0,1600066610,1600066610,44,empirical_w0|1600066610|44,304.07691233317047,4.771754177610079,2,0.1,283,True,000000100001,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.05,12,0,12
empirical_w0,1600066610,1600066610,45,empirical_w0|1600066610|45,269.6537487284342,18.296630618572234,2,0.3,69,True,000000100001,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.25,12,0,12
empirical_w0,1600066610,1600066610,46,empirical_w0|1600066610|46,173.2374001057943,55.67117949962616,2,0.55,44,True,000000100001,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.5,12,0,12
empirical_w0,1600066610,1600066610,47,empirical_w0|1600066610|47,303.8695274734498,4.783050038218497,2,0.1,283,True,000000100010,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.05,0.0,12,0,12
empirical_w0,1600066610,1600066610,48,empirical_w0|1600066610|48,268.61551451365153,18.37276959180832,2,0.3,69,True,000000100010,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.25,0.0,12,0,12
empirical_w0,1600066610,1600066610,49,empirical_w0|1600066610|49,170.94065442403152,55.92643875439962,2,0.55,44,True,000000100010,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.5,0.0,12,0,12
