relative_week,mean_sales_index,median_sales_index,sd_sales_index,n_events,se_sales_index,ci_lower,ci_upper
-4,95.0501411535367,94.6157224418094,29.494939829308844,588,1.216350817870234,92.66609355051104,97.43418875656236
-3,99.4474488476713,97.97288042733871,24.8405044471157,588,1.024405137810596,97.43961477756253,101.45528291778007
-2,98.64809432149961,97.54081838339044,26.04784287575955,588,1.0741949354377751,96.54267224804157,100.75351639495766
-1,106.85431567729239,103.76024879841674,36.61514803534453,588,1.5099832553302974,103.89474849684501,109.81388285773977
0,846.4846281118814,459.7872340425532,1256.037452584496,588,51.79811152585075,744.9603295212139,948.0089267025489
1,103.13248248046108,94.54545454545455,62.70196198654007,588,2.585785330831899,98.06434323203055,108.2006217288916
2,106.19855884790448,95.55993616821553,75.41795159388207,588,3.1101839038898556,100.10259839628036,112.2945192995286
3,100.21799404527181,96.69691470054445,41.30312849977562,588,1.703312311265654,96.87950191519113,103.55648617535249
4,103.29914695738465,96.36949202166593,49.77614994957967,588,2.0527338266152144,99.27578865721883,107.32250525755047
5,103.52032629850584,97.74882374230907,47.594341389897956,588,1.962757558097181,99.67332148463537,107.3673311123763
6,99.51660285394463,93.9262187088274,45.83634019171996,588,1.8902588105969131,95.81169558517469,103.22151012271458
