grid_name,weekly_capacity,alpha,policy,category_value,promotion_count,total_discount_depth,maximum_weekly_promotions,binding_weeks,slot_utilization,active_product_count,active_product_set,supported_promoted_product_share,decision_horizon,washout_horizon,evaluation_horizon
empirical_w6,1,2.2,myopic,2839.438278275806,12,4.5600000000000005,1,12,1.0,3,1600066510|3800000110|3800000120,1.0,12,6,18
empirical_w6,1,2.24,dynamic,2863.3912617310834,12,4.5600000000000005,1,12,1.0,3,1600066510|3800000110|3800000120,1.0,12,6,18
empirical_w6,1,2.24,myopic,2863.3912617310834,12,4.5600000000000005,1,12,1.0,3,1600066510|3800000110|3800000120,1.0,12,6,18
empirical_w6,1,2.25,dynamic,2869.379507594902,12,4.5600000000000005,1,12,1.0,3,1600066510|3800000110|3800000120,1.0,12,6,18
empirical_w6,1,2.25,myopic,2864.043351823885,12,6.2,1,12,1.0,3,1600066510|3800000120|3800000127,1.0,12,6,18
empirical_w6,1,2.3,dynamic,2900.306224082551,12,5.79,1,12,1.0,4,1600066510|3800000110|3800000120|3800000127,1.0,12,6,18
empirical_w6,1,2.3,myopic,2900.1606771721035,12,6.2,1,12,1.0,3,1600066510|3800000120|3800000127,1.0,12,6,18
empirical_w6,1,2.35,dynamic,2936.278002520322,12,6.2,1,12,1.0,3,1600066510|3800000120|3800000127,1.0,12,6,18
empirical_w6,1,2.35,myopic,2936.278002520322,12,6.2,1,12,1.0,3,1600066510|3800000120|3800000127,1.0,12,6,18
empirical_w6,1,2.4,dynamic,2972.3953278685403,12,6.2,1,12,1.0,3,1600066510|3800000120|3800000127,1.0,12,6,18
empirical_w6,1,2.4,myopic,2972.3953278685403,12,6.2,1,12,1.0,3,1600066510|3800000120|3800000127,1.0,12,6,18
empirical_w6,1,2.45,dynamic,3008.5126532167587,12,6.2,1,12,1.0,3,1600066510|3800000120|3800000127,1.0,12,6,18
empirical_w6,1,2.45,myopic,3008.5126532167587,12,6.2,1,12,1.0,3,1600066510|3800000120|3800000127,1.0,12,6,18
empirical_w6,1,2.5,dynamic,3044.629978564976,12,6.2,1,12,1.0,3,1600066510|3800000120|3800000127,1.0,12,6,18
empirical_w6,1,2.5,myopic,3044.629978564976,12,6.2,1,12,1.0,3,1600066510|3800000120|3800000127,1.0,12,6,18
empirical_w6,1,2.55,dynamic,3080.7473039131946,12,6.2,1,12,1.0,3,1600066510|3800000120|3800000127,1.0,12,6,18
empirical_w6,1,2.55,myopic,3080.7473039131946,12,6.2,1,12,1.0,3,1600066510|3800000120|3800000127,1.0,12,6,18
empirical_w6,1,2.6,dynamic,3116.864629261413,12,6.2,1,12,1.0,3,1600066510|3800000120|3800000127,1.0,12,6,18
empirical_w6,1,2.6,myopic,3116.864629261413,12,6.2,1,12,1.0,3,1600066510|3800000120|3800000127,1.0,12,6,18
empirical_w6,1,2.65,dynamic,3152.9819546096314,12,6.2,1,12,1.0,3,1600066510|3800000120|3800000127,1.0,12,6,18
empirical_w6,1,2.65,myopic,3152.9819546096314,12,6.2,1,12,1.0,3,1600066510|3800000120|3800000127,1.0,12,6,18
empirical_w6,1,2.7,dynamic,3189.09927995785,12,6.2,1,12,1.0,3,1600066510|3800000120|3800000127,1.0,12,6,18
empirical_w6,1,2.7,myopic,3189.09927995785,12,6.2,1,12,1.0,3,1600066510|3800000120|3800000127,1.0,12,6,18
empirical_w6,1,2.75,dynamic,3225.2166053060682,12,6.2,1,12,1.0,3,1600066510|3800000120|3800000127,1.0,12,6,18
empirical_w6,1,2.75,myopic,3225.2166053060682,12,6.2,1,12,1.0,3,1600066510|3800000120|3800000127,1.0,12,6,18
empirical_w6,1,2.8,dynamic,3261.3339306542866,12,6.2,1,12,1.0,3,1600066510|3800000120|3800000127,1.0,12,6,18
empirical_w6,1,2.8,myopic,3261.3339306542866,12,6.2,1,12,1.0,3,1600066510|3800000120|3800000127,1.0,12,6,18
empirical_w6,1,2.85,dynamic,3297.451256002504,12,6.2,1,12,1.0,3,1600066510|3800000120|3800000127,1.0,12,6,18
empirical_w6,1,2.85,myopic,3297.451256002504,12,6.2,1,12,1.0,3,1600066510|3800000120|3800000127,1.0,12,6,18
empirical_w6,1,2.9,dynamic,3333.5685813507225,12,6.2,1,12,1.0,3,1600066510|3800000120|3800000127,1.0,12,6,18
empirical_w6,1,2.9,myopic,3333.5685813507225,12,6.2,1,12,1.0,3,1600066510|3800000120|3800000127,1.0,12,6,18
empirical_w6,1,2.95,dynamic,3369.685906698942,12,6.2,1,12,1.0,3,1600066510|3800000120|3800000127,1.0,12,6,18
empirical_w6,1,2.95,myopic,3369.685906698942,12,6.2,1,12,1.0,3,1600066510|3800000120|3800000127,1.0,12,6,18
empirical_w6,1,3.0,dynamic,3405.8032320471593,12,6.2,1,12,1.0,3,1600066510|3800000120|3800000127,1.0,12,6,18
empirical_w6,1,3.0,myopic,3405.8032320471593,12,6.2,1,12,1.0,3,1600066510|3800000120|3800000127,1.0,12,6,18
empirical_w6,1,3.05,dynamic,3441.9205573953777,12,6.2,1,12,1.0,3,1600066510|3800000120|3800000127,1.0,12,6,18
empirical_w6,1,3.05,myopic,3441.9205573953777,12,6.2,1,12,1.0,3,1600066510|3800000120|3800000127,1.0,12,6,18
empirical_w6,1,3.1,dynamic,3478.037882743596,12,6.2,1,12,1.0,3,1600066510|3800000120|3800000127,1.0,12,6,18
empirical_w6,1,3.1,myopic,3478.037882743596,12,6.2,1,12,1.0,3,1600066510|3800000120|3800000127,1.0,12,6,18
empirical_w6,1,3.15,dynamic,3514.1552080918136,12,6.2,1,12,1.0,3,1600066510|3800000120|3800000127,1.0,12,6,18
empirical_w6,1,3.15,myopic,3514.1552080918136,12,6.2,1,12,1.0,3,1600066510|3800000120|3800000127,1.0,12,6,18
empirical_w6,1,3.2,dynamic,3550.272533440033,12,6.2,1,12,1.0,3,1600066510|3800000120|3800000127,1.0,12,6,18
empirical_w6,1,3.2,myopic,3550.272533440033,12,6.2,1,12,1.0,3,1600066510|3800000120|3800000127,1.0,12,6,18
empirical_w6,2,1.2,dynamic,2581.9460906982385,0,0.0,0,0,0.0,0,,1.0,12,6,18
empirical_w6,2,1.2,myopic,2581.9460906982385,0,0.0,0,0,0.0,0,,1.0,12,6,18
empirical_w6,2,1.25,dynamic,2581.9460906982385,0,0.0,0,0,0.0,0,,1.0,12,6,18
empirical_w6,2,1.25,myopic,2581.9460906982385,0,0.0,0,0,0.0,0,,1.0,12,6,18
empirical_w6,2,1.3,dynamic,2581.9460906982385,0,0.0,0,0,0.0,0,,1.0,12,6,18
empirical_w6,2,1.3,myopic,2581.9460906982385,0,0.0,0,0,0.0,0,,1.0,12,6,18
empirical_w6,2,1.35,dynamic,2581.9460906982385,0,0.0,0,0,0.0,0,,1.0,12,6,18
empirical_w6,2,1.35,myopic,2581.9460906982385,0,0.0,0,0,0.0,0,,1.0,12,6,18
empirical_w6,2,1.4,dynamic,2581.9460906982385,0,0.0,0,0,0.0,0,,1.0,12,6,18
empirical_w6,2,1.4,myopic,2578.5366915755235,4,0.36,1,0,0.16666666666666666,1,3800000110,1.0,12,6,18
empirical_w6,2,1.45,dynamic,2581.9460906982385,0,0.0,0,0,0.0,0,,1.0,12,6,18
empirical_w6,2,1.45,myopic,2579.5594127500417,4,0.36,1,0,0.16666666666666666,1,3800000110,1.0,12,6,18
empirical_w6,2,1.5,dynamic,2581.9460906982385,0,0.0,0,0,0.0,0,,1.0,12,6,18
empirical_w6,2,1.5,myopic,2580.58213392456,4,0.36,1,0,0.16666666666666666,1,3800000110,1.0,12,6,18
