parameter,count,mean,std,min,5%,50%,95%,max
price_elasticity,564.0,1.5984678137915898,0.17130911746305724,0.9829650373195189,1.3002279489395945,1.5907249435084587,1.8835694510767444,2.039200004581265
promotion_lift_log,564.0,-0.02696771991153766,0.025435156297822073,-0.10341643388084198,-0.07220061694815502,-0.026858086067520034,0.011903283923312143,0.04389817422357083
displacement_strength,564.0,0.14335904948812725,0.11276602179081788,0.0,0.0,0.1412428964779324,0.3377558372863463,0.4688010644683514
inventory_persistence,564.0,0.363066936004878,0.18604311120567193,0.05,0.15,0.35,0.6,0.95
base_demand,564.0,46.0,0.0,46.0,46.0,46.0,46.0,46.0
regular_price,564.0,2.7299999999999995,4.444834302648865e-16,2.73,2.73,2.73,2.73,2.73
unit_cost,564.0,2.341075,0.0,2.341075,2.341075,2.341075,2.341075,2.341075
