split,model,promotion_indicator,n,pinball_loss,coverage,coverage_gap,mean_predicted_risk,median_predicted_risk,exceedance_rate,mean_exceedance
calibration_refit,full_reliability_raw,all,8203,4.61893939503399,0.9019870778983299,0.0019870778983298587,44.389966345551294,14.316802888266997,0.09801292210167012,2.1888060009280035
calibration_refit,full_reliability_raw,0,7114,2.32127991841613,0.9014619061006466,0.0014619061006465595,15.043763262039958,14.007883531393425,0.09853809389935339,1.4613722719098645
calibration_refit,full_reliability_raw,1,1089,19.62862673815562,0.9054178145087236,0.005417814508723584,236.0969348819146,154.85222714317234,0.0945821854912764,6.940838643935387
calibration_refit,full_reliability_corrected,all,8203,4.725552489457701,0.9188101913933927,0.018810191393392683,47.84098747133555,15.174928912870884,0.08118980860660734,1.9503169827732891
calibration_refit,full_reliability_corrected,0,7114,2.328831580849863,0.9136913129041327,0.013691312904132724,15.901889286643845,14.866009555997312,0.08630868709586731,1.3831113318832093
calibration_refit,full_reliability_corrected,1,1089,20.382368415845352,0.9522497704315886,0.05224977043158863,256.4862992122876,175.24159147354533,0.047750229568411386,5.655643888587823
test,full_reliability_raw,all,8588,24.766561396246974,0.7631578947368421,-0.13684210526315788,39.49413146213514,11.612260513091764,0.23684210526315788,24.87098427528487
test,full_reliability_raw,0,7441,8.393990844131473,0.7767773148770326,-0.12322268512296741,10.86870580292096,11.041508450777325,0.22322268512296733,8.589838606030769
test,full_reliability_raw,1,1147,130.9812932866493,0.6748038360941587,-0.2251961639058413,225.19752494967886,144.35214720715388,0.32519616390584133,130.49261019064647
test,full_reliability_corrected,all,8588,24.19510474656173,0.7949464368886818,-0.1050535631113182,42.960819472849536,12.482525031262396,0.20505356311131812,23.952858824528178
test,full_reliability_corrected,0,7441,8.298736363416754,0.8000268781077812,-0.09997312189221885,11.726831827524846,11.899634475381212,0.19997312189221877,8.40877152285566
test,full_reliability_corrected,1,1147,127.32054253120141,0.7619877942458587,-0.1380122057541413,245.58688928005182,164.74151153752683,0.23801220575414123,124.79292300216132
