rho,mean_profit,p10_profit,maximum_regret,mean_regret,mean_promotion_count,mean_promotion_depth
0.0,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0
0.45429233,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0
0.90858466,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0
1.362877,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0
1.81716933,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0
