price_elasticity,promotion_lift_log,displacement_strength,inventory_persistence,scenario_weight,scenario_id
1.5447778432490713,0.0,0.013251631752338022,0.35,0.04333333333333333,0
1.7177802440114247,0.0,0.1718703488455021,0.35,0.015000000000000003,1
1.4834798379383276,0.0,0.3377558372863463,0.05000534631302867,0.04,2
1.7251705298830136,0.0,0.2834702255013333,0.05000534631302867,0.020000000000000004,3
1.4389460798977765,0.0,0.1417519762457065,0.05000407504747069,0.03833333333333334,4
1.3545480502682261,0.0,0.16445906758427528,0.35,0.013333333333333336,5
1.6747035414734042,0.0,0.05785078168098248,0.11677252584697638,0.035,6
1.6933317615427756,0.0,0.0,0.6,0.026666666666666672,7
1.5375872200782503,0.0,0.33266153252673064,0.6,0.008333333333333335,8
1.7055232606598276,0.0,0.2091000186526675,0.05000534631302867,0.06166666666666666,9
1.5331374930653225,0.0,0.009509511387096293,0.6,0.03166666666666667,10
1.1939735756694672,0.0,0.35775676038220394,0.35,0.005,11
1.359811319356252,0.0,0.05228776262395283,0.6,0.020000000000000004,12
1.2830606264637845,0.0,0.010663781367098347,0.15,0.013333333333333336,13
1.6356695105889405,0.0,0.12491134182377545,0.05000534631302867,0.06,14
1.5482111555014693,0.0,0.20114860883538685,0.6,0.02500000000000001,15
1.5436450844739134,0.0,0.18390076012632753,0.35,0.028333333333333342,16
1.3025102752615676,0.0,0.25728638981853946,0.15,0.02500000000000001,17
1.700973147814016,0.0,0.0,0.35,0.03333333333333333,18
1.947601471289587,0.0,0.29687996950037854,0.05000534631302867,0.02166666666666667,19
2.039200004581265,0.0,0.25109755371843406,0.40704813596517186,0.008333333333333335,20
1.5420021990755988,0.0,0.052410674740996505,0.06342112093508587,0.056666666666666664,21
1.7496842615879777,0.0,0.08935667355608198,0.05000534631302867,0.031666666666666676,22
1.4134714619723883,0.0,0.20330958108660557,0.6,0.01666666666666667,23
0.9829650373195189,0.0,0.2906410699425818,0.29314674057987905,0.005000000000000001,24
1.5235231578497472,0.0,0.24396402035194312,0.05000534631302867,0.039999999999999994,25
1.7177802440114247,0.0,0.1718703488455021,0.6,0.015000000000000003,26
1.7045506793281904,0.0,0.3400557719391881,0.23128229402439376,0.013333333333333338,27
1.2830606264637845,0.0,0.010663781367098347,0.35,0.018333333333333337,28
1.8823140619304806,0.0,0.03709719027707839,0.35,0.015000000000000003,29
1.6703317649322946,0.0,0.31359900533776286,0.05000368296091059,0.036666666666666674,30
1.321167352241867,0.0,0.3847234999757356,0.17260690958376934,0.011666666666666667,31
1.9268238264766764,0.0,0.16072081643549901,0.05000534631302867,0.028333333333333342,32
1.479606276962997,0.0,0.24875432887485305,0.46192373251408836,0.026666666666666672,33
1.8440991134657874,0.0,0.006433828925799473,0.15,0.01666666666666667,34
1.5590174649697905,0.0,0.181613542645202,0.05000534631302867,0.03666666666666667,35
1.8440991134657874,0.0,0.006433828925799473,0.6,0.01666666666666667,36
1.3506759724113502,0.0,0.11780545449827894,0.15,0.016666666666666666,37
1.5495083326618435,0.0,0.4688010644683514,0.08003085201414926,0.005000000000000001,38
1.5647096677661254,0.0,0.057773287277080344,0.6,0.02,39
