behavioral_variant,rho,nominal_alpha_threshold_exact,dro_alpha_threshold_grid,threshold_gap,mean_displacement_strength,mean_persistence
baseline,0.9679783080663875,2.1852618233637497,2.24,0.05473817663625047,0.14935572223581592,0.35651542620042265
no_displacement,0.8378476470688653,2.1852617311258036,2.24,0.05473826887419664,0.0,0.35651542620042265
half_displacement,1.0611006011118314,2.1852618233637497,2.25,0.06473817663625026,0.07467786111790796,0.35651542620042265
double_displacement,1.0409696251783216,2.1852618233637497,2.25,0.06473817663625026,0.29871144447163184,0.35651542620042265
low_persistence,0.8328915060665644,2.1852618233637497,2.24,0.05473817663625047,0.14935572223581592,0.14999999999999997
medium_persistence,0.8888919019370414,2.1852618233637497,2.24,0.05473817663625047,0.14935572223581592,0.35
high_persistence,0.8629961733487234,2.1852618233637497,2.24,0.05473817663625047,0.14935572223581592,0.5999999999999999
zero_nonprice_lift,0.9273651851016858,2.1291445808859115,2.19,0.06085541911408843,0.14935572223581592,0.35651542620042265
