alpha,scenario_id,scenario_weight,policy,discounted_profit,oracle_profit,regret,promotion_count,mean_promotion_depth,first_promotion_week,first_discount
0.0,0,0.020000000000000004,myopic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.0,0,0.020000000000000004,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.0,0,0.020000000000000004,dro,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.05,0,0.020000000000000004,myopic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.05,0,0.020000000000000004,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.05,0,0.020000000000000004,dro,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.1,0,0.020000000000000004,myopic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.1,0,0.020000000000000004,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.1,0,0.020000000000000004,dro,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.15,0,0.020000000000000004,myopic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.15,0,0.020000000000000004,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.15,0,0.020000000000000004,dro,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.2,0,0.020000000000000004,myopic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.2,0,0.020000000000000004,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.2,0,0.020000000000000004,dro,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.25,0,0.020000000000000004,myopic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.25,0,0.020000000000000004,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.25,0,0.020000000000000004,dro,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.3,0,0.020000000000000004,myopic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.3,0,0.020000000000000004,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.3,0,0.020000000000000004,dro,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.35,0,0.020000000000000004,myopic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.35,0,0.020000000000000004,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
