policy,mean_profit,p10_profit,worst_profit,mean_regret,p90_regret,maximum_regret,mean_promotion_count,mean_promotion_depth
dro_rho_0.297767,208.8800183516027,208.8800183516027,208.8800183516027,0.0,0.0,0.0,0.0,0.0
dro_rho_0.595534,208.8800183516027,208.8800183516027,208.8800183516027,0.0,0.0,0.0,0.0,0.0
dro_rho_0.893300,208.8800183516027,208.8800183516027,208.8800183516027,0.0,0.0,0.0,0.0,0.0
dro_rho_1.191067,208.8800183516027,208.8800183516027,208.8800183516027,0.0,0.0,0.0,0.0,0.0
myopic,208.8800183516027,208.8800183516027,208.8800183516027,0.0,0.0,0.0,0.0,0.0
no_promotion,208.8800183516027,208.8800183516027,208.8800183516027,0.0,0.0,0.0,0.0,0.0
nominal_dynamic,208.8800183516027,208.8800183516027,208.8800183516027,0.0,0.0,0.0,0.0,0.0
