evaluation_split,diagnostic,n,spearman_rho,spearman_p_value,standardized_coefficient,coefficient_ci_lower,coefficient_ci_upper,coefficient_p_value,incremental_adjusted_r_squared
policy_calibration,weak_local_support,7761,0.42414087804074757,0.0,0.023422659170465678,0.009369883550232315,0.03747543479069904,0.001087715599395065,0.00279442106486949
policy_calibration,reference_price_distance,7761,0.42207195466899106,0.0,-0.13465047366207578,-0.14765867532409016,-0.1216422720000614,1.64218933364519e-91,0.12401386954174276
policy_calibration,nearest_historical_price_distance,7761,0.6029323234178167,0.0,0.06266536393763442,0.04438675164018674,0.0809439762350821,1.8243676053738757e-11,0.056101618625067795
policy_calibration,outside_historical_range,7761,-0.06330511401736215,2.3823118971059355e-08,-0.26269245180876066,-0.2947436767079963,-0.23064122690952502,4.5688103417392976e-58,0.03753476761711083
test,weak_local_support,8350,0.42859099585674526,0.0,0.04197014208559464,0.027006011113077967,0.05693427305811131,3.859938186457545e-08,0.007734134751715249
test,reference_price_distance,8350,0.38927716271013657,2.9171987306720822e-300,-0.09722823292377925,-0.1070634782742793,-0.0873929875732792,1.2399416132714e-83,0.12480316971766081
test,nearest_historical_price_distance,8350,0.7328349356082107,0.0,0.0030698055599084023,-0.002495393568275357,0.008635004688092161,0.27963892239693067,0.00020302518116199764
test,outside_historical_range,8350,0.007187465822638738,0.511381031100627,-0.14083165260548147,-0.19764898705339834,-0.0840143181575646,1.1851044722047167e-06,0.0075542210722855385
