split,model,risk_version,promotion_indicator,n,pinball_loss,coverage,coverage_gap,mean_predicted_risk,median_predicted_risk,exceedance_rate,mean_positive_exceedance
validation,full_reliability,raw,all,3197,5.279233571395639,0.8873944322802627,-0.01260556771973731,35.10760105783719,13.721502423471035,0.11260556771973726,3.306503693277645
validation,full_reliability,raw,0,2941,2.347073652769758,0.8945936756205373,-0.005406324379462757,13.952758376264885,13.478265822377317,0.10540632437946276,1.5317146082581854
validation,full_reliability,raw,1,256,38.96471138654688,0.8046875,-0.09531250000000002,278.140383583244,254.37665428509268,0.1953125,23.695779861411356
validation,full_reliability,online_corrected,all,3197,5.706525590497466,0.8999061620269002,-9.383797309980846e-05,43.271104328326885,14.784574136341615,0.10009383797309979,2.9174453853305025
validation,full_reliability,online_corrected,0,2941,2.352096536215684,0.9044542672560354,0.004454267256035371,14.858172973548452,14.498984996091018,0.09554573274396463,1.4461960319757547
validation,full_reliability,online_corrected,1,256,44.2431499992581,0.84765625,-0.05234375000000002,369.68685086896505,329.8650033968865,0.15234375,19.819571745550483
validation,support_only,raw,all,3197,5.225505053604224,0.8902095714732562,-0.009790428526743833,41.77139479627423,13.619304709327999,0.10979042852674382,2.586395801642526
validation,support_only,raw,0,2941,2.402567025571515,0.8905134308058483,-0.009486569194151695,13.567507540765954,13.350998150007085,0.10948656919415165,1.6257330646098354
validation,support_only,raw,1,256,37.65621107096437,0.88671875,-0.013281250000000022,365.78558393084387,352.8426292353298,0.11328125,13.622759511068871
validation,support_only,online_corrected,all,3197,5.402859918954415,0.9002189552705662,0.00021895527056614572,46.39688524801063,14.646082679023547,0.09978104472943385,2.301201621819078
validation,support_only,online_corrected,0,2941,2.4018063933504594,0.9007140428425705,0.0007140428425704837,14.628368580205514,14.346222313475986,0.09928595715742945,1.5188863284448237
validation,support_only,online_corrected,1,256,39.87980686739674,0.89453125,-0.005468750000000022,411.3625396230686,436.92881929575765,0.10546875,11.288659738278767
validation,recent_only,raw,all,3197,5.310488519433914,0.8942758836409134,-0.005724116359086651,32.919357746923204,13.673502499304002,0.10572411635908664,3.5565829724073184
validation,recent_only,raw,0,2941,2.3443200930313326,0.9044542672560354,0.004454267256035371,14.572775540013307,13.497221357251979,0.09554573274396463,1.466959332144918
validation,recent_only,raw,1,256,39.38666563681669,0.77734375,-0.12265625000000002,243.69005411614978,164.40432361643417,0.22265625,27.562767058390595
validation,recent_only,online_corrected,all,3197,5.681500044357653,0.9064748201438849,0.006474820143884896,41.934106829152526,14.574993851460672,0.09352517985611511,3.0261195891081263
validation,recent_only,online_corrected,0,2941,2.350461305939514,0.911934716082965,0.011934716082964925,15.190778564214044,14.08577098462941,0.08806528391703503,1.4113002426330252
