replication,wasserstein_distance
0,0.8859494998212799
1,0.7995750709669659
2,0.825418130439102
3,0.8446441122576143
4,0.8375571487423916
5,0.771791277440149
6,0.8056335155787316
7,0.7850686468833377
8,0.8590962683301882
9,0.886559201442847
10,0.7965492578820927
11,0.9508555965741832
12,0.8568128500079747
13,0.9582397907622273
14,0.9219592617982671
15,0.9082537995702825
16,0.8879425020845908
17,0.8429947020063422
18,0.8639048114296748
19,0.8504698349762976
20,0.8556261458447045
21,0.8037900955939223
22,0.7701388863998606
23,0.8900012294985895
24,0.7068588696576943
25,0.8447290085519089
26,0.9286998083567286
27,0.771002915001725
28,0.924754651026372
29,0.8800442099078264
30,0.7656342252422691
31,0.9115624401661883
32,0.8508109647449628
33,0.7709098444630539
34,0.8792468102808847
35,0.8828537697561244
36,0.8241311191529571
37,0.8065160358678046
38,0.7881339509984465
39,0.8408349735843089
40,0.900336163114695
41,0.8586970017406873
42,0.8687681251433985
43,0.8924316441729924
44,0.9245152410828674
45,0.9054638351680364
46,0.8780146494894088
47,0.8147240981568465
48,0.882570209348293
49,0.7764938317418283
50,0.8153898443667473
51,0.8336784016818574
52,0.791244042107682
53,0.8005789160110567
54,0.8860829804531757
55,0.8273914109220981
56,0.8413981804504505
57,0.8069798237396241
58,0.850627210606997
59,0.816649865372916
60,0.8382774679390295
61,0.8971589548559339
62,0.8472275844508437
63,0.8758572103858185
64,0.8939256842028985
65,0.9806838927177246
66,0.8129102793520144
67,0.8100234597947086
68,0.8301208270989752
69,0.7786954793858789
70,0.8889944782179013
71,0.9219680565641223
72,0.8440530807434081
73,0.8807865300582799
74,0.8742878522200824
75,0.8952334791984465
76,0.7905493540966149
77,0.7737804371580256
78,0.7875980521049296
79,0.9274269985708133
80,0.7706992317170349
81,0.8132685955132708
82,0.8336053535235328
83,0.8075916670623101
84,0.8179830049998819
85,0.8449235324672862
86,0.8561875223072765
87,0.7731832621046315
88,0.8447377873774546
89,0.892634508100864
90,0.9065923354686144
91,0.841047128529257
92,0.8472572350407583
93,0.785650326399178
94,0.8491615869369241
95,0.8124695040116704
96,0.9026446397808914
97,0.8672422100005313
98,0.8162924919658194
99,0.8227154299226307
