requested_scenario_count,actual_scenario_count,radius_mode,rho,dro_alpha_threshold,schedule_id_at_2_24,promotion_count_at_2_24,mean_profit_at_2_24,p10_profit_at_2_24,maximum_regret_at_2_24,median_schedules_evaluated
20,20,fixed_baseline_rho,0.9085846636298731,2.235,3,1,210.0635656463623,208.55202453613282,11.199568595886234,352.0
20,20,recalibrated_reduced_rho,1.230873411039883,2.25,0,0,208.8800201416016,208.88002014160156,14.774208488464382,719.0
40,40,fixed_baseline_rho,0.9085846636298731,2.24,3,1,210.0635656463623,208.55202453613282,11.199568595886234,344.0
40,40,recalibrated_reduced_rho,1.0646883672787812,2.245,0,0,208.8800201416016,208.88002014160156,14.774208488464382,564.0
80,80,fixed_baseline_rho,0.9085846636298731,2.24,3,1,210.0635656463623,208.55202453613282,11.199568595886234,358.0
80,80,recalibrated_reduced_rho,0.8901829034120723,2.235,3,1,210.0635656463623,208.55202453613282,11.199568595886234,341.0
