upc,relative_week,week,stores,promotion_store_share,median_promotion_depth,product_name,promoted,observed_action
1600066610,1,326,15,1.0,0.4059701492537313,1600066610,True,0.3
1600066610,2,327,15,0.26666666666666666,0.032835820895522394,1600066610,True,0.0
1600066610,3,328,15,0.0,0.0,1600066610,False,0.0
1600066610,4,329,15,0.0,0.0,1600066610,False,0.0
1600066610,5,330,15,0.0,0.0,1600066610,False,0.0
1600066610,6,331,15,1.0,0.33134328358208953,1600066610,True,0.3
1600066610,7,332,15,0.0,0.0268656716417911,1600066610,False,0.0
1600066610,8,333,15,0.0,0.0,1600066610,False,0.0
1600066610,9,334,15,0.0,0.0,1600066610,False,0.0
1600066610,10,335,15,0.0,0.0,1600066610,False,0.0
1600066610,11,336,15,0.0,0.0,1600066610,False,0.0
1600066610,12,337,15,0.0,0.0,1600066610,False,0.0
1600066590,1,326,15,0.0,0.0,1600066590,False,0.0
1600066590,2,327,15,0.0,0.0,1600066590,False,0.0
1600066590,3,328,15,0.0,0.0,1600066590,False,0.0
1600066590,4,329,15,0.0,0.0,1600066590,False,0.0
1600066590,5,330,15,0.0,0.0,1600066590,False,0.0
1600066590,6,331,15,1.0,0.3323076923076923,1600066590,True,0.3
1600066590,7,332,15,1.0,0.38769230769230767,1600066590,True,0.3
1600066590,8,333,15,0.06666666666666667,0.05384615384615382,1600066590,False,0.0
1600066590,9,334,15,0.0,0.0,1600066590,False,0.0
1600066590,10,335,15,0.0,0.0,1600066590,False,0.0
1600066590,11,336,15,0.0,0.0,1600066590,False,0.0
1600066590,12,337,15,0.0,0.0,1600066590,False,0.0
3800000120,1,326,15,0.0,0.0,3800000120,False,0.0
3800000120,2,327,15,0.0,0.0,3800000120,False,0.0
3800000120,3,328,15,0.0,0.0,3800000120,False,0.0
3800000120,4,329,15,0.0,0.0,3800000120,False,0.0
3800000120,5,330,15,0.0,0.0,3800000120,False,0.0
3800000120,6,331,15,0.0,0.0,3800000120,False,0.0
3800000120,7,332,15,0.0,0.0,3800000120,False,0.0
3800000120,8,333,15,0.0,0.0,3800000120,False,0.0
3800000120,9,334,15,0.0,0.0,3800000120,False,0.0
3800000120,10,335,15,0.0,0.0,3800000120,False,0.0
3800000120,11,336,14,0.0,0.0,3800000120,False,0.0
3800000120,12,337,14,0.0,0.0,3800000120,False,0.0
3800001520,1,326,15,0.0,0.0,3800001520,False,0.0
3800001520,2,327,15,0.06666666666666667,0.05569007263922521,3800001520,False,0.0
3800001520,3,328,14,0.0,0.0,3800001520,False,0.0
3800001520,4,329,14,0.07142857142857142,0.04600484261501214,3800001520,False,0.0
3800001520,5,330,14,0.07142857142857142,0.05128205128205121,3800001520,False,0.0
3800001520,6,331,14,0.0,0.0,3800001520,False,0.0
3800001520,7,332,14,0.0,0.0,3800001520,False,0.0
3800001520,8,333,14,0.0,0.0,3800001520,False,0.0
3800001520,9,334,14,0.0,0.0,3800001520,False,0.0
3800001520,10,335,14,0.0,0.0,3800001520,False,0.0
3800001520,11,336,15,0.9333333333333333,0.03962703962703962,3800001520,True,0.0
3800001520,12,337,15,1.0,0.5157384987893463,3800001520,True,0.3
3800000127,1,326,15,0.0,0.029498525073746285,3800000127,False,0.0
3800000127,2,327,15,0.0,0.029498525073746285,3800000127,False,0.0
3800000127,3,328,15,0.0,0.023738872403560873,3800000127,False,0.0
3800000127,4,329,15,0.0,0.023738872403560873,3800000127,False,0.0
3800000127,5,330,15,0.0,0.023738872403560873,3800000127,False,0.0
3800000127,6,331,15,0.0,0.023738872403560873,3800000127,False,0.0
3800000127,7,332,15,0.0,0.023738872403560873,3800000127,False,0.0
3800000127,8,333,15,1.0,0.2836676217765044,3800000127,True,0.3
3800000127,9,334,15,0.06666666666666667,0.024793388429751984,3800000127,False,0.0
3800000127,10,335,15,0.0,0.0,3800000127,False,0.0
3800000127,11,336,15,0.0,0.0,3800000127,False,0.0
3800000127,12,337,15,0.0,0.0,3800000127,False,0.0
1600066510,1,326,15,0.0,0.0,1600066510,False,0.0
1600066510,2,327,15,0.0,0.0,1600066510,False,0.0
1600066510,3,328,15,0.0,0.0,1600066510,False,0.0
1600066510,4,329,15,0.0,0.0,1600066510,False,0.0
1600066510,5,330,15,0.0,0.0,1600066510,False,0.0
1600066510,6,331,15,1.0,0.33207547169811313,1600066510,True,0.3
1600066510,7,332,15,0.06666666666666667,0.032128514056224966,1600066510,False,0.0
1600066510,8,333,15,0.0,0.0,1600066510,False,0.0
1600066510,9,334,15,0.0,0.0,1600066510,False,0.0
1600066510,10,335,15,0.0,0.0,1600066510,False,0.0
1600066510,11,336,15,0.0,0.0,1600066510,False,0.0
1600066510,12,337,15,0.0,0.0,1600066510,False,0.0
3800001611,1,326,15,0.0,0.0,3800001611,False,0.0
3800001611,2,327,15,0.0,0.0,3800001611,False,0.0
3800001611,3,328,15,0.0,0.0,3800001611,False,0.0
3800001611,4,329,15,0.0,0.0,3800001611,False,0.0
3800001611,5,330,15,0.0,0.0,3800001611,False,0.0
3800001611,6,331,15,0.0,0.0,3800001611,False,0.0
3800001611,7,332,15,1.0,0.3987915407854985,3800001611,True,0.3
3800001611,8,333,15,0.4,0.033232628398791486,3800001611,True,0.0
3800001611,9,334,15,0.0,0.0,3800001611,False,0.0
3800001611,10,335,15,0.0,0.0,3800001611,False,0.0
3800001611,11,336,15,0.0,0.0,3800001611,False,0.0
3800001611,12,337,15,0.0,0.0,3800001611,False,0.0
3800000110,1,326,15,0.0,0.0,3800000110,False,0.0
3800000110,2,327,15,0.0,0.0,3800000110,False,0.0
3800000110,3,328,15,0.0,0.0,3800000110,False,0.0
3800000110,4,329,15,0.0,0.0,3800000110,False,0.0
3800000110,5,330,15,0.0,0.0,3800000110,False,0.0
3800000110,6,331,15,0.0,0.0,3800000110,False,0.0
3800000110,7,332,15,0.0,0.0,3800000110,False,0.0
3800000110,8,333,15,0.0,0.0,3800000110,False,0.0
3800000110,9,334,15,0.0,0.0,3800000110,False,0.0
3800000110,10,335,15,0.0,0.0,3800000110,False,0.0
3800000110,11,336,15,0.0,0.0,3800000110,False,0.0
3800000110,12,337,15,0.0,0.0,3800000110,False,0.0
