model,split,promotion_indicator,post_promotion_indicator,n,mean_observed,mean_predicted,mean_deviance,median_deviance,p90_deviance,state
common_spline,calibration,0,0,6489,34.43180767452612,33.91966615715544,6.351182192849755,2.3596594698482285,16.46295526758172,regular
common_spline,calibration,0,1,408,32.48039215686274,33.160929243580355,6.6185289165867625,2.3432342552535266,15.062464347230318,post-promotion
common_spline,calibration,1,0,1021,174.54554358472086,201.87059869321865,114.32110560852958,56.46746756007718,260.90090343020165,promotion
common_spline,test,0,0,6664,31.875600240096038,31.022363461349318,12.317604881142293,2.4749258740777993,17.355368787609073,regular
common_spline,test,0,1,622,32.28135048231511,27.573709322198845,18.27004273455103,3.3056640914263333,29.58401733914206,post-promotion
common_spline,test,1,0,1114,251.28007181328545,230.57060326960755,235.5854632408007,71.12062564604435,458.1222869687772,promotion
product_promotion,calibration,0,0,6489,34.43180767452612,35.0202549922693,6.426034742976231,2.4612560849729626,16.097515896951105,regular
product_promotion,calibration,0,1,408,32.48039215686274,34.080610999678804,7.6493431388858015,2.533931797258802,19.466451134326505,post-promotion
product_promotion,calibration,1,0,1021,174.54554358472086,201.88371080803483,105.74246564068899,53.192213897154915,224.18251062810057,promotion
product_promotion,test,0,0,6664,31.875600240096038,31.878244677165195,12.449669806890665,2.6667065651525217,17.592536211422694,regular
product_promotion,test,0,1,622,32.28135048231511,28.797931196843898,19.148284161794148,4.043348515131488,27.35088939662641,post-promotion
product_promotion,test,1,0,1114,251.28007181328545,232.61394512811094,224.13507942482005,73.61526490360203,391.85692118419064,promotion
product_promotion_depth,calibration,0,0,6489,34.43180767452612,34.746274630795945,5.785665937625037,2.1643592874103312,14.401200862719813,regular
product_promotion_depth,calibration,0,1,408,32.48039215686274,32.39244412735638,6.510977587384615,2.0967730142832313,15.46031366092609,post-promotion
product_promotion_depth,calibration,1,0,1021,174.54554358472086,212.2120512780542,94.03866812776171,44.252394554346935,219.03253059528365,promotion
product_promotion_depth,test,0,0,6664,31.875600240096038,28.574292499828168,12.138369538174196,2.1688549068623706,15.112415883343486,regular
product_promotion_depth,test,0,1,622,32.28135048231511,25.925372568723088,17.950422322774966,3.327488747249941,27.431625696135544,post-promotion
product_promotion_depth,test,1,0,1114,251.28007181328545,256.40184779221784,245.04877056094176,53.905374390492184,542.7815247702815,promotion
