upc,product_name,alpha_1_promotions,alpha_2_promotions,alpha_4_promotions
1600066610,1600066610,2.66,2.66,2.66
1600066590,1600066590,2.59,2.59,2.6
3800000120,3800000120,1.65,1.65,1.66
3800001520,3800001520,2.8,2.82,2.85
3800000127,3800000127,2.19,2.19,2.2
1600066510,1600066510,1.9,1.91,1.91
3800001611,3800001611,2.67,2.68,2.68
3800000110,3800000110,1.54,1.56,1.58
