upc,dynamic_profit,myopic_profit,vdo_contribution,alpha,capacity,washout_horizon
1600066510,596.2359892558106,588.5663942643239,7.669594991486747,2.24,2,12
1600066590,531.9719934097901,531.9719934097901,0.0,2.24,2,12
1600066610,593.8574049460657,593.8574049460657,0.0,2.24,2,12
3800000110,216.42656185783898,216.77216747115537,-0.34560561331639406,2.24,2,12
3800000120,497.68926437859426,491.01064241624226,6.678621962351997,2.24,2,12
3800000127,324.4910039281097,324.2798033176526,0.21120061045712646,2.24,2,12
3800001520,421.8072541043035,421.8072541043035,0.0,2.24,2,12
3800001611,420.799896737785,420.799896737785,0.0,2.24,2,12
1600066510,685.898765565328,672.8416764370062,13.057089128321763,2.55,2,12
1600066590,531.9719934097901,521.7809811734638,10.191012236326287,2.55,2,12
1600066610,593.8574049460657,593.8574049460657,0.0,2.55,2,12
3800000110,222.80057542272937,223.28787080772847,-0.48729538499910063,2.55,2,12
3800000120,593.6991378095065,583.6255414485353,10.073596360971237,2.55,2,12
3800000127,374.8524282959618,372.6925716713179,2.159856624643851,2.55,2,12
3800001520,421.8072541043035,421.8072541043035,0.0,2.55,2,12
3800001611,420.799896737785,407.5317628855301,13.268133852254891,2.55,2,12
