upc,dynamic_profit,myopic_profit,vdo_contribution,alpha,capacity,washout_horizon
1600066510,642.5135512220132,632.0633140953856,10.450237126627599,2.4,2,12
1600066590,531.9719934097901,531.9719934097901,0.0,2.4,2,12
1600066610,593.8574049460657,593.8574049460657,0.0,2.4,2,12
3800000110,219.71637531068563,220.13511112874147,-0.41873581805583626,2.4,2,12
3800000120,547.2427474397102,538.811880626458,8.430866813252237,2.4,2,12
3800000127,350.48399715022686,349.2670385969638,1.216958553263055,2.4,2,12
3800001520,421.8072541043035,421.8072541043035,0.0,2.4,2,12
3800001611,420.799896737785,420.799896737785,0.0,2.4,2,12
1600066510,645.4058988449009,634.7818715848272,10.624027260073717,2.41,2,12
1600066590,531.9719934097901,531.9719934097901,0.0,2.41,2,12
1600066610,593.8574049460657,593.8574049460657,0.0,2.41,2,12
3800000110,219.9219886514885,220.34529510734063,-0.4233064558521278,2.41,2,12
3800000120,550.3398401310301,541.7994580145966,8.540382116433534,2.41,2,12
3800000127,352.1085592266092,350.8287408019208,1.2798184246884148,2.41,2,12
3800001520,421.8072541043035,421.8072541043035,0.0,2.41,2,12
3800001611,420.799896737785,420.799896737785,0.0,2.41,2,12
1600066510,648.2982464677885,637.5004290742685,10.797817393520063,2.42,2,12
1600066590,531.9719934097901,531.9719934097901,0.0,2.42,2,12
1600066610,593.8574049460657,593.8574049460657,0.0,2.42,2,12
3800000110,220.1276019922915,220.55547908593974,-0.4278770936482488,2.42,2,12
3800000120,553.4369328223497,544.7870354027349,8.649897419614831,2.42,2,12
3800000127,353.73312130299155,352.39044300687766,1.3426782961138883,2.42,2,12
3800001520,421.8072541043035,421.8072541043035,0.0,2.42,2,12
3800001611,420.799896737785,420.799896737785,0.0,2.42,2,12
1600066510,651.1905940906762,640.2189865637098,10.971607526966409,2.43,2,12
1600066590,531.9719934097901,531.9719934097901,0.0,2.43,2,12
1600066610,593.8574049460657,593.8574049460657,0.0,2.43,2,12
3800000110,220.33321533309436,220.7656630645389,-0.4324477314445403,2.43,2,12
3800000120,556.5340255136696,547.7746127908736,8.759412722796014,2.43,2,12
3800000127,355.3576833793739,353.95214521183465,1.4055381675392482,2.43,2,12
3800001520,421.8072541043035,421.8072541043035,0.0,2.43,2,12
3800001611,420.799896737785,395.4069895975243,25.392907140260718,2.43,2,12
1600066510,654.0829417135639,642.9375440531512,11.145397660412641,2.44,2,12
1600066590,531.9719934097901,531.9719934097901,0.0,2.44,2,12
1600066610,593.8574049460657,593.8574049460657,0.0,2.44,2,12
3800000110,220.53882867389723,220.97584704313803,-0.4370183692408034,2.44,2,12
3800000120,559.6311182049892,550.762190179012,8.868928025977198,2.44,2,12
3800000127,356.9822454557562,355.51384741679163,1.4683980389645512,2.44,2,12
3800001520,421.8072541043035,421.8072541043035,0.0,2.44,2,12
3800001611,420.799896737785,396.41738737152474,24.38250936626025,2.44,2,12
1600066510,656.9752893364515,645.6561015425926,11.319187793858873,2.45,2,12
1600066590,531.9719934097901,531.9719934097901,0.0,2.45,2,12
1600066610,593.8574049460657,593.8574049460657,0.0,2.45,2,12
3800000110,220.7444420147002,221.18603102173716,-0.4415890070369528,2.45,2,12
3800000120,562.7282108963091,553.7497675671505,8.978443329158608,2.45,2,12
3800000127,358.6068075321386,357.0755496217485,1.5312579103900816,2.45,2,12
3800001520,421.8072541043035,421.8072541043035,0.0,2.45,2,12
3800001611,420.799896737785,397.42778514552526,23.372111592259728,2.45,2,12
1600066510,659.8676369593392,648.3746590320338,11.492977927305333,2.46,2,12
1600066590,531.9719934097901,531.9719934097901,0.0,2.46,2,12
1600066610,593.8574049460657,593.8574049460657,0.0,2.46,2,12
3800000110,220.95005535550308,221.39621500033627,-0.4461596448331875,2.46,2,12
3800000120,565.8253035876287,556.7373449552888,9.087958632339905,2.46,2,12
3800000127,360.2313696085209,358.6372518267055,1.5941177818153847,2.46,2,12
3800001520,421.8072541043035,421.8072541043035,0.0,2.46,2,12
3800001611,420.799896737785,398.43818291952573,22.36171381825926,2.46,2,12
1600066510,662.7599845822269,651.0932165214753,11.666768060751679,2.47,2,12
1600066590,531.9719934097901,531.9719934097901,0.0,2.47,2,12
1600066610,593.8574049460657,593.8574049460657,0.0,2.47,2,12
3800000110,221.155668696306,221.60639897893543,-0.45073028262942216,2.47,2,12
3800000120,568.9223962789486,559.7249223434275,9.197473935521089,2.47,2,12
3800000127,361.8559316849033,360.1989540316625,1.6569776532408014,2.47,2,12
3800001520,421.8072541043035,421.8072541043035,0.0,2.47,2,12
3800001611,420.799896737785,399.44858069352625,21.351316044258738,2.47,2,12
1600066510,665.6523322051145,653.8117740109166,11.84055819419791,2.48,2,12
1600066590,531.9719934097901,531.9719934097901,0.0,2.48,2,12
1600066610,593.8574049460657,593.8574049460657,0.0,2.48,2,12
3800000110,221.36128203710894,221.81658295753454,-0.4553009204256,2.48,2,12
3800000120,572.0194889702682,562.7124997315659,9.306989238702272,2.48,2,12
3800000127,363.4804937612855,361.76065623661935,1.7198375246661612,2.48,2,12
3800001520,421.8072541043035,421.8072541043035,0.0,2.48,2,12
3800001611,420.799896737785,400.4589784675267,20.34091827025827,2.48,2,12
1600066510,668.5446798280022,656.5303315003581,12.014348327644143,2.49,2,12
1600066590,531.9719934097901,531.9719934097901,0.0,2.49,2,12
1600066610,593.8574049460657,593.8574049460657,0.0,2.49,2,12
3800000110,221.56689537791186,222.02676693613367,-0.45987155822180625,2.49,2,12
3800000120,575.116581661588,565.7000771197045,9.416504541883569,2.49,2,12
3800000127,365.10505583766786,363.32235844157634,1.7826973960915211,2.49,2,12
3800001520,421.8072541043035,421.8072541043035,0.0,2.49,2,12
3800001611,420.799896737785,401.46937624152724,19.330520496257748,2.49,2,12
1600066510,671.4370274508899,659.2488889897994,12.188138461090489,2.5,2,12
1600066590,531.9719934097901,531.9719934097901,0.0,2.5,2,12
1600066610,593.8574049460657,593.8574049460657,0.0,2.5,2,12
3800000110,221.7725087187148,222.2369509147328,-0.4644421960180125,2.5,2,12
3800000120,578.2136743529077,568.6876545078428,9.526019845064866,2.5,2,12
3800000127,366.7296179140502,364.8840606465332,1.8455572675169947,2.5,2,12
3800001520,421.8072541043035,421.8072541043035,0.0,2.5,2,12
3800001611,420.799896737785,402.47977401552765,18.320122722257338,2.5,2,12
1600066510,674.3293750737774,661.9674464792407,12.361928594536721,2.51,2,12
1600066590,531.9719934097901,531.9719934097901,0.0,2.51,2,12
1600066610,593.8574049460657,593.8574049460657,0.0,2.51,2,12
3800000110,221.97812205951766,222.44713489333193,-0.4690128338142756,2.51,2,12
3800000120,581.3107670442274,571.6752318959814,9.63553514824605,2.51,2,12
3800000127,368.3541799904325,366.4457628514902,1.9084171389422977,2.51,2,12
3800001520,421.8072541043035,421.8072541043035,0.0,2.51,2,12
3800001611,420.799896737785,403.4901717895281,17.30972494825687,2.51,2,12
1600066510,677.2217226966652,664.6860039686823,12.535718727982953,2.52,2,12
1600066590,531.9719934097901,523.4376819775961,8.534311432194045,2.52,2,12
1600066610,593.8574049460657,593.8574049460657,0.0,2.52,2,12
3800000110,222.1837354003206,222.65731887193107,-0.47358347161048187,2.52,2,12
3800000120,584.4078597355472,574.6628092841198,9.745050451427346,2.52,2,12
3800000127,369.97874206681485,368.0074650564472,1.9712770103676576,2.52,2,12
3800001520,421.8072541043035,421.8072541043035,0.0,2.52,2,12
3800001611,420.799896737785,404.50056956352864,16.299327174256348,2.52,2,12
1600066510,680.1140703195528,667.4045614581235,12.709508861429299,2.53,2,12
1600066590,531.9719934097901,517.4145781456396,14.557415264150563,2.53,2,12
1600066610,593.8574049460657,593.8574049460657,0.0,2.53,2,12
3800000110,222.3893487411235,222.8675028505302,-0.4781541094066881,2.53,2,12
3800000120,587.5049524268668,577.6503866722583,9.85456575460853,2.53,2,12
