alpha,capacity,decision_horizon,washout_horizon,evaluation_horizon,dynamic_profit,myopic_profit,vdo,vdo_percent,dynamic_promotion_count,myopic_promotion_count,dynamic_binding_weeks,myopic_binding_weeks,dynamic_active_set,myopic_active_set,dynamic_schedule_signature,myopic_schedule_signature,best_second_gap,minimum_chosen_support,median_chosen_support,minimum_chosen_panels,maximum_terminal_state_dynamic,maximum_terminal_state_myopic,action_disagreements,status_disagreements,depth_disagreements,disagreement_rate,timing_shift_products,same_action_multiset_products,dynamic_active_products,myopic_active_products,active_set_equal,solver_message,economic_profile_mode,dynamic_boundary,myopic_boundary
2.5,2,12,12,24,3806.589377634507,3765.1739815345954,41.415396099911504,1.099959691186211,16,20,8,8,1600066510|3800000110|3800000120|3800000127,1600066510|3800000110|3800000120|3800000127|3800001611,2c5a2409573e62d2,13003a2570e8cd2b,0.5747056166524089,30.0,35.0,12.0,0.02345055820396392,0.02185912509775417,32,32,0,0.3333333333333333,4,7,4,5,False,Optimization terminated successfully. (HiGHS Status 7: Optimal),weekly_predicted_demand_fixed_product_price_cost,False,False
2.51,2,12,12,24,3814.4089933658993,3773.6624003697316,40.74659299616769,1.0797625402891224,16,20,8,8,1600066510|3800000110|3800000120|3800000127,1600066510|3800000110|3800000120|3800000127|3800001611,2c5a2409573e62d2,13003a2570e8cd2b,0.5569796835202396,30.0,35.0,12.0,0.02345055820396392,0.02185912509775417,32,32,0,0.3333333333333333,4,7,4,5,False,Optimization terminated successfully. (HiGHS Status 7: Optimal),weekly_predicted_demand_fixed_product_price_cost,False,False
2.52,2,12,12,24,3822.228609097292,3773.616507772674,48.612101324617925,1.2882098969116116,16,24,8,12,1600066510|3800000110|3800000120|3800000127,1600066510|1600066590|3800000110|3800000120|3800000127|3800001611,2c5a2409573e62d2,92f8dfaed923b24e,0.5392537503876156,30.0,35.0,12.0,0.02345055820396392,0.02185912509775417,36,36,0,0.375,4,6,4,6,False,Optimization terminated successfully. (HiGHS Status 7: Optimal),weekly_predicted_demand_fixed_product_price_cost,False,True
2.53,2,12,12,24,3830.0482248286844,3776.0818227758537,53.966402052830745,1.4291640008255764,16,24,8,12,1600066510|3800000110|3800000120|3800000127,1600066510|1600066590|3800000110|3800000120|3800000127|3800001611,2c5a2409573e62d2,8611193d92ffe562,0.5619703827746889,30.0,35.0,12.0,0.02345055820396392,0.029520984067106057,36,36,0,0.375,4,6,4,6,False,Optimization terminated successfully. (HiGHS Status 7: Optimal),weekly_predicted_demand_fixed_product_price_cost,False,True
2.54,2,12,12,24,3837.867840560077,3786.7534431249023,51.11439743517485,1.3498211120128871,16,24,8,12,1600066510|3800000110|3800000120|3800000127,1600066510|1600066590|3800000110|3800000120|3800000127|3800001611,2c5a2409573e62d2,8611193d92ffe562,0.5805395412617145,30.0,35.0,12.0,0.02345055820396392,0.029520984067106057,36,36,0,0.375,4,6,4,6,False,Optimization terminated successfully. (HiGHS Status 7: Optimal),weekly_predicted_demand_fixed_product_price_cost,False,False
2.55,2,12,12,24,3845.68745629147,3797.425063473951,48.26239281751896,1.2709241660023087,16,24,8,12,1600066510|3800000110|3800000120|3800000127,1600066510|1600066590|3800000110|3800000120|3800000127|3800001611,2c5a2409573e62d2,8611193d92ffe562,0.5654506787218452,30.0,35.0,12.0,0.02345055820396392,0.029520984067106057,36,36,0,0.375,4,6,4,6,False,Optimization terminated successfully. (HiGHS Status 7: Optimal),weekly_predicted_demand_fixed_product_price_cost,False,False
2.56,2,12,12,24,3853.5070720228628,3808.0966838229997,45.410388199863064,1.1924694137301934,16,24,8,12,1600066510|3800000110|3800000120|3800000127,1600066510|1600066590|3800000110|3800000120|3800000127|3800001611,2c5a2409573e62d2,8611193d92ffe562,0.4683500178593931,30.0,35.0,12.0,0.02345055820396392,0.029520984067106057,36,36,0,0.375,4,6,4,6,False,Optimization terminated successfully. (HiGHS Status 7: Optimal),weekly_predicted_demand_fixed_product_price_cost,False,False
2.57,2,12,12,24,3861.3266877542555,3818.768304172048,42.558383582207625,1.1144531480402229,16,24,8,12,1600066510|3800000110|3800000120|3800000127,1600066510|1600066590|3800000110|3800000120|3800000127|3800001611,2c5a2409573e62d2,8611193d92ffe562,0.5352729536434708,30.0,35.0,12.0,0.02345055820396392,0.029520984067106057,36,36,0,0.375,4,6,4,6,False,Optimization terminated successfully. (HiGHS Status 7: Optimal),weekly_predicted_demand_fixed_product_price_cost,False,False
2.58,2,12,12,24,3869.146303485648,3829.439924521097,39.70637896455082,1.0368717030994143,16,24,8,12,1600066510|3800000110|3800000120|3800000127,1600066510|1600066590|3800000110|3800000120|3800000127|3800001611,2c5a2409573e62d2,8611193d92ffe562,0.5201840911036015,30.0,35.0,12.0,0.02345055820396392,0.029520984067106057,36,36,0,0.375,4,6,4,6,False,Optimization terminated successfully. (HiGHS Status 7: Optimal),weekly_predicted_demand_fixed_product_price_cost,False,False
2.59,2,12,12,24,3876.9659192170407,3840.1115448701453,36.85437434689538,0.9597214538241136,16,24,8,12,1600066510|3800000110|3800000120|3800000127,1600066510|1600066590|3800000110|3800000120|3800000127|3800001611,2c5a2409573e62d2,8611193d92ffe562,0.11971945353479896,30.0,35.0,12.0,0.02345055820396392,0.029520984067106057,36,36,0,0.375,4,6,4,6,False,Optimization terminated successfully. (HiGHS Status 7: Optimal),weekly_predicted_demand_fixed_product_price_cost,False,False
2.6,2,12,12,24,3885.251168492692,3850.7831652191944,34.46800327349774,0.8950907333556849,17,24,8,12,1600066510|1600066590|3800000110|3800000120|3800000127,1600066510|1600066590|3800000110|3800000120|3800000127|3800001611,aef668ba141e2406,8611193d92ffe562,0.03809988646025886,30.0,36.0,12.0,0.02345055820396392,0.029520984067106057,37,37,0,0.3854166666666667,4,6,5,6,False,Optimization terminated successfully. (HiGHS Status 7: Optimal),weekly_predicted_demand_fixed_product_price_cost,True,False
2.61,2,12,12,24,3894.1240862519644,3861.454785568242,32.66930068372221,0.8460360796096873,18,24,8,12,1600066510|1600066590|3800000110|3800000120|3800000127,1600066510|1600066590|3800000110|3800000120|3800000127|3800001611,bb590c1d7a60abe5,8611193d92ffe562,0.024624765535918414,30.0,36.0,12.0,0.02345055820396392,0.029520984067106057,38,38,0,0.3958333333333333,4,6,5,6,False,Optimization terminated successfully. (HiGHS Status 7: Optimal),weekly_predicted_demand_fixed_product_price_cost,True,False
2.62,2,12,12,24,3903.9510684611278,3872.1264059172913,31.82466254383644,0.8218911060135523,20,24,8,12,1600066510|1600066590|3800000110|3800000120|3800000127,1600066510|1600066590|3800000110|3800000120|3800000127|3800001611,aabd2adec7d7109f,8611193d92ffe562,0.43779219736643427,30.0,36.0,12.0,0.029520984067106057,0.029520984067106057,36,36,0,0.375,4,7,5,6,False,Optimization terminated successfully. (HiGHS Status 7: Optimal),weekly_predicted_demand_fixed_product_price_cost,True,False
2.63,2,12,12,24,3913.939917685757,3882.412337732411,31.52757995334605,0.8120616052791618,20,24,8,12,1600066510|1600066590|3800000110|3800000120|3800000127,1600066510|1600066590|3800000110|3800000120|3800000127|3800001611,aabd2adec7d7109f,a85e376ee021c389,0.344268485934208,30.0,36.0,12.0,0.029520984067106057,0.027324699446382047,44,44,0,0.4583333333333333,5,7,5,6,False,Optimization terminated successfully. (HiGHS Status 7: Optimal),weekly_predicted_demand_fixed_product_price_cost,False,True
2.64,2,12,12,24,3924.0203189458603,3893.2559370419785,30.764381903881713,0.7901967505186905,20,24,8,12,1600066510|1600066590|3800000110|3800000120|3800000127,1600066510|1600066590|3800000110|3800000120|3800000127|3800001611,f657d82866640b49,a85e376ee021c389,0.41019704505379195,30.0,36.0,12.0,0.029205196472479062,0.027324699446382047,32,32,0,0.3333333333333333,4,7,5,6,False,Optimization terminated successfully. (HiGHS Status 7: Optimal),weekly_predicted_demand_fixed_product_price_cost,True,False
2.65,2,12,12,24,3934.1474941506613,3904.0995363515462,30.04795779911501,0.7696514271558605,20,24,8,12,1600066510|1600066590|3800000110|3800000120|3800000127,1600066510|1600066590|3800000110|3800000120|3800000127|3800001611,f657d82866640b49,a85e376ee021c389,0.4145620533267902,30.0,36.0,12.0,0.029205196472479062,0.027324699446382047,32,32,0,0.3333333333333333,4,7,5,6,False,Optimization terminated successfully. (HiGHS Status 7: Optimal),weekly_predicted_demand_fixed_product_price_cost,False,False
