upc,product_name,action,bin_center,support_count,support_panels,support_stores,depth_q10,depth_q50,depth_q90,supported,selected_for_grid,selection_reason
1600066610,1600066610,0.0,0.0,3408,15,15,0.0,0.0,0.0,True,True,reference_action
1600066610,1600066610,0.05,0.05,283,15,15,0.032362459546925404,0.04692082111436957,0.05899705014749268,True,True,supported_representative
1600066610,1600066610,0.09,0.1,135,15,15,0.07999999999999996,0.09295774647887312,0.1187335092348285,True,False,below_support_threshold
1600066610,1600066610,0.15,0.15000000000000002,16,7,7,0.1264716822809886,0.1505991170906033,0.165047300297121,True,False,below_support_threshold
1600066610,1600066610,0.18,0.2,12,4,4,0.1808219178082191,0.1808219178082191,0.19915492957746475,False,False,below_support_threshold
1600066610,1600066610,0.25,0.25,69,15,15,0.24825609173435265,0.2515527950310559,0.25230769230769223,True,True,supported_representative
1600066610,1600066610,0.28,0.30000000000000004,12,9,9,0.27734991318378727,0.28273523494944347,0.3071032113122771,False,False,below_support_threshold
1600066610,1600066610,0.36,0.35000000000000003,4,3,3,0.3397853541656267,0.3582089552238807,0.3662157566597394,False,False,below_support_threshold
1600066610,1600066610,0.4,0.4,39,14,14,0.38198757763975155,0.39811912225705326,0.4067820191079998,True,False,below_support_threshold
1600066610,1600066610,0.45,0.45,23,11,11,0.42736422079361563,0.452887537993921,0.47226456410216733,True,False,below_support_threshold
1600066610,1600066610,0.5,0.5,44,15,15,0.47887323943661964,0.5014925373134329,0.502343258891646,True,True,supported_representative
1600066610,1600066610,0.55,0.55,4,4,4,0.5492957746478873,0.5543312646326508,0.5593667546174143,False,False,below_support_threshold
1600066590,1600066590,0.0,0.0,3461,15,15,0.0,0.0,0.0,True,True,reference_action
1600066590,1600066590,0.06,0.05,244,15,15,0.032786885245901565,0.056140350877193046,0.07294832826747721,True,True,supported_representative
1600066590,1600066590,0.1,0.1,125,15,15,0.08342615245943856,0.10140845070422533,0.12112676056338023,True,False,below_support_threshold
1600066590,1600066590,0.15,0.15000000000000002,31,10,10,0.12765957446808507,0.14775725593667544,0.15774647887323934,True,False,below_support_threshold
1600066590,1600066590,0.21,0.2,13,4,4,0.19709277908720813,0.21095890410958906,0.21095890410958906,False,False,below_support_threshold
1600066590,1600066590,0.25,0.25,71,15,15,0.2506265664160401,0.25075528700906347,0.25210084033613445,True,True,supported_representative
1600066590,1600066590,0.3,0.30000000000000004,7,5,5,0.2803348989177047,0.29815303430079154,0.3074712643678161,False,False,below_support_threshold
1600066590,1600066590,0.37,0.35000000000000003,11,8,8,0.34749034749034746,0.3650793650793651,0.3699059561128527,False,False,below_support_threshold
1600066590,1600066590,0.39,0.4,33,14,14,0.37617554858934166,0.38769230769230767,0.4086762360446571,True,False,below_support_threshold
1600066590,1600066590,0.45,0.45,18,12,12,0.44272445820433437,0.4524499609474249,0.46665867545699735,True,False,below_support_threshold
1600066590,1600066590,0.5,0.5,55,15,15,0.48657443184178817,0.5014749262536873,0.5160511976971317,True,True,supported_representative
1600066590,1600066590,0.56,0.55,4,4,4,0.5593667546174143,0.5599650674495522,0.5605633802816901,False,False,below_support_threshold
3800000120,3800000120,0.0,0.0,3452,15,15,0.0,0.0,0.0,True,True,reference_action
3800000120,3800000120,0.04,0.05,219,15,15,0.0357142857142857,0.04444444444444451,0.07441860465116279,True,True,supported_representative
3800000120,3800000120,0.08,0.1,84,14,14,0.07555555555555549,0.08252427184466027,0.11555555555555552,True,False,below_support_threshold
3800000120,3800000120,0.14,0.15000000000000002,24,12,12,0.13023255813953483,0.14260563380281688,0.16736401673640167,True,False,below_support_threshold
3800000120,3800000120,0.22,0.2,19,8,8,0.18752802529462492,0.21578947368421053,0.2196078431372549,True,False,below_support_threshold
3800000120,3800000120,0.24,0.25,33,14,14,0.23979591836734693,0.23979591836734693,0.26870748299319724,True,False,below_support_threshold
3800000120,3800000120,0.3,0.30000000000000004,54,14,14,0.27714002461370163,0.29929577464788726,0.3231292517006803,True,True,supported_representative
3800000120,3800000120,0.37,0.35000000000000003,20,12,12,0.34548837209302324,0.3697183098591549,0.36992120006283047,True,False,below_support_threshold
3800000120,3800000120,0.39,0.4,12,9,9,0.3804878048780487,0.391156462585034,0.40917264466762304,False,False,below_support_threshold
3800000120,3800000120,0.46,0.45,1,1,1,0.4642857142857143,0.4642857142857143,0.4642857142857143,False,False,below_support_threshold
3800000120,3800000120,0.5,0.5,20,12,12,0.48625441991257623,0.502092050209205,0.5201612903225807,True,False,below_support_threshold
3800000120,3800000120,0.55,0.55,36,15,15,0.5306122448979591,0.5512195121951219,0.5720930232558139,True,True,supported_representative
3800000120,3800000120,0.59,0.6,4,4,4,0.5815899581589958,0.5851498177891753,0.5943548387096773,False,False,below_support_threshold
3800001520,3800001520,0.0,0.0,3626,15,15,0.0,0.0,0.0,True,True,reference_action
3800001520,3800001520,0.04,0.05,210,15,15,0.03244837758112107,0.041297935103244865,0.06873443179511787,True,True,supported_representative
3800001520,3800001520,0.09,0.1,64,14,14,0.07605633802816902,0.08895137208744747,0.12064343163538882,True,False,below_support_threshold
3800001520,3800001520,0.15,0.15000000000000002,12,5,5,0.1267926833406862,0.1524547803617572,0.16083916083916083,False,False,below_support_threshold
3800001520,3800001520,0.19,0.2,17,11,11,0.18036260992291817,0.19003868471953578,0.2031668643531287,True,True,supported_representative
3800001520,3800001520,0.24,0.25,7,3,3,0.2365038560411311,0.24316109422492393,0.2570694087403599,False,False,below_support_threshold
3800001520,3800001520,0.28,0.30000000000000004,6,4,4,0.2760290556900725,0.28486767469818314,0.30655303967201075,False,False,below_support_threshold
3800001520,3800001520,0.37,0.35000000000000003,24,11,11,0.3475409836065574,0.3682539682539683,0.3682539682539683,True,False,below_support_threshold
3800001520,3800001520,0.4,0.4,15,6,6,0.3946731234866828,0.3951367781155015,0.4084043615958509,True,False,below_support_threshold
3800001520,3800001520,0.45,0.45,3,3,3,0.43268665371445025,0.4459016393442623,0.4657182391707122,False,False,below_support_threshold
3800001520,3800001520,0.49,0.5,30,14,14,0.4812030075187971,0.4864864864864865,0.5012106537530265,True,True,supported_representative
3800001520,3800001520,0.53,0.55,2,1,1,0.5338345864661654,0.5338345864661654,0.5338345864661654,False,False,below_support_threshold
3800000127,3800000127,0.0,0.0,3571,15,15,0.0,0.0,0.0,True,True,reference_action
3800000127,3800000127,0.05,0.05,121,15,15,0.035190615835777206,0.049792531120331995,0.07194244604316558,True,True,supported_representative
3800000127,3800000127,0.08,0.1,119,15,15,0.07588461317887248,0.08399999999999996,0.1180705543556515,True,False,below_support_threshold
3800000127,3800000127,0.13,0.15000000000000002,45,9,9,0.12595419847328249,0.13180515759312328,0.16030534351145032,True,False,below_support_threshold
3800000127,3800000127,0.2,0.2,11,9,9,0.17938931297709926,0.20080321285140568,0.2196078431372549,False,False,below_support_threshold
3800000127,3800000127,0.25,0.25,9,9,9,0.22868217054263573,0.24905660377358485,0.2574626865671642,False,False,below_support_threshold
3800000127,3800000127,0.3,0.30000000000000004,15,14,14,0.28386344919744544,0.30395136778115506,0.30395136778115506,True,True,supported_representative
3800000127,3800000127,0.33,0.35000000000000003,5,4,4,0.32844574780058655,0.32844574780058655,0.33990288928416906,False,False,below_support_threshold
3800000127,3800000127,0.4,0.4,2,2,2,0.3838057538700785,0.399648924389152,0.41549209490822553,False,False,below_support_threshold
3800000127,3800000127,0.46,0.45,17,12,12,0.43583201335673616,0.45896656534954405,0.47004897402516893,True,False,below_support_threshold
3800000127,3800000127,0.5,0.5,30,15,15,0.4779978504213873,0.5014326647564471,0.5206611570247934,True,True,supported_representative
