capacity,alpha_previous,alpha_current,boundary_type,vdo_previous,vdo_current,vdo_change,vdo_percent_current,dynamic_promotion_count_previous,dynamic_promotion_count_current,myopic_promotion_count_previous,myopic_promotion_count_current,best_second_gap_current,dynamic_changed_products,dynamic_changed_product_count,dynamic_changed_cells,dynamic_status_changes,dynamic_depth_changes,myopic_changed_products,myopic_changed_product_count,myopic_changed_cells,myopic_status_changes,myopic_depth_changes,absolute_vdo_change
2,2.42,2.43,myopic_only,20.36251601560025,46.097017826117735,25.734501810517486,1.2439305137016767,16,16,16,20,0.5089921491016867,,0,0,0,0,3800001611,1,4,4,0,25.734501810517486
2,2.51,2.52,myopic_only,40.74659299616769,48.612101324617925,7.8655083284502325,1.2882098969116116,16,16,20,24,0.5392537503876156,,0,0,0,0,1600066590,1,4,4,0,7.8655083284502325
2,2.52,2.53,myopic_only,48.612101324617925,53.966402052830745,5.35430072821282,1.4291640008255764,16,16,24,24,0.5619703827746889,,0,0,0,0,1600066590,1,4,0,4,5.35430072821282
2,2.59,2.6,dynamic_only,36.85437434689538,34.46800327349774,-2.3863710733976404,0.8950907333556849,16,17,24,24,0.03809988646025886,1600066590,1,1,1,0,,0,0,0,0,2.3863710733976404
2,2.6,2.61,dynamic_only,34.46800327349774,32.66930068372221,-1.7987025897755302,0.8460360796096873,17,18,24,24,0.024624765535918414,1600066590,1,1,1,0,,0,0,0,0,1.7987025897755302
2,2.61,2.62,dynamic_only,32.66930068372221,31.82466254383644,-0.8446381398857739,0.8218911060135523,18,20,24,24,0.43779219736643427,1600066590|3800000110|3800000120,3,16,16,0,,0,0,0,0,0.8446381398857739
2,2.63,2.64,dynamic_only,31.52757995334605,30.764381903881713,-0.7631980494643358,0.7901967505186905,20,20,24,24,0.41019704505379195,1600066590|3800000110|3800000120|3800000127,4,18,18,0,,0,0,0,0,0.7631980494643358
2,2.62,2.63,myopic_only,31.82466254383644,31.52757995334605,-0.29708259049039043,0.8120616052791618,20,20,24,24,0.344268485934208,,0,0,0,0,1600066590|3800000110,2,16,16,0,0.29708259049039043
