capacity,alpha,vdo,vdo_percent,best_second_gap,action_disagreements,status_disagreements,depth_disagreements,timing_shift_products
1,1.85,17.59432423173621,0.5251044114664394,0.0728607065466349,16,16,0,2
2,2.55,48.26239281751896,1.2709241660023087,0.5654506787218452,36,36,0,4
3,2.85,53.17197975390263,1.2815563523003939,0.02420189046915766,54,54,0,7
8,3.2,81.82637800568318,1.7564627726915543,0.006155618848424638,54,54,0,8
