week,dynamic_profit,myopic_profit,vdo_contribution,cumulative_vdo,decision_week,alpha,capacity,washout_horizon
1,214.09792063215426,237.64723610534108,-23.549315473186823,-23.549315473186823,True,2.24,2,12
2,188.30721100249778,162.86212822513613,25.445082777361648,1.895767304174825,True,2.24,2,12
3,114.9897283190442,115.19194213393526,-0.20221381489105283,1.6935534892837723,True,2.24,2,12
4,125.75020559106346,187.82222818296233,-62.07202259189887,-60.3784691026151,True,2.24,2,12
5,235.08593065234615,163.56403111713615,71.52189953521,11.143430432594897,True,2.24,2,12
6,160.90677540881393,151.52266787239088,9.384107536423045,20.527537969017942,True,2.24,2,12
7,149.06109405046521,226.79737198774654,-77.73627793728133,-57.20873996826339,True,2.24,2,12
8,222.3756670705417,154.12862753225872,68.24703953828299,11.038299570019603,True,2.24,2,12
9,146.14448522933492,137.57285237899492,8.571632850339995,19.6099324203596,True,2.24,2,12
10,137.02767157063485,208.76549697068452,-71.73782540004967,-52.127892979690074,True,2.24,2,12
11,208.73835358017257,147.16810490716838,61.57024867300419,9.442355693314113,True,2.24,2,12
12,148.8434361975982,140.8236658148225,8.019770382775704,17.462126076089817,True,2.24,2,12
13,146.36863988767476,148.12758442403435,-1.7589445363595928,15.703181539730224,False,2.24,2,12
14,145.1956387674106,145.86876562243106,-0.6731268550204561,15.030054684709768,False,2.24,2,12
15,142.45847798759632,142.77592623320578,-0.31744824560945517,14.712606439100313,False,2.24,2,12
16,139.48349625436222,139.67086406976446,-0.18736781540224,14.525238623698073,False,2.24,2,12
17,125.17045422180487,125.27054910924183,-0.10009488743695272,14.42514373626112,False,2.24,2,12
18,112.29517216214008,112.35293965698355,-0.057767494843474765,14.367376241417645,False,2.24,2,12
19,111.18315244254222,111.22334811713293,-0.04019567459070572,14.32718056682694,False,2.24,2,12
20,108.27779602273876,108.30767939668522,-0.029883373946461234,14.297297192880478,False,2.24,2,12
21,124.03476290569077,124.06131971581988,-0.026556810129108044,14.27074038275137,False,2.24,2,12
22,130.0324118561448,130.05449722611868,-0.022085369973893876,14.248655012777476,False,2.24,2,12
23,133.01435667436965,133.03298313846216,-0.018626464092506012,14.23002854868497,False,2.24,2,12
24,134.43653013115568,134.4527467288613,-0.016216597705636104,14.213811950979334,False,2.24,2,12
1,255.93036213998568,286.4687383906385,-30.538376250652846,-30.538376250652846,True,2.55,2,12
2,213.91799621476258,178.73360756428698,35.1843886504756,4.646012399822752,True,2.55,2,12
3,114.9897283190442,119.39536359022193,-4.405635271177729,0.24037712864502225,True,2.55,2,12
4,125.75020559106346,220.96367074307108,-95.21346515200761,-94.97308802336259,True,2.55,2,12
5,283.27815900704616,175.04281872676341,108.23534028028274,13.26225225692015,True,2.55,2,12
6,174.76306252932417,155.66861656472557,19.094445964598606,32.356698221518755,True,2.55,2,12
7,149.06109405046521,267.15309346895583,-118.09199941849062,-85.73530119697186,True,2.55,2,12
8,268.4841732096616,164.92545511695386,103.55871809270775,17.82341689573589,True,2.55,2,12
9,158.93117614087205,140.88455466104648,18.046621479825575,35.870038375561464,True,2.55,2,12
10,137.02767157063485,246.02739189845624,-108.9997203278214,-73.12968195225993,True,2.55,2,12
11,250.86207465716913,156.67704410383527,94.18503055333386,21.05534860107393,True,2.55,2,12
12,160.74086354781016,144.34942242985542,16.39144111795474,37.44678971902867,True,2.55,2,12
13,146.36863988767476,141.30286521063667,5.0657746770380925,42.512564396066765,False,2.55,2,12
14,145.1956387674106,143.07266819399482,2.1229705734157847,44.63553496948255,False,2.55,2,12
15,142.45847798759632,141.26541723113874,1.1930607564575837,45.82859572594013,False,2.55,2,12
16,139.48349625436222,138.7919044946782,0.6915917596840302,46.52018748562416,False,2.55,2,12
17,125.17045422180487,124.74502611856599,0.425428103238886,46.94561558886305,False,2.55,2,12
18,112.29517216214008,112.02804090938764,0.267131252752435,47.212746841615484,False,2.55,2,12
19,111.18315244254222,110.9466708306996,0.2364816118426205,47.449228453458105,False,2.55,2,12
20,108.27779602273876,108.08823940876277,0.18955661397598078,47.638785067434085,False,2.55,2,12
21,124.03476290569077,123.85818612563364,0.1765767800571325,47.81536184749122,False,2.55,2,12
22,130.0324118561448,129.87036386539737,0.16204799074742482,47.97740983823864,False,2.55,2,12
23,133.01435667436965,132.86294426896868,0.15141240540097556,48.12882224363962,False,2.55,2,12
24,134.43653013115568,134.3029595572762,0.13357057387946725,48.262392817519085,False,2.55,2,12
