washout_horizon,maximum_absolute_vdo_change,maximum_terminal_state,vdo_stable,terminal_state_small
4,4.9484252156830735,0.07463737229356733,False,False
6,0.18020206848132148,0.04818865105585053,False,False
8,0.0759805110533307,0.036184578777378185,False,False
10,0.049681713580866926,0.029453302869899767,True,False
12,0.03509182216157569,0.024977340860717148,True,False
